SigmaRoute,ValidationMode,PolynomialModel,Rows,A2Wins,PolyWins,A2TotalChi2,PolynomialTotalChi2,DeltaChi2_A2_minus_Poly,SignStableRows,A2WinsSignStable,ClaimBoundary
public_proxy_diag,leave_one_out,POLY_DEG2,8,6,2,12.477682898809539,7.283118899040389,5.194563999769146,5,3,row_tension_no_measurement_validation
public_proxy_diag,blocked_low_depth,POLY_DEG2,2,2,0,11.893595030619679,16.083117202566196,-4.189522171946518,2,2,row_tension_no_measurement_validation
public_proxy_diag,blocked_mid_depth,POLY_DEG2,3,2,1,0.45751723010347173,4.492542862489447,-4.035025632385977,2,1,row_tension_no_measurement_validation
public_proxy_diag,blocked_high_depth,POLY_DEG2,3,3,0,0.12657063808638658,4.801928121965365,-4.675357483878978,1,1,row_tension_no_measurement_validation
public_proxy_diag,leave_one_out,POLY_DEG3,8,5,3,12.477682898809539,36.24019149618598,-23.762508597376446,5,2,row_tension_no_measurement_validation
public_proxy_diag,blocked_low_depth,POLY_DEG3,2,1,1,11.893595030619679,33.87048256070121,-21.97688753008153,2,1,row_tension_no_measurement_validation
public_proxy_diag,blocked_mid_depth,POLY_DEG3,3,2,1,0.45751723010347173,4.742794106930635,-4.285276876827164,2,1,row_tension_no_measurement_validation
public_proxy_diag,blocked_high_depth,POLY_DEG3,3,3,0,0.12657063808638658,823.2022267533134,-823.075656115227,1,1,row_tension_no_measurement_validation
branch_scatter_diag,leave_one_out,POLY_DEG2,8,5,3,6.696594273254654,244.42124531542925,-237.72465104217463,5,2,row_tension_no_measurement_validation
branch_scatter_diag,blocked_low_depth,POLY_DEG2,2,0,2,3.0808496573873185,1.1481245898181853,1.9327250675691334,2,0,row_tension_no_measurement_validation
branch_scatter_diag,blocked_mid_depth,POLY_DEG2,3,2,1,3.4569373581503497,621.3957463294224,-617.938808971272,2,1,row_tension_no_measurement_validation
branch_scatter_diag,blocked_high_depth,POLY_DEG2,3,3,0,0.15880725771698584,27.26739097721255,-27.108583719495563,1,1,row_tension_no_measurement_validation
branch_scatter_diag,leave_one_out,POLY_DEG3,8,7,1,6.696594273254654,221.53895347558696,-214.84235920233235,5,4,row_tension_no_measurement_validation
branch_scatter_diag,blocked_low_depth,POLY_DEG3,2,1,1,3.0808496573873185,21.600620627457648,-18.519770970070326,2,1,row_tension_no_measurement_validation
branch_scatter_diag,blocked_mid_depth,POLY_DEG3,3,2,1,3.4569373581503497,620.6319303345806,-617.1749929764302,2,1,row_tension_no_measurement_validation
branch_scatter_diag,blocked_high_depth,POLY_DEG3,3,3,0,0.15880725771698584,782.866663639511,-782.707856381794,1,1,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,leave_one_out,POLY_DEG2,8,5,3,5.63829598552135,124.40401203445514,-118.76571604893378,5,2,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_low_depth,POLY_DEG2,2,0,2,3.080741611925057,1.162561037295077,1.91818057462998,2,0,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_mid_depth,POLY_DEG2,3,2,1,2.4015475243597724,296.41811911490856,-294.01657159054884,2,1,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_high_depth,POLY_DEG2,3,3,0,0.15600684923652092,26.598393903665546,-26.442387054429027,1,1,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,leave_one_out,POLY_DEG3,8,7,1,5.63829598552135,123.63673492257084,-117.99843893704949,5,4,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_low_depth,POLY_DEG3,2,1,1,3.080741611925057,21.46613975241954,-18.38539814049448,2,1,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_mid_depth,POLY_DEG3,3,2,1,2.4015475243597724,296.79892209929284,-294.3973745749331,2,1,row_tension_no_measurement_validation
native_plus_branch_scatter_quadrature,blocked_high_depth,POLY_DEG3,3,3,0,0.15600684923652092,766.5566002764608,-766.4005934272243,1,1,row_tension_no_measurement_validation
