Dataset,ModelID,ModelClass,Rows,ParameterCount,Chi2DiagProxy,AIC,BIC,SignStableViolations,MeanAbsResidual,CovarianceClass,Status,ClaimBoundary
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,8,0,139789.55908762495,139789.55908762495,139789.55908762495,0,2.053025679822352,declared_shrinkage_benchmark_covariance_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,likelihood_native_null_scorecard_preflight_only
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K2_LOCKED_RHO4,locked_prediction,8,0,136480.7438339473,136480.7438339473,136480.7438339473,0,1.740329078975185,declared_shrinkage_benchmark_covariance_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,likelihood_native_null_scorecard_preflight_only
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,152850.0710833969,152850.0710833969,152850.0710833969,5,2.2234938839612974,declared_shrinkage_benchmark_covariance_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,likelihood_native_null_scorecard_preflight_only
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,POLY_DEG2,overfit_risk_control,8,3,2661.832384218718,2667.832384218718,2668.0707088437575,0,0.7046767618192085,declared_shrinkage_benchmark_covariance_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,likelihood_native_null_scorecard_preflight_only
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,POLY_DEG3,overfit_risk_control,8,4,4854.435479796139,4862.435479796139,4862.753245962858,0,0.6206755083396288,declared_shrinkage_benchmark_covariance_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,likelihood_native_null_scorecard_preflight_only
