GainID,GainValue,GridIndex,z_grid,x_coordinate,DepthBin,SourceSplitResponse,K2LockedRho4,GainPrediction,GainResidual,ExplainedFractionProxy,SignStableTemplate,ClaimBoundary
A_TAU_UNIT_GAIN_1,1.0,0,0.51,0.3449908242954462,low_depth,-5.101385205889281,-0.2366073805512978,-0.2366073805512978,-4.864777825337984,0.04638100653096078,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,1,0.7375,0.4682655446968191,low_depth,-4.042742053840544,-0.3093472542642125,-0.3093472542642125,-3.7333947995763315,0.07651916697735817,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,2,0.965,0.5755375138345268,mid_depth,-1.0612908027787438,-0.1147158228693012,-0.1147158228693012,-0.9465749799094426,0.10809084802105551,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,3,1.1925,0.6692388167013362,mid_depth,0.1211657917854815,0.0003335404374077,0.0003335404374077,0.1208322513480738,0.0027527607626929296,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,4,1.42,0.7515739767083173,mid_depth,-1.66707598793248,-0.5387455505959784,-0.5387455505959784,-1.1283304373365015,0.3231679626458628,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,5,1.6475,0.8244143775463955,high_depth,-1.3950527132306294,-0.5724433207587397,-0.5724433207587397,-0.8226093924718897,0.4103381293980565,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,6,1.875,0.8893016935201591,high_depth,-2.4164046464078455,-1.3027543158490584,-1.3027543158490584,-1.113650330558787,0.5391292049473972,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_UNIT_GAIN_1,1.0,8,2.33,1.0,high_depth,-1.9828338698253765,-0.7903712545629055,-0.7903712545629055,-1.192462615262471,0.39860689621592527,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,0,0.51,0.3449908242954462,low_depth,-5.101385205889281,-0.2366073805512978,-0.4732147611025956,-4.628170444786686,0.09276201306192167,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,1,0.7375,0.4682655446968191,low_depth,-4.042742053840544,-0.3093472542642125,-0.618694508528425,-3.424047545312119,0.15303833395471644,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,2,0.965,0.5755375138345268,mid_depth,-1.0612908027787438,-0.1147158228693012,-0.2294316457386024,-0.8318591570401414,0.21618169604211102,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,3,1.1925,0.6692388167013362,mid_depth,0.1211657917854815,0.0003335404374077,0.0006670808748154,0.1204987109106661,0.00550552152538597,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,4,1.42,0.7515739767083173,mid_depth,-1.66707598793248,-0.5387455505959784,-1.0774911011919568,-0.5895848867405231,0.6463359252917256,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,5,1.6475,0.8244143775463955,high_depth,-1.3950527132306294,-0.5724433207587397,-1.1448866415174794,-0.25016607171315,0.8206762587961128,True,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,6,1.875,0.8893016935201591,high_depth,-2.4164046464078455,-1.3027543158490584,-2.605508631698117,0.1891039852902714,0.9217415901052054,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_SYMMETRIC_PRIOR_2,2.0,8,2.33,1.0,high_depth,-1.9828338698253765,-0.7903712545629055,-1.580742509125811,-0.4020913606995655,0.7972137924318508,False,projection_gain_prior_preflight_no_measurement_validation
A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,0,0.51,0.3449908242954462,low_depth,-5.101385205889281,-0.2366073805512978,-0.49238335411251727,-4.609001851776764,0.09651954013276365,True,projection_gain_prior_preflight_no_measurement_validation
