AuditID,RowID,ColumnID,Value,Construction,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.51,0.052276410922806486,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.698,0.024154523549949024,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.706,-0.014260689003738846,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.93,-0.014175736384820248,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.934,-0.03807934065174898,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.317,-0.04682866705545498,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.321,-0.038079340651749,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.48,-0.007904121714284848,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.484,-0.00022107920354721557,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_2.33,0.007461963307190382,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_2.334,0.013086340781761782,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY::z_0.38,-0.09375473149680019,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY::z_0.51,-0.08346140631596966,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY::z_0.698,-0.055339518943112315,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
P_TAUCOV_P3_BALANCED_PREFLIGHT_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY::z_0.706,-0.016924306389424392,P3_parent_operator_projected_by_R_balance_then_zero_diagonal_normalized,False,False,False
