AuditID,FoldGroup,FoldID,TestFamilies,TestClockBlocks,SignedS,Positive
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_family,lofo_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,all,0.7556918336900745,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_family,lofo_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,all,-2.1517625128942117,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_family,lofo_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,all,63.90761077983775,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_clock,holdout_clock_block_0,all,clock_block_0,-4.72202405738544,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_clock,holdout_clock_block_1,all,clock_block_1,0.0012734525328885,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,primary_clock,holdout_clock_block_2,all,clock_block_2,1.6085048500625865,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_0,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_0,0.8810131464077477,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_1,-0.0368498489648768,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_2,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_2,-0.0087563621228813,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_0,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_0,-2.3885337603702785,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_1,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_1,0.1578529558091395,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_2,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_2,0.0075591785427846,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_0,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_0,12.340959509456312,True
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_1,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_1,-1.3971955222262058,False
P_TAUCOV_DIAGONAL_ORTHOGONAL_FAILURE_DIAGNOSTIC_v1,secondary_family_x_clock,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_2,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_2,0.0300704532729404,True
