Dataset,Mapping,CovarianceProxy,Model,ParameterCount,Chi2Proxy,AIC,BIC,DeltaAIC_vs_K2,DeltaBIC_vs_K2
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,K2_LOCKED_RHO4,0,2.91944878955,2.91944878955,2.91944878955,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,-1.5217273014800001,-1.5217273014800001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,POLY_DEG2,3,0.459839658206,6.45983965821,7.05151339021,3.54039086866,4.13206460066
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,POLY_DEG3,4,0.45204467756,8.45204467756,9.2409429869,5.53259588801,6.321494197350001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,2.84778985465,2.84778985465
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,diagonal,COORDINATE_REMAP_CONTROL,1,2.36412980032,4.36412980032,4.56135437765,1.4446810107699997,1.6419055880999998
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,K2_LOCKED_RHO4,0,2.20599392408,2.20599392408,2.20599392408,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,K1_NO_MEMORY,0,1.22347286123,1.22347286123,1.22347286123,-0.9825210628499998,-0.9825210628499998
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,POLY_DEG2,3,0.725150020595,6.7251500206,7.3168237526,4.51915609652,5.11082982852
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,POLY_DEG3,4,0.716308054874,8.71630805487,9.50520636422,6.51031413079,7.29921244014
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,SIGN_RANDOMIZED_CONTROL,0,5.25464821119,5.25464821119,5.25464821119,3.04865428711,3.04865428711
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,nearest_neighbor_corr,COORDINATE_REMAP_CONTROL,1,1.85388674126,3.85388674126,4.0511113186,1.6478928171800002,1.8451173945200003
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,K2_LOCKED_RHO4,0,1.63416911276,1.63416911276,1.63416911276,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.026283044059999927,-0.026283044059999927
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,POLY_DEG2,3,2.07273948909,8.07273948909,8.6644132211,6.43857037633,7.03024410834
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,POLY_DEG3,4,2.05140686934,10.0514068693,10.8403051787,8.417237756539999,9.20613606594
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.856557667580001,5.856557667580001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_z,COORDINATE_REMAP_CONTROL,1,1.60902962179,3.60902962179,3.80625419912,1.97486050903,2.17208508636
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,K2_LOCKED_RHO4,0,1.63417133946,1.63417133946,1.63417133946,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,K1_NO_MEMORY,0,1.60789053711,1.60789053711,1.60789053711,-0.026280802349999854,-0.026280802349999854
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,POLY_DEG2,3,2.07273782859,8.07273782859,8.6644115606,6.43856648913,7.03024022114
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,POLY_DEG3,4,2.05140538295,10.051405383,10.8403036923,8.41723404354,9.20613235284
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,SIGN_RANDOMIZED_CONTROL,0,7.49073773484,7.49073773484,7.49073773484,5.85656639538,5.85656639538
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,exp_corr_x,COORDINATE_REMAP_CONTROL,1,1.60903169663,3.60903169663,3.80625627396,1.9748603571699999,2.1720849345
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,K2_LOCKED_RHO4,0,1.52018996584,1.52018996584,1.52018996584,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,K1_NO_MEMORY,0,1.52905054901,1.52905054901,1.52905054901,0.008860583169999936,0.008860583169999936
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,POLY_DEG2,3,0.540924942747,6.54092494275,7.13259867476,5.02073497691,5.612408708919999
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,POLY_DEG3,4,0.531756638785,8.53175663879,9.32065494813,7.01156667295,7.80046498229
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,SIGN_RANDOMIZED_CONTROL,0,4.84228925535,4.84228925535,4.84228925535,3.3220992895099997,3.3220992895099997
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,constant_offdiag_corr,COORDINATE_REMAP_CONTROL,1,1.27711802956,3.27711802956,3.4743426069,1.75692806372,1.95415264106
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,K2_LOCKED_RHO4,0,2.91944563407,2.91944563407,2.91944563407,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,-1.5217241460000002,-1.5217241460000002
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,POLY_DEG2,3,0.459835941141,6.45983594114,7.05150967315,3.5403903070699996,4.132064039079999
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,POLY_DEG3,4,0.452042069563,8.45204206956,9.24094037891,5.5325964354899995,6.321494744840001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,2.8477930101299997,2.8477930101299997
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,diagonal,COORDINATE_REMAP_CONTROL,1,2.36412709407,4.36412709407,4.56135167141,1.4446814599999995,1.6419060373399996
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,K2_LOCKED_RHO4,0,2.20599117182,2.20599117182,2.20599117182,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,K1_NO_MEMORY,0,1.22347286123,1.22347286123,1.22347286123,-0.9825183105899999,-0.9825183105899999
