GridIndex,z_grid,x_coordinate,SourceSplitCandidate,K1Response,K2LockedA2Prediction,CovarianceDiag,DepthZone,SigmaDiag,BestPolyID,BestPolyPrediction,ResidualK1,ResidualK2,ResidualBestPoly,K1Chi2DiagContribution,K2Chi2DiagContribution,BestPolyChi2DiagContribution,DeltaChi2DiagK2MinusK1,DeltaChi2DiagK2MinusBestPoly,K2WorseThanK1,K2WorseThanBestPoly,TargetSign,K1Sign,K2Sign,K2TargetSignMismatch,K1TargetSignMismatch,WeakeningMechanism,MeasurementValidationAllowed,ClaimBoundary
0,0.51,0.3449908242954462,-1.0426005053343437,-0.2032287991395038,-0.4732147611025956,2.8957791200596135,low_depth,1.7016988923013416,POLY_DEG3,-1.5836813853770195,-0.8393717061948398,-0.569385744231748,0.5410808800426758,0.24330062202601022,0.11195609619827201,0.10110181288334226,-0.1313445258277382,0.010854283314929755,False,True,negative,negative,negative,False,False,flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
1,0.7375,0.4682655446968191,0.7278835673535662,-0.2192846011690317,-0.618694508528425,2.6073054459495957,low_depth,1.614715283246429,POLY_DEG3,2.4927910428048605,0.9471681685225979,1.3465780758819912,-1.7649074754512943,0.3440822558232004,0.6954584156079348,1.1946810458064294,0.35137615978473435,-0.49922263019849467,True,False,positive,negative,negative,True,True,k2_target_sign_mismatch,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
2,0.965,0.5755375138345268,4.11117844541876,-0.0650843299689463,-0.2294316457386025,2.2936624944488178,mid_depth,1.5144842338066176,POLY_DEG3,2.9849365193370048,4.176262775387706,4.340610091157362,1.1262419260817556,7.604070263737847,8.214327961963173,0.5530111248425643,0.6102576982253263,7.661316837120609,True,True,positive,negative,negative,True,True,k2_target_sign_mismatch;flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
3,1.1925,0.6692388167013362,3.2433799477411087,0.0001516812476995,0.0006670808748154,2.177201472475897,mid_depth,1.4755343006775197,POLY_DEG3,2.038416243881116,3.2432282664934093,3.2427128668662935,1.2049637038599927,4.831215540480161,4.829680151273473,0.6668824846828989,-0.0015353892066887198,4.162797666590574,False,True,positive,positive,positive,False,False,flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
4,1.42,0.7515739767083173,-0.2981167213819073,-0.1996724490854003,-1.0774911011919568,2.330581346580687,mid_depth,1.5266241667747458,POLY_DEG3,0.7861461114803134,-0.09844427229650701,0.7793743798100494,-1.0842628328622208,0.004158307866922291,0.26063214862484074,0.5044346091807643,0.25647384075791846,-0.24380246055592358,True,False,negative,negative,negative,False,False,locked_a2_overshoot_vs_candidate_target,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
5,1.6475,0.8244143775463955,-0.070529173861261,-0.1766101114929631,-1.1448866415174794,2.1626807983304253,high_depth,1.4706055889770122,POLY_DEG3,-0.21205990950886644,0.10608093763170211,1.0743574676562184,0.14153073564760543,0.0052033408432295885,0.5337098147816132,0.00926209228306652,0.5285064739383836,0.5244477224985467,True,True,negative,negative,negative,False,False,locked_a2_overshoot_vs_candidate_target;flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
6,1.875,0.8893016935201591,-1.1426447541810745,-0.3416394100954415,-2.605508631698117,2.0969569691577057,high_depth,1.448087348593898,POLY_DEG3,-0.7086258909520637,-0.801005344085633,1.4628638775170424,-0.43401886322901073,0.3059717346090614,1.0205124643085872,0.0898313014569236,0.7145407296995259,0.9306811628516636,True,True,negative,negative,negative,False,False,locked_a2_overshoot_vs_candidate_target;flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
8,2.33,1.0,0.3187906731215182,-0.1580742509125811,-1.580742509125811,2.0064347065050714,high_depth,1.4164867477336565,POLY_DEG3,0.04941874721052386,0.4768649240340993,1.8995331822473291,0.26937192591099435,0.11333543774775832,1.7983273010382137,0.03616426402202231,1.6849918632904555,1.7621630370161914,True,True,positive,negative,negative,True,True,k2_target_sign_mismatch;locked_a2_overshoot_vs_candidate_target;flexible_polynomial_absorbs_candidate_shape,False,likelihood_native_rerun_weakening_diagnostic_no_measurement_validation
