ModelID,Rows,PredictionToTargetRMSRatio,CosineTargetVsPrediction,ResidualRMS,Chi2DiagProxy,AIC,SignMatchFraction,Subset,DeltaAICVsA2,DeltaAICVsUnit,ClaimBoundary,BestAICModelBySubset
K1_NO_MEMORY,8,0.07267821447177382,0.8801820179310894,2.522154555161272,25.445054400483013,25.445054400483013,1.0,all_points,8.215952382108654,3.8816021100253053,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,8,0.23135178534395498,0.6700159066262061,2.3218232216545744,21.563452290457708,21.563452290457708,1.0,all_points,4.334350272083348,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,8,0.46270357068790996,0.6700159066262061,2.0753976738431574,17.22910201837436,17.22910201837436,1.0,all_points,0.0,-4.334350272083348,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,2,0.04593253296050902,0.9882813584635436,4.393788972935161,19.30538153868661,19.30538153868661,1.0,low_depth,2.7333499094091422,0.5032315289847347,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,2,0.05983343937906036,0.9694754325730789,4.336144602028613,18.802150009701876,18.802150009701876,1.0,low_depth,2.2301183804244076,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,2,0.11966687875812072,0.9694754325730789,4.070876027254757,16.57203162927747,16.57203162927747,1.0,low_depth,0.0,-2.2301183804244076,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,3,0.10606993872639614,0.9666907012292547,1.0263762950689381,1.5801724486191602,1.5801724486191602,1.0,mid_depth,1.0531124810414094,0.48830534793096736,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,3,0.2782021761181556,0.9351910548515222,0.8531772385962927,1.0918671006881928,1.0918671006881928,1.0,mid_depth,0.5648071331104421,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,3,0.5564043522363112,0.9351910548515222,0.5927675022456111,0.5270599675777508,0.5270599675777508,1.0,mid_depth,0.0,-0.5648071331104421,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,3,0.1214752553672103,0.973337736623505,1.7434640639021395,4.559500413177244,4.559500413177244,1.0,high_depth,4.429489991658104,2.890065233109605,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,3,0.4755334188580095,0.9895918682855094,1.0549676709320337,1.6694351800676395,1.6694351800676395,1.0,high_depth,1.5394247585484995,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,3,0.951066837716019,0.9895918682855094,0.29440382868789833,0.13001042151914008,0.13001042151914008,1.0,high_depth,0.0,-1.5394247585484995,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,6,0.11780254126224195,0.9702726328338586,1.430579470214361,6.139672861796404,6.139672861796404,1.0,mid_high_depth,5.482602472699513,3.3783705810405715,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,6,0.4345621806759767,0.9615059883222337,0.9593925648999359,2.7613022807558325,2.7613022807558325,1.0,mid_high_depth,2.1042318916589418,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,6,0.8691243613519534,0.9615059883222337,0.467999426316205,0.657070389096891,0.657070389096891,1.0,mid_high_depth,0.0,-2.1042318916589418,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,5,0.07236181325892778,0.8688804818153564,3.051337063738907,23.276644691366933,23.276644691366933,1.0,anti_aligned,6.481636202408524,2.879478258086735,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,5,0.21587664333373227,0.6390518189433504,2.8563729751753497,20.397166433280198,20.397166433280198,1.0,anti_aligned,3.602157944321789,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,5,0.43175328666746454,0.6390518189433502,2.5919111473164675,16.79500848895841,16.79500848895841,1.0,anti_aligned,0.0,-3.602157944321789,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K1_NO_MEMORY,3,0.13332178494515592,0.9973970347146499,1.6271167040054475,3.9712631526803257,3.9712631526803257,1.0,anti_aligned_mid_high,3.748286292999382,2.376246729102002,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_UNIT_LOCKED_RHO4,3,0.46812801670036447,0.9796263634895164,1.031185862192432,1.5950164235783237,1.5950164235783237,1.0,anti_aligned_mid_high,1.3720395638973801,0.0,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
K2_SOURCE_SPLIT_A2_PRIOR_V1,3,0.9362560334007289,0.9796263634895164,0.385553160779802,0.2229768596809437,0.2229768596809437,1.0,anti_aligned_mid_high,0.0,-1.3720395638973801,reconstruction_family_preflight_no_measurement_validation,K2_SOURCE_SPLIT_A2_PRIOR_V1
