Dataset,ModelID,ModelClass,GridIndex,z_grid,x_coordinate,target_response,k1_response,sigma_diag,prediction,residual,residual_over_sigma,chi2_contribution,ContributionRank,sign_stable,sign_violation,Notes,ClaimBoundary
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,0,0.51,0.3449908242954462,-5.101385205889281,-0.2032287991395038,0.0149935194363005,-0.2032287991395038,-4.898156406749777,-326.6849006038537,106723.02428254977,1,True,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,1,0.7375,0.4682655446968191,-4.042742053840544,-0.2192846011690317,0.0212944500730184,-0.2192846011690317,-3.823457452671512,-179.55182874227438,32238.85920469503,2,True,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,2,0.965,0.5755375138345268,-1.0612908027787438,-0.0650843299689463,0.0738473920903937,-0.0650843299689463,-0.9962064728097975,-13.490069785949652,181.9819828297917,4,True,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,3,1.1925,0.6692388167013362,0.1211657917854815,0.0001516812476995,0.0904224520916678,0.0001516812476995,0.121014110537782,1.3383192751187638,1.7910984821544134,8,False,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,4,1.42,0.7515739767083173,-1.66707598793248,-0.1996724490854003,0.0859633655553421,-0.1996724490854003,-1.4674035388470796,-17.07010340238929,291.3884301682624,3,True,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,5,1.6475,0.8244143775463955,-1.3950527132306294,-0.1766101114929631,0.1140449668153059,-0.1766101114929631,-1.2184426017376664,-10.683878787135917,114.14526593821284,6,True,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,6,1.875,0.8893016935201591,-2.4164046464078455,-0.3416394100954415,0.161771609737985,-0.3416394100954415,-2.074765236312404,-12.825274098915244,164.48765571230624,5,False,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K1_NO_MEMORY,fair_null,8,2.33,1.0,-1.9828338698253765,-0.1580742509125811,0.2122945218250446,-0.1580742509125811,-1.8247596189127955,-8.595415478580318,73.88116724941811,7,False,False,baseline_or_control,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K2_LOCKED_RHO4,locked_prediction,0,0.51,0.3449908242954462,-5.101385205889281,-0.2032287991395038,0.0149935194363005,-0.2366073805512978,-4.864777825337984,-324.4587000407637,105273.44803214226,1,True,False,k2_multiplier_applied_to_likelihood_native_k1,dominance_diagnosis_only_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,K2_LOCKED_RHO4,locked_prediction,1,0.7375,0.4682655446968191,-4.042742053840544,-0.2192846011690317,0.0212944500730184,-0.3093472542642125,-3.7333947995763315,-175.32243315861965,30737.955568658654,2,True,False,k2_multiplier_applied_to_likelihood_native_k1,dominance_diagnosis_only_no_measurement_validation
