complexity,loss,equation,score,sympy_format,lambda_format,criteria3_penalty,criteria3_score,IsConstant,FinitePrediction,WeightedMSEOriginal,RMSEOriginal,MeanAbsResidualOverSigma,PredictionStd,SympyExpression,ClaimBoundary
1,0.7890149,-0.23905218,0.0,-0.239052180000000,PySRFunction(X=>-0.239052180000000),1.0,1.7890149,True,True,245.7639199705603,0.02606391630365875,12.884630913344237,0.0,-0.239052180000000,pysr_criteria3_structured_smoke_no_measurement_validation
2,0.20282188,log(x0),1.3584570498879724,log(x0),PySRFunction(X=>log(x0)),1.0,2.20282188,False,True,69.06585136539987,0.012827170320755019,6.7138764560242725,0.014273344103995033,log(x0),pysr_criteria3_structured_smoke_no_measurement_validation
3,0.0980421,x0 + -1.236754,0.7269311771845688,x0 - 1.236754,PySRFunction(X=>x0 - 1.236754),1.0,3.0980421,False,True,29.92278887013855,0.009267054685878112,4.194224925964299,0.016645217601533754,x0 - 1.236754,pysr_criteria3_structured_smoke_no_measurement_validation
5,0.012555324,(x0 * 1.4965818) + -1.7322209,1.0276260897654856,x0*1.4965818 - 1.7322209,PySRFunction(X=>x0*1.4965818 - 1.7322209),1.0,5.012555324,False,True,4.864081623592746,0.0030057014413249652,1.9054840509285045,0.02491092971949507,x0*1.4965818 - 1.7322209,pysr_criteria3_structured_smoke_no_measurement_validation
6,0.012546674,x0 * log(x0 + -0.312177),0.0006891881946911676,x0*log(x0 - 0.312177),PySRFunction(X=>x0*log(x0 - 0.312177)),1.0,6.012546674,False,True,3.548881341094066,0.0034199218092567183,1.4608579487936724,0.02272335461167243,x0*log(x0 - 0.312177),pysr_criteria3_structured_smoke_no_measurement_validation
7,0.0105928425,((x0 * x0) * 0.533212) - 0.95466894,0.1692770733389255,x0*x0*0.533212 - 1*0.95466894,PySRFunction(X=>x0*x0*0.533212 - 1*0.95466894),1.0,7.0105928425,False,True,3.9266840503014384,0.0028731993193154,1.4280234879531828,0.02550261941158567,x0*x0*0.533212 - 1*0.95466894,pysr_criteria3_structured_smoke_no_measurement_validation
8,0.00336951,log(x0 + -0.23902948) * (x0 + 0.17328496),1.1454112039954563,(x0 + 0.17328496)*log(x0 - 0.23902948),PySRFunction(X=>(x0 + 0.17328496)*log(x0 - 0.23902948)),1.0,8.00336951,False,True,1.1045952416724338,0.0016725051109279983,0.9367105641335721,0.025121665853253646,(x0 + 0.17328496)*log(x0 - 0.23902948),pysr_criteria3_structured_smoke_no_measurement_validation
10,0.0028449863,x0 * (log((x0 + -0.31622508) * 1.0558493) / 0.9334083),0.08460454054906852,1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444),PySRFunction(X=>1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444)),1.0,10.0028449863,False,True,0.8057964573743901,0.001629179767742128,0.7848888335445484,0.025370346202037895,1.0713425196669*x0*log(1.0558493*x0 - 0.333886029360444),pysr_criteria3_structured_smoke_no_measurement_validation
12,0.0028447867,log((x0 * 1.0567229) + -0.3346337) * (x0 * (1.0286984 / 0.9608683)),3.508048565062085e-05,1.07059250471683*x0*log(1.0567229*x0 - 0.3346337),PySRFunction(X=>1.07059250471683*x0*log(1.0567229*x0 - 0.3346337)),1.0,12.0028447867,False,True,0.8067504348456678,0.0016283553027979332,0.7826588162719901,0.02537441521451552,1.07059250471683*x0*log(1.0567229*x0 - 0.3346337),pysr_criteria3_structured_smoke_no_measurement_validation
14,0.0026790514,((x0 + 0.10858442) + (-0.058773473 / x0)) * log((x0 * 1.0989125) + -0.3808641),0.030012657243860184,(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641),PySRFunction(X=>(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641)),1.0,14.0026790514,False,True,0.7715048225994042,0.0015730821674355038,0.7631156493624303,0.02538316783068688,(x0 + 0.10858442 - 0.058773473/x0)*log(1.0989125*x0 - 0.3808641),pysr_criteria3_structured_smoke_no_measurement_validation
