GridIndex,z,x,ModelID,ParameterCount,Target,Prediction,Residual,AbsResidual,SigmaPublicProxy,SigmaBranchScatter,SigmaCombinedQuadrature,SigmaMaxNativeScatter,PublicToBranchSigmaRatio,PublicDiagChi2Contribution,BranchScatterDiagChi2Contribution,CombinedDiagChi2Contribution,SigmaGapClass,SignStable,ClaimBoundary,PublicContributionRank,BranchContributionRank
0,0.51,0.3449908242954462,K1_NO_MEMORY,0,-5.101385205889281,-0.2032287991395038,-4.898156406749777,4.898156406749777,1.701698892301421,3.6072240725290423,3.6072552328686274,3.6072240725290423,0.4717474872882936,8.285140264595785,1.8438222715364518,1.8437904169122263,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,1.0,2.0
0,0.51,0.3449908242954462,K2_LOCKED_RHO4,0,-5.101385205889281,-0.2366073805512978,-4.864777825337984,4.864777825337984,1.701698892301421,3.6072240725290423,3.6072552328686274,3.6072240725290423,0.4717474872882936,8.172606510613544,1.8187783694098074,1.8187469474542308,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,1.0,2.0
0,0.51,0.3449908242954462,ZERO_RESPONSE_CONTROL,0,-5.101385205889281,0.0,-5.101385205889281,5.101385205889281,1.701698892301421,3.6072240725290423,3.6072552328686274,3.6072240725290423,0.4717474872882936,8.986918525169788,2.0000000000000004,1.9999654471857542,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,1.0,2.0
0,0.51,0.3449908242954462,POLY_DEG2,3,-5.101385205889281,-5.260951952040504,0.15956674615122246,0.15956674615122246,1.701698892301421,3.6072240725290423,3.6072552328686274,3.6072240725290423,0.4717474872882936,0.008792641089546272,0.0019567643936952584,0.001956730587836949,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,8.0,8.0
0,0.51,0.3449908242954462,POLY_DEG3,4,-5.101385205889281,-5.545686943857877,0.44430173796859584,0.44430173796859584,1.701698892301421,3.6072240725290423,3.6072552328686274,3.6072240725290423,0.4717474872882936,0.06816957584728789,0.015170845414112623,0.015170583316410847,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,6.0,7.0
1,0.7375,0.4682655446968191,K1_NO_MEMORY,0,-4.042742053840544,-0.2192846011690317,-3.823457452671512,3.823457452671512,1.6147152832462313,2.8586503208586795,2.858729632292873,2.8586503208586795,0.5648523261009427,5.606871613413383,1.7889180859544775,1.7888188252973698,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,2.0,3.0
1,0.7375,0.4682655446968191,K2_LOCKED_RHO4,0,-4.042742053840544,-0.3093472542642125,-3.7333947995763315,3.7333947995763315,1.6147152832462313,2.8586503208586795,2.858729632292873,2.8586503208586795,0.5648523261009427,5.3458396104529395,1.7056336979203846,1.7055390584156636,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,2.0,3.0
1,0.7375,0.4682655446968191,ZERO_RESPONSE_CONTROL,0,-4.042742053840544,0.0,-4.042742053840544,4.042742053840544,1.6147152832462313,2.8586503208586795,2.858729632292873,2.8586503208586795,0.5648523261009427,6.268449804868324,1.9999999999999996,1.9998890271635263,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,2.0,6.0
1,0.7375,0.4682655446968191,POLY_DEG2,3,-4.042742053840544,-3.056683222537538,-0.9860588313030059,0.9860588313030059,1.6147152832462313,2.8586503208586795,2.858729632292873,2.8586503208586795,0.5648523261009427,0.37291834000552493,0.11898263577572296,0.11897603385543143,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,3.0,6.0
1,0.7375,0.4682655446968191,POLY_DEG3,4,-4.042742053840544,-2.747560165552944,-1.2951818882876003,1.2951818882876003,1.6147152832462313,2.8586503208586795,2.858729632292873,2.8586503208586795,0.5648523261009427,0.6433830475652963,0.20527660509161916,0.20526521502805486,PUBLIC_TIGHTER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,2.0,3.0
