SubsetID,ModelID,ModelClass,Rows,ParameterCount,FitStatus,Chi2,AIC,BIC,PredictionToTargetRMSRatio,MeanAbsResidual,SignStableViolations,SignMatchFraction,ClaimBoundary
mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,fixed,0.6878177757529739,0.6878177757529739,0.6878177757529739,0.8691243613519534,0.39721736206571956,0,1.0,memory_active_scorecard_no_measurement_validation
mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,fixed,4.809969391538076,4.809969391538076,4.809969391538076,0.0,1.4406373019934262,3,0.0,memory_active_scorecard_no_measurement_validation
mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,fit_control,1.1538311631152554,7.153831163115255,6.52910957079942,0.9341935764656518,0.5004507857093441,0,0.8333333333333334,memory_active_scorecard_no_measurement_validation
mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,fit_control,0.8286577554733683,8.828657755473369,7.995695632385588,0.9707533457590928,0.2901948504185308,0,0.8333333333333334,memory_active_scorecard_no_measurement_validation
sign_stable_only,K1_NO_MEMORY,fair_null,5,0,fixed,13.518969220140587,13.518969220140587,13.518969220140587,0.05844050616251258,2.4807332945631666,0,1.0,memory_active_scorecard_no_measurement_validation
sign_stable_only,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,5,0,fixed,12.720159452529188,12.720159452529188,12.720159452529188,0.12741112785768643,2.29913748692643,0,1.0,memory_active_scorecard_no_measurement_validation
sign_stable_only,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,5,0,fixed,10.844492618096048,10.844492618096048,10.844492618096048,0.25482225571537287,1.9447656211185234,0,1.0,memory_active_scorecard_no_measurement_validation
sign_stable_only,ZERO_RESPONSE_CONTROL,diagnostic_control,5,0,fixed,15.054817151219883,15.054817151219883,15.054817151219883,0.0,2.6535093527343356,5,0.0,memory_active_scorecard_no_measurement_validation
sign_stable_only,POLY_DEG2,overfit_risk_control,5,3,fit_control,0.9000183460828589,6.900018346082859,5.728332083385159,0.9816249680880745,0.5039238575037951,0,1.0,memory_active_scorecard_no_measurement_validation
sign_stable_only,POLY_DEG3,overfit_risk_control,5,4,saturated_or_tiny_subset,1.022099936660939,9.02209993666094,7.45985158639734,0.9829567714571656,0.5138239447098696,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,fixed,1.305479740248818,1.305479740248818,1.305479740248818,0.1134350401051826,1.2273508711315146,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,fixed,0.8472628499887795,0.8472628499887795,0.8472628499887795,0.3284044860393638,0.9658382699059446,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,fixed,0.40770955834976236,0.40770955834976236,0.40770955834976236,0.6568089720787276,0.5572033718312714,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,fixed,1.6375560489908554,1.6375560489908554,1.6375560489908554,0.0,1.374473167980618,3,0.0,memory_active_scorecard_no_measurement_validation
