RhoCross,SubsetID,ModelID,ModelClass,Rows,ParameterCount,Chi2,AIC,ClaimBoundary
-0.9,all_depth,K1_NO_MEMORY,fair_null,8,0,8.993373136559704,8.993373136559704,memory_active_cross_covariance_no_measurement_validation
-0.9,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,7.629301967545317,7.629301967545317,memory_active_cross_covariance_no_measurement_validation
-0.9,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,6.225245345446018,6.225245345446018,memory_active_cross_covariance_no_measurement_validation
-0.9,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,10.235512050957146,10.235512050957146,memory_active_cross_covariance_no_measurement_validation
-0.9,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.1282858190655205,7.12828581906552,memory_active_cross_covariance_no_measurement_validation
-0.9,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.028502389187757,9.028502389187757,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.237009230098992,2.237009230098992,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,0.995738460171709,0.995738460171709,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.31455841819413044,0.31455841819413044,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,2.8232771099750997,2.8232771099750997,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.5223081640269145,6.5223081640269145,memory_active_cross_covariance_no_measurement_validation
-0.9,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.2819571405679967,8.281957140567997,memory_active_cross_covariance_no_measurement_validation
-0.9,high_depth,K1_NO_MEMORY,fair_null,3,0,1.931106040812149,1.931106040812149,memory_active_cross_covariance_no_measurement_validation
-0.9,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7034337542790082,0.7034337542790082,memory_active_cross_covariance_no_measurement_validation
-0.9,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.07692942688418902,0.07692942688418902,memory_active_cross_covariance_no_measurement_validation
-0.9,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.4687213934240497,2.4687213934240497,memory_active_cross_covariance_no_measurement_validation
-0.9,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,2.793259882480412e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.82578329477868,0.82578329477868,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5197141483514763,0.5197141483514763,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.22412107648090576,0.22412107648090576,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.0398292619975709,1.0398292619975709,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,6.663116511672649e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.2919036024919277,1.2919036024919277,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.4884351599182542,0.4884351599182542,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.12065710737073349,0.12065710737073349,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.729291535398881,1.729291535398881,memory_active_cross_covariance_no_measurement_validation
-0.9,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.295035388327873e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,K1_NO_MEMORY,fair_null,8,0,9.202920225189972,9.202920225189972,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,7.810848758781683,7.810848758781683,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,6.379834101068228,6.379834101068228,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,10.472719614535102,10.472719614535102,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.1584305901343064,7.158430590134307,memory_active_cross_covariance_no_measurement_validation
-0.85,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.057674789549103,9.057674789549104,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.2855291208985644,2.2855291208985644,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.0171200097215645,1.0171200097215645,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.32380623140709175,0.32380623140709175,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,2.8841096766386753,2.8841096766386753,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.5381094619725878,6.538109461972588,memory_active_cross_covariance_no_measurement_validation
-0.85,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.2924582371628136,8.292458237162814,memory_active_cross_covariance_no_measurement_validation
-0.85,high_depth,K1_NO_MEMORY,fair_null,3,0,1.9759561088920434,1.9759561088920434,memory_active_cross_covariance_no_measurement_validation
-0.85,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7194786395171746,0.7194786395171746,memory_active_cross_covariance_no_measurement_validation
-0.85,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.07943118384150406,0.07943118384150406,memory_active_cross_covariance_no_measurement_validation
-0.85,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.525931160511617,2.525931160511617,memory_active_cross_covariance_no_measurement_validation
-0.85,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,2.8508909520950255e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.8428315694378922,0.8428315694378922,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5308724037558604,0.5308724037558604,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.22964277452057733,0.22964277452057733,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.061176566008117,1.061176566008117,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,6.805620784397071e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.3169060989546826,1.3169060989546826,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.497024217750319,0.497024217750319,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.12488321416714884,0.12488321416714884,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.7631052205338027,1.7631052205338027,memory_active_cross_covariance_no_measurement_validation
-0.85,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.3421293377656452e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,K1_NO_MEMORY,fair_null,8,0,9.422714106463307,9.422714106463307,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,8.001370497772513,8.001370497772513,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,6.542417537513957,6.542417537513957,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,10.721505628617736,10.721505628617736,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.1902754976959082,7.190275497695908,memory_active_cross_covariance_no_measurement_validation
-0.8,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.088593093748088,9.088593093748088,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.336454248738047,2.336454248738047,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.039529108207193,1.039529108207193,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.3336473654654459,0.3336473654654459,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,2.947954531716189,2.947954531716189,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.5549281569396429,6.554928156939643,memory_active_cross_covariance_no_measurement_validation
-0.8,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.3037867105408259,8.303786710540827,memory_active_cross_covariance_no_measurement_validation
-0.8,high_depth,K1_NO_MEMORY,fair_null,3,0,2.0230461300676224,2.0230461300676224,memory_active_cross_covariance_no_measurement_validation
-0.8,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7362957546053741,0.7362957546053741,memory_active_cross_covariance_no_measurement_validation
-0.8,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.08210756018571978,0.08210756018571978,memory_active_cross_covariance_no_measurement_validation
-0.8,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.5860009297891784,2.5860009297891784,memory_active_cross_covariance_no_measurement_validation
-0.8,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,2.9109717257901783e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.8606077508514137,0.8606077508514137,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5425340635819333,0.5425340635819333,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.2354564368223885,0.2354564368223885,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.0834284907480871,1.0834284907480871,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,6.954579539589212e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.3430430112838478,1.3430430112838478,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5059427732184664,0.5059427732184664,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.12943443788915865,0.12943443788915865,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.7984773637563038,1.7984773637563038,memory_active_cross_covariance_no_measurement_validation
-0.8,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.3915487683320587e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,K1_NO_MEMORY,fair_null,8,0,9.653544640795385,9.653544640795385,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,8.201558894050581,8.201558894050581,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,6.713645805899928,6.713645805899928,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,10.982764822329134,10.982764822329134,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.2239732648273738,7.223973264827373,memory_active_cross_covariance_no_measurement_validation
-0.75,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.1214236038184076,9.121423603818407,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.3899900043242983,2.3899900043242983,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.0630485813317923,1.0630485813317923,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.34414378435055104,0.34414378435055104,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,3.015070628871231,3.015070628871231,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.5728691788428326,6.572869178842833,memory_active_cross_covariance_no_measurement_validation
-0.75,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.3160457932017854,8.316045793201786,memory_active_cross_covariance_no_measurement_validation
-0.75,high_depth,K1_NO_MEMORY,fair_null,3,0,2.072559788822899,2.072559788822899,memory_active_cross_covariance_no_measurement_validation
-0.75,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7539444599483041,0.7539444599483041,memory_active_cross_covariance_no_measurement_validation
