TransformID,ProductID,RowID,z,ObservedMu,AuditPredictionMu,RawResidualMu,SameSampleOffsetMu,CenteredResidualMu,SigmaDiag,CovarianceIndex,x_z_normalized,x_chi_normalized,x_likelihood_native_index,BaselineID,TransformStatus,ClaimBoundary
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,0,0.00122,28.9987,28.592463741205396,0.40623625879460334,-0.10178211565083525,0.5080183744454386,0.17824443890343394,0,0.0005394959692575739,0.0009435810944572594,0.0,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,1,0.00122,29.0559,28.592463741205396,0.46343625879460504,-0.10178211565083525,0.5652183744454403,0.18592084337158113,1,0.0005394959692575739,0.0009435810944572594,0.000588235294117647,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,2,0.00256,30.7233,30.204113186601717,0.5191868133982815,-0.10178211565083525,0.6209689290491168,0.24750242423055172,2,0.0011320571158191716,0.001979375830813732,0.001176470588235294,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,3,0.00256,30.7449,30.204113186601717,0.5407868133982845,-0.10178211565083525,0.6425689290491198,0.276549670041387,3,0.0011320571158191716,0.001979375830813732,0.001764705882352941,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,4,0.00299,30.7757,30.541989978034827,0.2337100219651731,-0.10178211565083525,0.3354921376160084,0.6253263947731617,4,0.001322207334491923,0.002311625046715235,0.002352941176470588,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,5,0.00317,30.7946,30.669231889888408,0.12536811011159088,-0.10178211565083525,0.22715022576242613,0.15596679133713048,5,0.0014018051004479587,0.002450686965209091,0.0029411764705882353,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,6,0.00331,30.4604,30.76331002514495,-0.3029100251449499,-0.10178211565083525,-0.20112790949411466,0.15273660334052214,6,0.0014637144739693196,0.0025588384209803534,0.003529411764705882,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,7,0.00331,30.5528,30.76331002514495,-0.21051002514494854,-0.10178211565083525,-0.10872790949411329,0.12309638499972288,7,0.0014637144739693196,0.0025588384209803534,0.004117647058823529,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,8,0.00331,30.4013,30.76331002514495,-0.36201002514495073,-0.10178211565083525,-0.26022790949411545,0.11576229956250869,8,0.0014637144739693196,0.0025588384209803534,0.004705882352941176,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,9,0.00331,30.5107,30.76331002514495,-0.2526100251449499,-0.10178211565083525,-0.15082790949411465,0.11330516316567396,9,0.0014637144739693196,0.0025588384209803534,0.005294117647058823,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
