TargetFractionFloor,ModelID,ParameterCount,Chi2,AIC,BIC,MeanSigmaEffective,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
0.0,K1_NO_MEMORY,0,139789.55908762495,139789.55908762495,139789.55908762495,0.09682903470313226,0.0149935194363005,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.0,K2_LOCKED_RHO4,0,136480.7438339473,136480.7438339473,136480.7438339473,0.09682903470313226,0.0149935194363005,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.0,ZERO_RESPONSE_CONTROL,0,152850.0710833969,152850.0710833969,152850.0710833969,0.09682903470313226,0.0149935194363005,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.0,POLY_DEG2,3,2661.832384218718,2667.832384218718,2668.0707088437575,0.09682903470313226,0.0149935194363005,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.0,POLY_DEG3,4,4854.435479796139,4862.435479796139,4862.753245962858,0.09682903470313226,0.0149935194363005,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.01,K1_NO_MEMORY,0,18991.377387834793,18991.377387834793,18991.377387834793,0.10372319758912968,0.040427420538405444,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.01,K2_LOCKED_RHO4,0,18091.400569797355,18091.400569797355,18091.400569797355,0.10372319758912968,0.040427420538405444,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.01,ZERO_RESPONSE_CONTROL,0,21044.403588005123,21044.403588005123,21044.403588005123,0.10372319758912968,0.040427420538405444,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.01,POLY_DEG2,3,1009.0320602086673,1015.0320602086673,1015.2703848337068,0.10372319758912968,0.040427420538405444,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.01,POLY_DEG3,4,1379.1852380368794,1387.1852380368794,1387.5030042035987,0.10372319758912968,0.040427420538405444,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.02,K1_NO_MEMORY,0,5368.601047243807,5368.601047243807,5368.601047243807,0.11515335666379196,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.02,K2_LOCKED_RHO4,0,4874.855317309135,4874.855317309135,4874.855317309135,0.11515335666379196,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.02,ZERO_RESPONSE_CONTROL,0,6044.403588005125,6044.403588005125,6044.403588005125,0.11515335666379196,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.02,POLY_DEG2,3,555.5093095733489,561.5093095733489,561.7476341983884,0.11515335666379196,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.02,POLY_DEG3,4,552.507298640385,560.507298640385,560.8250648071044,0.11515335666379196,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.03,K1_NO_MEMORY,0,2845.8646878751065,2845.8646878751065,2845.8646878751065,0.12658351573845422,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.03,K2_LOCKED_RHO4,0,2427.3469372187233,2427.3469372187233,2427.3469372187233,0.12658351573845422,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.03,ZERO_RESPONSE_CONTROL,0,3266.6258102273478,3266.6258102273478,3266.6258102273478,0.12658351573845422,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.03,POLY_DEG2,3,471.52361501125296,477.52361501125296,477.7619396362925,0.12658351573845422,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.03,POLY_DEG3,4,399.4187913447379,407.4187913447379,407.73655751145725,0.12658351573845422,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.04,K1_NO_MEMORY,0,1962.9069620960613,1962.9069620960613,1962.9069620960613,0.13801367481311652,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.04,K2_LOCKED_RHO4,0,1570.71900418708,1570.71900418708,1570.71900418708,0.13801367481311652,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.04,ZERO_RESPONSE_CONTROL,0,2294.4035880051256,2294.4035880051256,2294.4035880051256,0.13801367481311652,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.04,POLY_DEG2,3,442.1286219145194,448.1286219145194,448.3669465395589,0.13801367481311652,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.04,POLY_DEG3,4,345.8378137912614,353.8378137912614,354.15557995798076,0.13801367481311652,0.0738473920903937,0.2122945218250446,error_floor_sweep_only_no_measurement_validation
0.05,K1_NO_MEMORY,0,1554.2236718783315,1554.2236718783315,1554.2236718783315,0.14944383388777882,0.0738473920903937,0.2550692602944641,error_floor_sweep_only_no_measurement_validation
0.05,K2_LOCKED_RHO4,0,1174.2226466124332,1174.2226466124332,1174.2226466124332,0.14944383388777882,0.0738473920903937,0.2550692602944641,error_floor_sweep_only_no_measurement_validation
0.05,ZERO_RESPONSE_CONTROL,0,1844.4035880051256,1844.4035880051256,1844.4035880051256,0.14944383388777882,0.0738473920903937,0.2550692602944641,error_floor_sweep_only_no_measurement_validation
0.05,POLY_DEG2,3,428.52293939545984,434.52293939545984,434.76126402049937,0.14944383388777882,0.0738473920903937,0.2550692602944641,error_floor_sweep_only_no_measurement_validation
0.05,POLY_DEG3,4,321.0374756093666,329.0374756093666,329.35524177608596,0.14944383388777882,0.0738473920903937,0.2550692602944641,error_floor_sweep_only_no_measurement_validation
0.06,K1_NO_MEMORY,0,1256.0560299591193,1256.0560299591193,1256.0560299591193,0.1626316421775169,0.0738473920903937,0.3060831123533569,error_floor_sweep_only_no_measurement_validation
0.06,K2_LOCKED_RHO4,0,913.8080221211713,913.8080221211713,913.8080221211713,0.1626316421775169,0.0738473920903937,0.3060831123533569,error_floor_sweep_only_no_measurement_validation
0.06,ZERO_RESPONSE_CONTROL,0,1501.6536882295609,1501.6536882295609,1501.6536882295609,0.1626316421775169,0.0738473920903937,0.3060831123533569,error_floor_sweep_only_no_measurement_validation
0.06,POLY_DEG2,3,405.2006006612674,411.2006006612674,411.4389252863069,0.1626316421775169,0.0738473920903937,0.3060831123533569,error_floor_sweep_only_no_measurement_validation
0.06,POLY_DEG3,4,298.50750184601736,306.50750184601736,306.82526801273673,0.1626316421775169,0.0738473920903937,0.3060831123533569,error_floor_sweep_only_no_measurement_validation
0.07,K1_NO_MEMORY,0,1048.8991634891458,1048.8991634891458,1048.8991634891458,0.17712310618893012,0.07429035619451207,0.3570969644122497,error_floor_sweep_only_no_measurement_validation
0.07,K2_LOCKED_RHO4,0,744.1830558872629,744.1830558872629,744.1830558872629,0.17712310618893012,0.07429035619451207,0.3570969644122497,error_floor_sweep_only_no_measurement_validation
0.07,ZERO_RESPONSE_CONTROL,0,1259.0731752461318,1259.0731752461318,1259.0731752461318,0.17712310618893012,0.07429035619451207,0.3570969644122497,error_floor_sweep_only_no_measurement_validation
0.07,POLY_DEG2,3,384.9665888941265,390.9665888941265,391.20491351916604,0.17712310618893012,0.07429035619451207,0.3570969644122497,error_floor_sweep_only_no_measurement_validation
0.07,POLY_DEG3,4,281.6533663552165,289.6533663552165,289.9711325219359,0.17712310618893012,0.07429035619451207,0.3570969644122497,error_floor_sweep_only_no_measurement_validation
0.08,K1_NO_MEMORY,0,847.5519060314833,847.5519060314833,847.5519060314833,0.19498422955999123,0.0849032642222995,0.4081108164711425,error_floor_sweep_only_no_measurement_validation
0.08,K2_LOCKED_RHO4,0,589.7724309397056,589.7724309397056,589.7724309397056,0.19498422955999123,0.0849032642222995,0.4081108164711425,error_floor_sweep_only_no_measurement_validation
0.08,ZERO_RESPONSE_CONTROL,0,1019.915011980826,1019.915011980826,1019.915011980826,0.19498422955999123,0.0849032642222995,0.4081108164711425,error_floor_sweep_only_no_measurement_validation
0.08,POLY_DEG2,3,345.3818364217329,351.3818364217329,351.6201610467724,0.19498422955999123,0.0849032642222995,0.4081108164711425,error_floor_sweep_only_no_measurement_validation
0.08,POLY_DEG3,4,259.8642345164693,267.8642345164693,268.1820006831887,0.19498422955999123,0.0849032642222995,0.4081108164711425,error_floor_sweep_only_no_measurement_validation
0.09,K1_NO_MEMORY,0,689.5404158603731,689.5404158603731,689.5404158603731,0.21428407510298367,0.0904224520916678,0.4591246685300353,error_floor_sweep_only_no_measurement_validation
0.09,K2_LOCKED_RHO4,0,474.8073248169062,474.8073248169062,474.8073248169062,0.21428407510298367,0.0904224520916678,0.4591246685300353,error_floor_sweep_only_no_measurement_validation
0.09,ZERO_RESPONSE_CONTROL,0,829.7721991654412,829.7721991654412,829.7721991654412,0.21428407510298367,0.0904224520916678,0.4591246685300353,error_floor_sweep_only_no_measurement_validation
0.09,POLY_DEG2,3,317.38766094512437,323.38766094512437,323.6259855701639,0.21428407510298367,0.0904224520916678,0.4591246685300353,error_floor_sweep_only_no_measurement_validation
0.09,POLY_DEG3,4,244.92123592038195,252.92123592038195,253.23900208710128,0.21428407510298367,0.0904224520916678,0.4591246685300353,error_floor_sweep_only_no_measurement_validation
0.1,K1_NO_MEMORY,0,572.9054673359008,572.9054673359008,572.9054673359008,0.23388901436558313,0.0904224520916678,0.5101385205889282,error_floor_sweep_only_no_measurement_validation
0.1,K2_LOCKED_RHO4,0,390.9278937588457,390.9278937588457,390.9278937588457,0.23388901436558313,0.0904224520916678,0.5101385205889282,error_floor_sweep_only_no_measurement_validation
0.1,ZERO_RESPONSE_CONTROL,0,689.0314584247003,689.0314584247003,689.0314584247003,0.23388901436558313,0.0904224520916678,0.5101385205889282,error_floor_sweep_only_no_measurement_validation
0.1,POLY_DEG2,3,297.20900973937785,303.20900973937785,303.4473343644174,0.23388901436558313,0.0904224520916678,0.5101385205889282,error_floor_sweep_only_no_measurement_validation
0.1,POLY_DEG3,4,234.23179390303753,242.23179390303753,242.54956006975686,0.23388901436558313,0.0904224520916678,0.5101385205889282,error_floor_sweep_only_no_measurement_validation
0.11,K1_NO_MEMORY,0,482.7204171487122,482.7204171487122,482.7204171487122,0.25422110411015086,0.0904224520916678,0.5611523726478209,error_floor_sweep_only_no_measurement_validation
0.11,K2_LOCKED_RHO4,0,327.206070671239,327.206070671239,327.206070671239,0.25422110411015086,0.0904224520916678,0.5611523726478209,error_floor_sweep_only_no_measurement_validation
