Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestZMin,TestZMax,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,K1_NO_MEMORY,fair_null,0,7,1,0,0.51,0.51,8.285140264595785,8.285140264595785,4.898156406749777,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,K2_LOCKED_RHO4,locked_prediction,0,7,1,0,0.51,0.51,8.172606510613544,8.172606510613544,4.864777825337984,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,POLY_DEG2,overfit_risk_control,3,7,1,0,0.51,0.51,0.09026479310315784,0.09026479310315784,0.5112601129998797,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_0,POLY_DEG3,overfit_risk_control,4,7,1,0,0.51,0.51,21.87138780496697,21.87138780496697,7.958310633065016,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,K1_NO_MEMORY,fair_null,0,7,1,1,0.7375,0.7375,5.606871613413383,5.606871613413383,3.823457452671512,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,K2_LOCKED_RHO4,locked_prediction,0,7,1,1,0.7375,0.7375,5.3458396104529395,5.3458396104529395,3.7333947995763315,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,POLY_DEG2,overfit_risk_control,3,7,1,1,0.7375,0.7375,0.7420307066541216,0.7420307066541216,1.3909351899066484,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_1,POLY_DEG3,overfit_risk_control,4,7,1,1,0.7375,0.7375,2.2372499018757557,2.2372499018757557,2.415200582376012,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,K1_NO_MEMORY,fair_null,0,7,1,2,0.965,0.965,0.4326823754018573,0.4326823754018573,0.9962064728097975,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,K2_LOCKED_RHO4,locked_prediction,0,7,1,2,0.965,0.965,0.3906434337044828,0.3906434337044828,0.9465749799094425,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,POLY_DEG2,overfit_risk_control,3,7,1,2,0.965,0.965,0.3827351460184784,0.3827351460184784,0.9369446353599897,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_2,POLY_DEG3,overfit_risk_control,4,7,1,2,0.965,0.965,0.15721649564552873,0.15721649564552873,0.6005011070520847,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_3,K1_NO_MEMORY,fair_null,0,7,1,3,1.1925,1.1925,0.006726256221294773,0.006726256221294773,0.121014110537782,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_3,K2_LOCKED_RHO4,locked_prediction,0,7,1,3,1.1925,1.1925,0.006706055066756494,0.006706055066756494,0.12083225134807377,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_3,POLY_DEG2,overfit_risk_control,3,7,1,3,1.1925,1.1925,1.4092405774432482,1.4092405774432482,1.7516280028252784,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_3,POLY_DEG3,overfit_risk_control,4,7,1,3,1.1925,1.1925,1.2643750841819754,1.2643750841819754,1.6591561997118718,polynomial_cv_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_4,K1_NO_MEMORY,fair_null,0,7,1,4,1.42,1.42,0.9239210418380408,0.9239210418380408,1.4674035388470796,polynomial_cv_no_measurement_validation
