ExportID,FamilyID,FamilyType,SourceProductID,TargetID,GridIndex,z_grid,x_coordinate,x_mapping,ResponseValue,ResponseSigma,ResponseSign,CoordinateNative,UsesPublicSN,UsesPublicBAO,FittedInThisNote,ClaimBoundary
RF_RESPONSE_PREVIEW_V1,RFAM_SN_RESIDUAL_BRANCH,SN_branch,PANTHEON_PLUS_SH0ES_SN,SS_TARGET_COORDINATE_NATIVE_V1,0,0.51,0.3416929010998006,x_chi_normalized_flat_lcdm_audit,-2.783324502476582,1.0,-1,True,True,False,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_BAO_RESIDUAL_BRANCH,BAO_branch,DESI_DR2_BAO_ALL_GAUSSIAN,SS_TARGET_COORDINATE_NATIVE_V1,0,0.51,0.3416929010998006,x_chi_normalized_flat_lcdm_audit,2.3180607034126988,1.0,1,True,False,True,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_SN_RESIDUAL_BRANCH,SN_branch,PANTHEON_PLUS_SH0ES_SN,SS_TARGET_COORDINATE_NATIVE_V1,1,0.7375,0.4647935960751178,x_chi_normalized_flat_lcdm_audit,-3.5097816640421167,1.0,-1,True,True,False,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_BAO_RESIDUAL_BRANCH,BAO_branch,DESI_DR2_BAO_ALL_GAUSSIAN,SS_TARGET_COORDINATE_NATIVE_V1,1,0.7375,0.4647935960751178,x_chi_normalized_flat_lcdm_audit,0.5329603897984276,1.0,1,True,False,True,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_SN_RESIDUAL_BRANCH,SN_branch,PANTHEON_PLUS_SH0ES_SN,SS_TARGET_COORDINATE_NATIVE_V1,2,0.965,0.5722853512593028,x_chi_normalized_flat_lcdm_audit,1.28009254511743,1.0,1,True,True,False,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_BAO_RESIDUAL_BRANCH,BAO_branch,DESI_DR2_BAO_ALL_GAUSSIAN,SS_TARGET_COORDINATE_NATIVE_V1,2,0.965,0.5722853512593028,x_chi_normalized_flat_lcdm_audit,2.3413833478961736,1.0,1,True,False,True,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_SN_RESIDUAL_BRANCH,SN_branch,PANTHEON_PLUS_SH0ES_SN,SS_TARGET_COORDINATE_NATIVE_V1,3,1.1925,0.6664206564248482,x_chi_normalized_flat_lcdm_audit,1.7820506209377074,1.0,1,True,True,False,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_BAO_RESIDUAL_BRANCH,BAO_branch,DESI_DR2_BAO_ALL_GAUSSIAN,SS_TARGET_COORDINATE_NATIVE_V1,3,1.1925,0.6664206564248482,x_chi_normalized_flat_lcdm_audit,1.6608848291522258,1.0,1,True,False,True,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_SN_RESIDUAL_BRANCH,SN_branch,PANTHEON_PLUS_SH0ES_SN,SS_TARGET_COORDINATE_NATIVE_V1,4,1.42,0.7492942398266921,x_chi_normalized_flat_lcdm_audit,-0.340120582692041,1.0,-1,True,True,False,False,schema_preview_only_no_measurement_validation
RF_RESPONSE_PREVIEW_V1,RFAM_BAO_RESIDUAL_BRANCH,BAO_branch,DESI_DR2_BAO_ALL_GAUSSIAN,SS_TARGET_COORDINATE_NATIVE_V1,4,1.42,0.7492942398266921,x_chi_normalized_flat_lcdm_audit,1.3269554052404389,1.0,1,True,False,True,False,schema_preview_only_no_measurement_validation
