RhoCross,ModelID,ModelClass,Rows,PositiveDefinite,ParameterCount,Chi2,AIC,BIC,SignStableViolations,ClaimBoundary
-0.55,POLY_DEG3,overfit_risk_control,8,True,4,1.2801257270640447,9.280125727064044,9.597891893783387,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,K1_NO_MEMORY,fair_null,8,True,0,11.007649285222673,11.007649285222673,11.007649285222673,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.377523791477245,9.377523791477245,9.377523791477245,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,12.51520430199889,12.51520430199889,12.51520430199889,5,cross_covariance_sensitivity_no_measurement_validation
-0.5,POLY_DEG2,overfit_risk_control,8,True,3,1.4242459095532611,7.424245909553261,7.662570534592768,0,cross_covariance_sensitivity_no_measurement_validation
-0.5,POLY_DEG3,overfit_risk_control,8,True,4,1.3260646824661682,9.326064682466168,9.64383084918551,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,K1_NO_MEMORY,fair_null,8,True,0,11.327093945273017,11.327093945273017,11.327093945273017,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.655219490582887,9.655219490582887,9.655219490582887,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,12.876744559001274,12.876744559001274,12.876744559001274,5,cross_covariance_sensitivity_no_measurement_validation
-0.45,POLY_DEG2,overfit_risk_control,8,True,3,1.4736106751279623,7.473610675127962,7.711935300167469,0,cross_covariance_sensitivity_no_measurement_validation
-0.45,POLY_DEG3,overfit_risk_control,8,True,4,1.3755762808797136,9.375576280879713,9.693342447599056,0,cross_covariance_sensitivity_no_measurement_validation
-0.4,K1_NO_MEMORY,fair_null,8,True,0,11.666391131075796,11.666391131075796,11.666391131075796,0,cross_covariance_sensitivity_no_measurement_validation
-0.4,K2_LOCKED_RHO4,locked_prediction,8,True,0,9.950227340773777,9.950227340773777,9.950227340773777,0,cross_covariance_sensitivity_no_measurement_validation
-0.4,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,13.260796471912478,13.260796471912478,13.260796471912478,5,cross_covariance_sensitivity_no_measurement_validation
-0.4,POLY_DEG2,overfit_risk_control,8,True,3,1.5267069874599728,7.526706987459972,7.765031612499479,0,cross_covariance_sensitivity_no_measurement_validation
-0.4,POLY_DEG3,overfit_risk_control,8,True,4,1.4291183212953706,9.42911832129537,9.746884488014715,0,cross_covariance_sensitivity_no_measurement_validation
-0.35,K1_NO_MEMORY,fair_null,8,True,0,12.0275400330667,12.0275400330667,12.0275400330667,0,cross_covariance_sensitivity_no_measurement_validation
-0.35,K2_LOCKED_RHO4,locked_prediction,8,True,0,10.264256900781936,10.264256900781936,10.264256900781936,0,cross_covariance_sensitivity_no_measurement_validation
-0.35,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,13.669652243372303,13.669652243372303,13.669652243372303,5,cross_covariance_sensitivity_no_measurement_validation
-0.35,POLY_DEG2,overfit_risk_control,8,True,3,1.5840051753713191,7.584005175371319,7.8223298004108255,0,cross_covariance_sensitivity_no_measurement_validation
-0.35,POLY_DEG3,overfit_risk_control,8,True,4,1.4872358352612314,9.487235835261231,9.805002001980574,0,cross_covariance_sensitivity_no_measurement_validation
-0.3,K1_NO_MEMORY,fair_null,8,True,0,12.41283535604266,12.41283535604266,12.41283535604266,0,cross_covariance_sensitivity_no_measurement_validation
-0.3,K2_LOCKED_RHO4,locked_prediction,8,True,0,10.599257146459177,10.599257146459177,10.599257146459177,0,cross_covariance_sensitivity_no_measurement_validation
