MappingID,ModelID,Chi2DiagProxy,MaxContribution,TopContributionZ,EnvelopeBreaches,SignViolations
z_normalized_current_packet,K2_LOCKED_RHO4,2.9194487895523,0.606778490051,1.647500,1,0
z_normalized_current_packet,K1_NO_MEMORY,1.3977214880681499,0.275087453432,0.510000,0,0
z_normalized_current_packet,POLY_DEG2,0.4598396582066689,0.244960266897,1.647500,0,0
z_normalized_current_packet,POLY_DEG3,0.45204467755963995,0.234878578667,1.647500,0,0
z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,5.7672386441921,1.87424594382,1.420000,3,2
z_normalized_current_packet,COORDINATE_REMAP_CONTROL,2.3641298003158,0.468339148637,1.647500,0,0
z_normalized_recomputed,K2_LOCKED_RHO4,2.919445634066,0.606776974905,1.647500,1,0
z_normalized_recomputed,K1_NO_MEMORY,1.3977214880681499,0.275087453432,0.510000,0,0
z_normalized_recomputed,POLY_DEG2,0.4598359411409345,0.244958355724,1.647500,0,0
z_normalized_recomputed,POLY_DEG3,0.45204206956304904,0.234878103405,1.647500,0,0
z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,5.7672386441921,1.87424594382,1.420000,3,2
z_normalized_recomputed,COORDINATE_REMAP_CONTROL,2.3641270940746,0.468337851212,1.647500,0,0
chi_normalized_flat_lcdm_audit,K2_LOCKED_RHO4,5.584251396696,1.14229378406,1.647500,3,0
chi_normalized_flat_lcdm_audit,K1_NO_MEMORY,1.3977214880681499,0.275087453432,0.510000,0,0
chi_normalized_flat_lcdm_audit,POLY_DEG2,0.7252084229443186,0.636873661091,1.647500,0,1
chi_normalized_flat_lcdm_audit,POLY_DEG3,0.588034892870235,0.369946572231,1.420000,0,0
chi_normalized_flat_lcdm_audit,SIGN_RANDOMIZED_CONTROL,5.7672386441921,1.87424594382,1.420000,3,2
chi_normalized_flat_lcdm_audit,COORDINATE_REMAP_CONTROL,4.41263814662,0.962528175075,1.647500,3,0
optical_depth_like_uniform,K2_LOCKED_RHO4,2.3535307287956,0.486374680159,1.647500,0,0
optical_depth_like_uniform,K1_NO_MEMORY,1.3977214880681499,0.275087453432,0.510000,0,0
optical_depth_like_uniform,POLY_DEG2,0.4598359411409345,0.244958355724,1.647500,0,0
optical_depth_like_uniform,POLY_DEG3,0.45204206956304904,0.234878103405,1.647500,0,0
optical_depth_like_uniform,SIGN_RANDOMIZED_CONTROL,5.7672386441921,1.87424594382,1.420000,3,2
optical_depth_like_uniform,COORDINATE_REMAP_CONTROL,1.9918251941706502,0.367490861998,1.647500,0,0
likelihood_native_index,K2_LOCKED_RHO4,2.0079631255362997,0.388215525157,1.647500,0,0
likelihood_native_index,K1_NO_MEMORY,1.3977214880681499,0.275087453432,0.510000,0,0
likelihood_native_index,POLY_DEG2,0.4598359411409345,0.244958355724,1.647500,0,0
likelihood_native_index,POLY_DEG3,0.45204206956304904,0.234878103405,1.647500,0,0
likelihood_native_index,SIGN_RANDOMIZED_CONTROL,5.7672386441921,1.87424594382,1.420000,3,2
likelihood_native_index,COORDINATE_REMAP_CONTROL,1.7742885345145578,0.337202367998,2.330000,0,0
