ProtocolID,FoldID,FoldClass,TrainRows,TestRows,TestFamilies,TestClockBlocks,PrimaryOOS,RandomRowShuffle,ClaimBoundary
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,lofo_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,primary_leave_one_family_out,24,12,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,all,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,lofo_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,primary_leave_one_family_out,24,12,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,all,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,lofo_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,primary_leave_one_family_out,24,12,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,all,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_clock_block_0,primary_contiguous_clock_block,24,12,all,clock_block_0,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_clock_block_1,primary_contiguous_clock_block,24,12,all,clock_block_1,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_clock_block_2,primary_contiguous_clock_block,24,12,all,clock_block_2,True,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_clock_even,secondary_interleaved_clock_holdout,18,18,all,clock_index_even,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_clock_odd,secondary_interleaved_clock_holdout,18,18,all,clock_index_odd,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_0,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_0,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_1,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_1,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY_clock_block_2,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,clock_block_2,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_0,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_0,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_1,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_1,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY_clock_block_2,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_2_LOW_LOSS_PROXY,clock_block_2,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_0,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_0,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_1,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_1,False,False,backreaction_36_fold_design_no_random_primary_oos
P5B_BACKREACTION_36_FROZEN_MORPHOLOGY_PROTOCOL_v1,holdout_REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY_clock_block_2,secondary_family_x_clock_block,32,4,REGISTERED_HD_CRITERIA_3_LOSS_COMPLEXITY,clock_block_2,False,False,backreaction_36_fold_design_no_random_primary_oos
