RhoCross,SubsetID,Rows,BestModel,A2AIC,K1AIC,UnitK2AIC,BestPolyAIC,DeltaAIC_A2_minus_K1,DeltaAIC_A2_minus_UnitK2,DeltaAIC_A2_minus_BestPoly,A2ImprovesOverK1,A2ImprovesOverUnitK2,A2BeatsBestPoly,ClaimBoundary
-0.7,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.24806313197484006,0.8985426883418045,0.5675165312263418,6.0,-0.6504795563669644,-0.31945339925150174,-5.75193686802516,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.35536678550653145,2.4463683981782456,1.0877711189881243,6.592052931596277,-2.091001612671714,-0.7324043334815928,-6.236686146089745,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,8,K2_SOURCE_SPLIT_A2_PRIOR_V1,7.08502192998578,10.15191578788695,8.634082849296078,7.297639606838939,-3.066893857901169,-1.549060919310298,-0.21261767685315913,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.09139717069116761,2.179708462773913,0.7920078091165554,6.0,-2.0883112920827456,-0.7006106384253878,-5.908602829308832,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.14547694640020375,1.429285106908447,0.5349091095567006,6.0,-1.2838081605082432,-0.3894321631564968,-5.854523053599796,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2549163038407341,0.9188128392025127,0.5809218177146331,6.0,-0.6638965353617785,-0.32600551387389903,-5.7450836961592655,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.3673988972571739,2.5058528991310105,1.1138008858370598,6.612618364052583,-2.1384540018738365,-0.7464019885798859,-6.245219466795409,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,8,K2_SOURCE_SPLIT_A2_PRIOR_V1,7.286891280049778,10.421516146236927,8.868215006026396,7.3380259280014775,-3.134624866187149,-1.5813237259766186,-0.05113464795169964,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.6,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.09500347754728045,2.237838968243552,0.8125780472890798,6.0,-2.1428354906962714,-0.7175745697417993,-5.90499652245272,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.6,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.15180857991035634,1.4610626789025174,0.5453935567865955,6.0,-1.309254098992161,-0.39358497687623917,-5.848191420089644,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.6,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.26218292946354366,0.9400349304715496,0.595000670299983,6.0,-0.677852001008006,-0.3328177408364394,-5.737817070536456,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.6,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.38033627528799,2.5687444415851393,1.1412554758003228,6.634726830496874,-2.1884081662971493,-0.7609192005123329,-6.254390555208883,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.55,all_depth,8,POLY_DEG2,7.500878887977977,10.706304790111128,9.115633537349847,7.381109938324393,-3.2054259021331513,-1.6147546493718705,0.11976894965358387,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.55,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.09892191661879401,2.2993947275088167,0.8342936701440433,6.0,-2.2004728108900227,-0.7353717535252493,-5.901078083381206,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.55,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.15875448211981297,1.4946167173040417,0.5563476413206996,6.0,-1.3358622351842286,-0.3975931592008866,-5.841245517880187,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.55,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2699044606822487,0.9622796151663531,0.6098082673656798,6.0,-0.6923751544841044,-0.3399038066834311,-5.730095539317752,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.55,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.3942917630794535,2.6353889629943428,1.1702683037722132,6.658566996703415,-2.2410971999148894,-0.7759765406927597,-6.2642752336239615,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.5,all_depth,8,POLY_DEG2,7.7281487981752015,11.007649285222673,9.377523791477246,7.42718520677549,-3.2795004870474713,-1.649374993302045,0.30096359139971174,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.5,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.10319691878664648,2.3647201036986987,0.8572588470784799,6.0,-2.2615231849120523,-0.7540619282918334,-5.896803081213354,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.5,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.16641124951501485,1.5301454205095473,0.5678115338874605,6.0,-1.3637341709945323,-0.4014002843724457,-5.833588750484985,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.5,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.27812857951880393,0.9856250662362784,0.625406538755891,6.0,-0.7074964867174744,-0.3472779592370871,-5.721871420481196,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.5,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.40939884811883603,2.7061869723714618,1.2009915594756075,6.684361150104037,-2.296788124252626,-0.7915927113567716,-6.274962301985201,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.45,all_depth,8,POLY_DEG2,7.970027047315721,11.327093945273017,9.655219490582889,7.476592311396269,-3.3570668979572957,-1.6851924432671677,0.4934347359194522,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.45,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.10788213547363829,2.4342132778380794,0.8815917712629922,6.0,-2.3263311423644413,-0.7737096357893538,-5.892117864526361,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.45,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.1748970912945245,1.5678845983821068,0.5798316803859109,6.0,-1.3929875070875823,-0.40493458909138647,-5.8251029087054755,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.45,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2869105300905958,1.0101580890503212,0.6418653634022249,6.0,-0.7232475589597254,-0.3549548333116291,-5.713089469909404,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.45,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.4258168454990185,2.7816058556559615,1.2335998932582517,6.712373425062092,-2.355789010156943,-0.8077830477592332,-6.286556579563073,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.4,all_depth,8,POLY_DEG2,8.22803303493189,11.666391131075796,9.950227340773777,7.529729401009861,-3.438358096143906,-1.722194305841887,0.6983036339220288,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.4,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.11304304411677497,2.508338617455256,0.9074273370711401,6.0,-2.395295573338481,-0.7943842929543651,-5.886956955883225,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.4,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.1843582595001617,1.6081181428735336,0.5924624059053745,6.0,-1.423759883373372,-0.40810414640521275,-5.815641740499839,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.4,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2963148415008851,1.0359754638392837,0.6592640707314413,6.0,-0.7396606223383986,-0.3629492292305562,-5.703685158499115,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.4,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.4437377923519622,2.8621959317031975,1.2682950685602568,6.742920685712004,-2.418458139351235,-0.8245572762082946,-6.299182893360042,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.35,all_depth,8,POLY_DEG2,8.503919225347934,12.0275400330667,10.264256900781936,7.587065994618723,-3.523620807718766,-1.7603376754340019,0.9168532307292105,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.35,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.11876051279792285,2.5876430205250993,0.9349205273225489,6.0,-2.4688825077271765,-0.816160014524626,-5.881239487202077,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.35,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.19497792414730114,1.6511923807028013,0.6057681034721533,6.0,-1.4562144565555002,-0.4107901793248521,-5.8050220758526985,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.35,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.3064175945329247,1.0631855856220191,0.6776933535939426,6.0,-0.7567679910890944,-0.37127575906101784,-5.693582405467075,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.35,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.4633957729716237,2.9486117458716667,1.3053119118648644,6.776387168594583,-2.485215972900043,-0.8419161388932407,-6.3129913956229595,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.3,all_depth,8,POLY_DEG2,8.799722189300109,12.41283535604266,10.599257146459177,7.649161341142214,-3.6131131667425507,-1.799534957159068,1.1505608481578946,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.3,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.12513577040026025,2.672777938652492,0.9642507672827969,6.0,-2.547642168252232,-0.8391149968825367,-5.87486422959974,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.3,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.20698865223887397,1.697536128966654,0.6198262852701482,6.0,-1.49054747672778,-0.4128376330312742,-5.7930113477611265,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.3,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.3173094622337708,1.0919104972352267,0.6972577519612286,6.0,-0.7746010350014558,-0.3799482897274578,-5.682690537766229,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.3,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.4850797720444427,3.041640834181737,1.3449260367514966,6.81324456128356,-2.5565610621372943,-0.8598462647070539,-6.328164789239118,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.25,all_depth,8,POLY_DEG2,9.117829447484109,12.82492938289606,10.957461675865428,7.71668936486732,-3.707099935411952,-1.8396322283813191,1.4011400826167888,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.25,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.13229748588445045,2.7645297200463883,0.9956276266328586,6.0,-2.632232234161938,-0.8633301407484082,-5.86770251411555,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.25,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2206903232042231,1.7476893269673208,0.6347319385490637,6.0,-1.5269990037630978,-0.41404161534484063,-5.779309676795777,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.25,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.3290998809634402,1.1222884551615044,0.7180789500412565,6.0,-0.7931885741980642,-0.3889790690778164,-5.67090011903656,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.25,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.5091517738166677,3.142243401078991,1.3874640464354666,6.85408013602766,-2.6330916272623233,-0.878312272618799,-6.344928362210992,True,True,True,memory_active_cross_covariance_no_measurement_validation
