AuditID,RhoCross,PositiveDefinite,BestModel,K1AIC,K2AIC,BestPolyAIC,DeltaAIC_K2_minus_K1,DeltaAIC_K2_minus_BestPoly,K2ImprovesOverK1,K2BeatsBestPoly,PolicySelectionAllowed,MeasurementValidationAllowed,ClaimBoundary
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.9,True,POLY_DEG2,8.993373136559704,7.629301967545316,7.125691177202926,-1.3640711690143883,0.5036107903423899,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.85,True,POLY_DEG2,9.20292022518997,7.810848758781682,7.155794436645495,-1.3920714664082885,0.6550543221361869,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.8,True,POLY_DEG2,9.422714106463308,8.001370497772513,7.187597113794004,-1.421343608690794,0.8137733839785088,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.75,True,POLY_DEG2,9.65354464079538,8.201558894050581,7.2212520183260125,-1.4519857467448,0.980306875724569,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.7,True,POLY_DEG2,9.89628735423064,8.412179660513996,7.256931578610959,-1.4841076937166449,1.1552480819030366,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.65,True,POLY_DEG2,10.15191578788695,8.634082849296078,7.294831247287155,-1.517832938590871,1.3392516020089236,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.6,True,POLY_DEG2,10.421516146236929,8.868215006026395,7.335173681905665,-1.553301140210534,1.5330413241207292,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.55,True,POLY_DEG2,10.706304790111126,9.115633537349847,7.378213927241922,-1.590671252761279,1.7374196101079251,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.5,True,POLY_DEG2,11.007649285222673,9.377523791477245,7.424245909553261,-1.630125493745428,1.9532778819239835,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.45,True,POLY_DEG2,11.327093945273017,9.655219490582889,7.473610675127962,-1.67187445469013,2.1816088154549247,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.4,True,POLY_DEG2,11.666391131075796,9.950227340773775,7.526706987459972,-1.7161637903020193,2.4235203533138048,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.35,True,POLY_DEG2,12.0275400330667,10.264256900781936,7.584005175371319,-1.763283132284764,2.680251725410617,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.3,True,POLY_DEG2,12.41283535604266,10.599257146459175,7.646065560717336,-1.8135782095834827,2.953191585741841,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.25,True,POLY_DEG2,12.82492938289606,10.957461675865428,7.713563500332468,-1.867467707030631,3.2438981755329603,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.2,True,POLY_DEG2,13.26691257043593,11.341445244924152,7.787324259359588,-1.925467325511777,3.5541209855645644,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.15,True,POLY_DEG2,13.74242059618151,11.754195456611278,7.8683729925822785,-1.9882251395702328,3.8858224640289993,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.1,True,POLY_DEG2,14.255780556278452,12.199205226898824,7.958008861332717,-2.056575329379628,4.241196365566108,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,-0.05,True,POLY_DEG2,14.812217738265378,12.680594674139236,8.057919507065614,-2.131623064126142,4.622675167073622,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.0,True,POLY_DEG2,15.418161337537834,13.20327652271834,8.17036675506235,-2.2148848148194933,5.03290976765599,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.05,True,POLY_DEG2,16.08172290336907,13.773189806689231,8.29850647586644,-2.3085330966798363,5.474683330822794,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.1,True,POLY_DEG2,16.813502042551512,14.397650063834332,8.446981975833726,-2.41585197871718,5.950668088000606,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.15,True,POLY_DEG2,17.628078401655127,15.085922725424552,8.623133207503878,-2.542155676230575,6.462789517920674,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.2,True,POLY_DEG2,18.547139731667645,15.85029911271565,8.839782399839876,-2.6968406189519953,7.0105167128757735,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.25,True,POLY_DEG2,19.60722490875833,16.70858661493627,9.122828911966506,-2.8986382938220565,7.585757702969763,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.3,True,POLY_DEG2,20.883967205429457,17.692064002171435,9.537903901863752,-3.191903203258022,8.154160100307683,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.35,True,POLY_DEG2,22.60303970121648,18.88915877763224,10.337123294046314,-3.7138809235842416,8.552035483585925,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
A2_CROSS_COVARIANCE_POLICY_AUDIT_V1,0.4,True,POLY_DEG2,26.500621250059723,21.68920705750676,15.57989241869455,-4.811414192552963,6.10931463881221,True,False,False,False,a2_cross_covariance_policy_audit_no_measurement_validation
