ValidationMode,SigmaRoute,PolynomialModel,GridIndex,z,x,DepthZone,Target,A2Prediction,PolynomialPrediction,Sigma,A2Residual,PolynomialResidual,A2Chi2,PolynomialChi2,DeltaChi2_A2_minus_Poly,A2BeatsPolynomial,SignStable,SNBAOSameSign,ClaimBoundary
leave_one_out,public_proxy_diag,POLY_DEG2,0,0.51,0.3416929010998006,low_depth,-5.101385205889281,-0.4732147611025956,-5.577310621666211,1.701698892301421,-4.628170444786686,0.4759254157769295,7.396959774181269,0.07821901878267538,7.3187407553985935,False,True,False,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,1,0.7375,0.4647935960751178,low_depth,-4.042742053840544,-0.618694508528425,-2.6588474304671763,1.6147152832462313,-3.424047545312119,-1.3838946233733678,4.496635256438409,0.7345377702399079,3.762097486198501,False,True,False,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,2,0.965,0.5722853512593028,mid_depth,-1.0612908027787438,-0.2294316457386025,-2.0045130482654,1.5144842338065214,-0.8318591570401412,0.9432222454866561,0.3016963737369355,0.38788104463241696,-0.08618467089548149,True,True,True,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,3,1.1925,0.6664206564248482,mid_depth,0.1211657917854815,0.0006670808748154,-1.6323355699032085,1.4755343006773876,0.1204987109106661,1.75350136168869,0.006669083920204645,1.4122565432348526,-1.405587459314648,True,False,True,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,4,1.42,0.7492942398266921,mid_depth,-1.66707598793248,-1.0774911011919568,-0.7699470264869959,1.5266241667746752,-0.5895848867405231,-0.897128961445484,0.1491517724463316,0.3453388892197001,-0.19618711677336848,True,True,False,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,5,1.6475,0.8227137721205666,high_depth,-1.3950527132306294,-1.1448866415174794,-1.0510452712405876,1.470605588976939,-0.25016607171315,-0.34400744199004185,0.02893772556944549,0.05471964250845633,-0.02578191693901084,True,True,False,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,6,1.875,0.8881852892662213,high_depth,-2.4164046464078455,-2.605508631698117,-1.1897826724851317,1.4480873485938237,0.1891039852902714,-1.2266219739227138,0.017053433989649706,0.7175166152858966,-0.7004631812962469,True,False,False,row_tension_no_measurement_validation
leave_one_out,public_proxy_diag,POLY_DEG2,8,2.33,1.0,high_depth,-1.9828338698253765,-1.580742509125811,-4.65269510335737,1.4164867477336152,-0.4020913606995655,2.669861233531994,0.08057947852729137,3.5526493751364834,-3.472069896609192,True,False,True,row_tension_no_measurement_validation
blocked_low_depth,public_proxy_diag,POLY_DEG2,0,0.51,0.3416929010998006,low_depth,-5.101385205889281,-0.4732147611025956,0.33910715674086966,1.701698892301421,-4.628170444786686,-5.440492362630151,7.396959774181269,10.221413968626486,-2.8244541944452166,True,True,False,row_tension_no_measurement_validation
blocked_low_depth,public_proxy_diag,POLY_DEG2,1,0.7375,0.4647935960751178,low_depth,-4.042742053840544,-0.618694508528425,-0.133362209877103,1.6147152832462313,-3.424047545312119,-3.909379843963441,4.496635256438409,5.86170323393971,-1.365067977501301,True,True,False,row_tension_no_measurement_validation
