AuditID,RouteID,VariantID,VariantClass,ForbiddenForClaims,SubsetID,RemovedZ,RowsRemaining,ProjectedScale,BackreactionLikeEnergyFractionOfK2,ResidualEnergyFractionOfK2,CorrelationComponentWithTarget,CorrelationResidualWithTarget,ComponentChi2ToTarget,ResidualChi2ToTarget,LockedK2Changed,ScaleFitAllowed,MeasurementValidationAllowed,ClaimBoundary
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,mid_high_depth,1.6475,5,0.3380670628731095,0.5443018346796002,0.4556981653203998,0.685534171864947,0.3019646489724624,3.195932921348488,2.984515103302622,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,mid_high_depth,1.875,5,0.21706530248472322,0.6884901751389982,0.3115098248610016,0.6104094730802377,0.5942187476606176,2.2353816608667474,1.9727501715286984,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,mid_high_depth,2.33,5,0.4745111476012944,0.45544883114182255,0.5445511688581772,0.5776590923685979,0.8018795687855753,2.9456146798782665,1.421746457228295,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,high_depth,NONE,3,0.41355531631761444,0.6951477781694643,0.30485222183053573,0.7273162329439414,0.27475554153013104,1.3175587079244093,3.096361005481234,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,high_depth,1.6475,2,0.41156296424280775,0.6919620838378687,0.308037916162131,-0.9999999999999999,0.9999999999999999,1.2385209135470399,2.9658932553234605,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,high_depth,1.875,2,0.28069628190177937,0.9830547655986146,0.01694523440138588,1.0,-1.0,0.6025030610557793,1.6295949155590561,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,CENTERED_OMEGA,mean_removed_shape_variant,False,high_depth,2.33,2,0.9511992891566632,0.9929006204339835,0.007099379566016659,1.0,1.0,0.29975432883014974,2.0915729524958016,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,NONE,6,1.2376175783125634,0.548303782136944,0.4516962178630562,0.6626838616897928,0.34810145957924116,3.2862581525433505,3.1036954166429043,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,0.965,5,1.3737070673555014,0.624676859944704,0.37532314005529605,0.7801691453735085,0.22365650209293544,2.121055486281171,3.080470483626369,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,1.1925,5,1.2656321750912647,0.5561289530242278,0.4438710469757724,0.672233747093306,0.29716367687180006,3.267431316538628,3.0752331627387393,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,1.42,5,1.3141675603069447,0.5968180750568927,0.40318192494310745,0.6876533778833053,0.29313972602315097,2.5855279838688077,3.0641084187244365,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,1.6475,5,1.2291108585892576,0.5443018346796001,0.45569816532039986,0.685534171864947,0.3019646489724624,3.1959329213484886,2.984515103302622,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,1.875,5,0.7891846015388819,0.6884901751389985,0.3115098248610016,0.6104094730802376,0.5942187476606172,2.235381660866747,1.9727501715286986,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,mid_high_depth,2.33,5,1.7251807942535646,0.4554488311418223,0.5445511688581774,0.5776590923685979,0.8018795687855754,2.945614679878267,1.4217464572282947,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,high_depth,NONE,3,1.5035635994627583,0.6951477781694644,0.3048522218305358,0.727316232943941,0.2747555415301311,1.3175587079244093,3.096361005481235,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,high_depth,1.6475,2,1.496320002442492,0.6919620838378687,0.308037916162131,-0.9999999999999999,0.9999999999999999,1.2385209135470403,2.9658932553234605,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,high_depth,1.875,2,1.020527835864932,0.9830547655986146,0.016945234401385862,1.0,-1.0,0.6025030610557793,1.6295949155590561,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,UNIT_SHAPE_OMEGA,unit_norm_shape_variant,False,high_depth,2.33,2,3.458276488247127,0.992900620433983,0.007099379566016685,1.0,1.0,0.29975432883015,2.0915729524958016,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,NONE,6,0.36372020749951733,0.5144508687591224,0.4855491312408776,0.6350136199642195,0.3885137256138492,3.0263648237552996,3.3635887454309543,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,0.965,5,0.3658690895562195,0.521343493999894,0.47865650600010606,0.6819405224993521,0.3918905571239838,2.321432403197155,2.8800935667103857,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,1.1925,5,0.3637256705552219,0.5136383706379142,0.48636162936208577,0.6756115215722769,0.32397323306683257,3.0092394336823958,3.3334250455949723,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,1.42,5,0.3748374307635512,0.5400401607579894,0.45995983924201045,0.6613580016238778,0.3699493361766259,2.4381933543844045,3.2114430482088405,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,1.6475,5,0.36190859457187813,0.516491344928466,0.48350865507153407,0.6216268095816603,0.38932096761899676,2.9064981516007204,3.2739498730503906,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,1.875,5,0.2567666907943384,0.861353907926177,0.1386460920738227,0.6789059544232664,0.22143046790903306,1.8801607460560583,2.327971086339387,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,mid_high_depth,2.33,5,1.119006793150689,0.7345518015122149,0.2654481984877847,0.6728790330362118,0.4157787410683633,2.2901725836675713,2.0771885534389907,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,high_depth,NONE,3,0.3770970335426883,0.5464899971414681,0.45351000285853194,0.6153524576287394,0.30342996812711387,1.7137842655282207,2.700135447877424,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,high_depth,1.6475,2,0.37526281619173346,0.5488599178304989,0.4511400821695012,-1.0,1.0,1.5954548053549482,2.6089593635155524,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,high_depth,1.875,2,0.2688280176542208,0.9586040597318993,0.04139594026810085,1.0,-1.0,0.6344435894253149,1.5976543871895208,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,HIGH_DEPTH_WEIGHTED_OMEGA,depth_emphasis_shape_variant,False,high_depth,2.33,2,1.4446606778410438,0.9995460628925733,0.0004539371074266749,1.0,-1.0,0.3219075108802545,2.0694197704456974,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,NONE,6,0.6262059104267756,0.5715903253457695,0.42840967465423085,0.5900703689745608,0.44599134592604806,3.3847847467634704,3.0051688224227844,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,0.965,5,0.7530053277542533,0.7105544896438362,0.2894455103561638,0.7686488376823352,0.23820412187120998,1.9280424710088708,3.2734834988986696,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,1.1925,5,0.6621979812499411,0.5969411876017008,0.4030588123982993,0.4505546547401019,0.5905577738849526,3.346284518804601,2.9963799604727672,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,1.42,5,0.6549280951024747,0.610755348530416,0.38924465146958365,0.6049102480334885,0.4053903898409303,2.74078970464337,2.908846697949875,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,1.6475,5,0.699616617050233,0.6056389372610494,0.39436106273895044,0.755926458977609,0.17373985953767665,3.313754995244828,2.8666930294062833,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,1.875,5,0.34976287285881946,0.4739589989038236,0.5260410010961765,0.43961325248281824,0.7264742620639141,2.4644494356713325,1.7436823967241128,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,mid_high_depth,2.33,5,0.5786650259743126,0.44201044557299013,0.5579895544270097,0.47178876810888937,0.6813400665349264,2.766198551441637,1.6011625856649245,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,high_depth,NONE,3,0.8498160980093812,0.8092685010220295,0.19073149897797068,0.9401343864672058,0.8533219508965942,1.0768043870613602,3.3371153263442843,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,high_depth,1.6475,2,1.014156451822734,0.9180952983936693,0.08190470160633063,-1.0,1.0,0.773141734662149,3.431272434208352,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,high_depth,1.875,2,0.5661071512762544,0.86235631466556,0.13764368533444013,1.0,1.0,0.696590439506308,1.5355075371085276,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,OMEGA_GRADIENT,derivative_shape_variant,False,high_depth,2.33,2,0.9358253596716376,0.7619777767014596,0.2380222232985405,1.0,1.0,0.5968162529764267,1.794511028349525,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,NONE,6,-0.34396651066733447,0.5884067754996041,0.4115932245003959,0.6604591166679054,0.3343928477645572,3.1110878894357508,3.2788656797505045,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,0.965,5,-0.3716224683541011,0.6499462012945867,0.35005379870541314,0.7736380571585588,0.24073924178311654,2.024878414467623,3.176647555439917,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,1.1925,5,-0.34825986555926974,0.5922831179359682,0.4077168820640315,0.674817066566773,0.2858824657541985,3.0959993358148674,3.2466651434625007,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,1.42,5,-0.3605625507715783,0.6303419892908178,0.3696580107091821,0.6871508960386561,0.29450118576426115,2.44224603916302,3.2073903634302248,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,1.6475,5,-0.34214817688017496,0.583294191629823,0.41670580837017684,0.6816167154089011,0.2879673033551285,3.0321417107833835,3.1483063138677276,False,False,False,backreaction_depth_stability_no_measurement_validation
BACKREACTION_DEPTH_STABILITY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,SIGN_INVERTED_RAW_FORBIDDEN,forbidden_sign_inversion_diagnostic,True,mid_high_depth,1.875,5,-0.2222014688084853,0.7463819232443664,0.25361807675563314,0.6100267470114742,0.5159378741194521,2.144746618986741,2.0633852134087047,False,False,False,backreaction_depth_stability_no_measurement_validation
