Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_4,POLY_DEG2,overfit_risk_control,3,7,1,4,0.34293998904196227,0.34293998904196227,0.8940075734901289,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_4,POLY_DEG3,overfit_risk_control,4,7,1,4,0.20899199491434584,0.20899199491434584,0.6979060430545183,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_5,K1_NO_MEMORY,fair_null,0,7,1,5,0.6864639362755264,0.6864639362755264,1.2184426017376664,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_5,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,5,0.31289232008044654,0.31289232008044654,0.8226093924718897,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_5,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,5,0.02893772556944549,0.02893772556944549,0.25016607171315,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_5,POLY_DEG2,overfit_risk_control,3,7,1,5,0.05318766912296194,0.05318766912296194,0.33915770774106013,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_5,POLY_DEG3,overfit_risk_control,4,7,1,5,0.0029207604103692985,0.0029207604103692985,0.07947749653850922,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_6,K1_NO_MEMORY,fair_null,0,7,1,6,2.0528083547369964,2.0528083547369964,2.074765236312404,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_6,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,6,0.5914365802422674,0.5914365802422674,1.113650330558787,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_6,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,6,0.017053433989649706,0.017053433989649706,0.1891039852902714,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_6,POLY_DEG2,overfit_risk_control,3,7,1,6,0.7124206537023133,0.7124206537023133,1.2222583420671755,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_6,POLY_DEG3,overfit_risk_control,4,7,1,6,0.48355154868843314,0.48355154868843314,1.0069691107323537,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_7,K1_NO_MEMORY,fair_null,0,7,1,8,1.6595345246070425,1.6595345246070425,1.8247596189127955,a2_polynomial_cv_no_measurement_validation
