RebinSchemeID,RebinID,Rows,GridIndices,MeanZ,MeanX,FamilySourceSplitResponse,FamilySourceSplitSigmaDiag,K1Response,K2UnitLockedRho4,K2SourceSplitA2Prediction,AntiAlignedFraction,DominantDepthBin,ClaimBoundary
DEPTH_THREE_BIN,low,2,0;1,0.62375,0.40662818449613264,-4.572063629864913,1.0,-0.21125670015426776,-0.27297731740775516,-0.5459546348155103,1.0,low_depth,rebinning_stress_preflight_no_measurement_validation
DEPTH_THREE_BIN,mid,3,2;3;4,1.1925,0.6654501024147268,-0.869066999641914,0.8164965809277261,-0.08820169926888237,-0.21770927767595732,-0.43541855535191465,0.3333333333333333,mid_depth,rebinning_stress_preflight_no_measurement_validation
DEPTH_THREE_BIN,high,3,5;6;8,1.9508333333333334,0.9045720236888516,-1.931430409821284,0.8164965809277261,-0.22544125750032862,-0.8885229637235679,-1.7770459274471357,0.6666666666666666,high_depth,rebinning_stress_preflight_no_measurement_validation
PAIRWISE_ADJACENT,pair_0_1,2,0;1,0.62375,0.40662818449613264,-4.572063629864913,1.0,-0.21125670015426776,-0.27297731740775516,-0.5459546348155103,1.0,low_depth,rebinning_stress_preflight_no_measurement_validation
PAIRWISE_ADJACENT,pair_2_3,2,2;3,1.0787499999999999,0.6223881652679315,-0.47006250549663103,1.0,-0.0324663243606234,-0.05719114121594675,-0.11438228243189355,0.0,mid_depth,rebinning_stress_preflight_no_measurement_validation
PAIRWISE_ADJACENT,pair_4_5,2,4;5,1.53375,0.7879941771273564,-1.5310643505815547,1.0,-0.1881412802891817,-0.5555944356773591,-1.1111888713547182,1.0,high_depth,rebinning_stress_preflight_no_measurement_validation
PAIRWISE_ADJACENT,pair_6_8,2,6;8,2.1025,0.9446508467600796,-2.199619258116611,1.0,-0.2498568305040113,-1.046562785205982,-2.093125570411964,0.5,high_depth,rebinning_stress_preflight_no_measurement_validation
MEMORY_ACTIVE_VS_LOW,low,2,0;1,0.62375,0.40662818449613264,-4.572063629864913,1.0,-0.21125670015426776,-0.27297731740775516,-0.5459546348155103,1.0,low_depth,rebinning_stress_preflight_no_measurement_validation
MEMORY_ACTIVE_VS_LOW,memory_active,6,2;3;4;5;6;8,1.5716666666666665,0.7850110630517891,-1.4002487047315988,0.5773502691896258,-0.15682147838460547,-0.5531161206997626,-1.1062322413995251,0.5,high_depth,rebinning_stress_preflight_no_measurement_validation
ANTI_ALIGNED_VS_OTHER,anti_aligned,5,0;1;4;5;6,1.238,0.6557092833534275,-2.9245321214601563,0.6324555320336759,-0.22808707419646804,-0.5919795644038574,-1.1839591288077147,1.0,high_depth,rebinning_stress_preflight_no_measurement_validation
ANTI_ALIGNED_VS_OTHER,other,3,2;3;8,1.4958333333333333,0.7482587768452876,-0.9743196269395463,0.8164965809277261,-0.07433563321127598,-0.30158451233159966,-0.6031690246631993,0.0,mid_depth,rebinning_stress_preflight_no_measurement_validation
