ProtocolID,FreezeID,CandidateID,GateID,Passed,Observed,Threshold,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,S_REST_NO_LEAKAGE_HESSIAN,CCS-A1_NONZERO_PARENT,True,0.9999999999999971,>1e-12,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,S_REST_NO_LEAKAGE_HESSIAN,CCS-A2_SUPPORT_RETENTION,False,3.83614836657147e-31,>=0.20,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,S_REST_NO_LEAKAGE_HESSIAN,CCS-A3_PROJECTION_LEAKAGE,False,0.4481361930201937,<=0.10,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,S_REST_NO_LEAKAGE_HESSIAN,CCS-A4_FAMILY_SHARE,True,0.2970682976101406,<=0.50,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,S_REST_NO_LEAKAGE_HESSIAN,CCS-A5_DIAGONAL_SHARE,False,0.1265565130511457,<=0.10,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,TCCS_TRANSFER_CURVATURE,CCS-A1_NONZERO_PARENT,True,0.9999999999999989,>1e-12,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,TCCS_TRANSFER_CURVATURE,CCS-A2_SUPPORT_RETENTION,False,0.00836108135986166,>=0.20,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,TCCS_TRANSFER_CURVATURE,CCS-A3_PROJECTION_LEAKAGE,False,0.9531846889181018,<=0.10,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,TCCS_TRANSFER_CURVATURE,CCS-A4_FAMILY_SHARE,True,0.35896657810231236,<=0.50,False,common_clean_subspace_support_audit_no_scoring_no_survival
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_COMMON_CLEAN_SUBSPACE_SUPPORT_AUDIT_v1,TCCS_TRANSFER_CURVATURE,CCS-A5_DIAGONAL_SHARE,True,0.0719552651423933,<=0.10,False,common_clean_subspace_support_audit_no_scoring_no_survival
