AuditID,RouteID,ValidationMode,FoldID,ModelID,ParameterCount,TestN,MeanSquaredWhitenedResidual,ClaimBoundary
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_0,K1_NO_MEMORY,0,1,6.999237284872162,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_0,K2_LOCKED_RHO4,0,1,7.106165200198707,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_0,POLY_DEG2,3,1,1.1475406781257589,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_0,POLY_DEG3,4,1,17.709511286654106,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_1,K1_NO_MEMORY,0,1,4.707958942975008,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_1,K2_LOCKED_RHO4,0,1,4.397494636730497,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_1,POLY_DEG2,3,1,0.7712642867165568,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_1,POLY_DEG3,4,1,1.4228739224506455,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_2,K1_NO_MEMORY,0,1,0.5768645486727744,weighted_polynomial_out_of_sample_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_OUT_OF_SAMPLE_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,leave_one_out,component_2,K2_LOCKED_RHO4,0,1,0.5460526776332517,weighted_polynomial_out_of_sample_audit_no_measurement_validation
