TransformVariantID,SubsetID,Rows,BestModel,A2AIC,K1AIC,UnitK2AIC,BestPolyAIC,DeltaAIC_A2_minus_K1,DeltaAIC_A2_minus_UnitK2,DeltaAIC_A2_minus_BestPoly,A2ImprovesOverK1,A2ImprovesOverUnitK2,A2BeatsBestPoly,ClaimBoundary
weighted_centered_sn__nearest_invvar_bao,all_depth,8,POLY_DEG2,35.5639613803514,50.42806264615044,43.27214115237937,12.72416232056877,-14.864101265799036,-7.708179772027968,22.83979905978263,True,True,False,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,3.356356458106034,12.932971852385663,6.737161766819655,10.534850728003171,-9.576615394279628,-3.3808053087136214,-7.178494269897137,True,True,True,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.8209969614968287,8.290250923333403,3.0714525381469255,,-7.469253961836574,-2.250455576650097,,True,True,,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_equal_bao,all_depth,8,POLY_DEG2,19.066099128222447,31.646274601507756,25.080960295828636,13.821831305109653,-12.580175473285308,-6.014861167606188,5.244267823112795,True,True,False,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_equal_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,3.657868103231526,12.263524257703542,6.476418430609701,10.878918874402446,-8.605656154472015,-2.8185503273781745,-7.22105077117092,True,True,True,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_equal_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.6171356980095113,7.631768496325629,2.615023961592687,,-7.014632798316118,-1.9978882635831758,,True,True,,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_invvar_bao,all_depth,8,POLY_DEG2,282.9484790650903,315.73395633553906,303.4858138750216,20.65418567308707,-32.78547727044878,-20.537334809931338,262.2942933920032,True,True,False,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_invvar_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,10.287357196765392,28.461190564570167,18.753759457413935,11.063213343109345,-18.173833367804775,-8.466402260648543,-0.7758561463439531,True,True,True,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_invvar_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,2.090296434848422,15.55780588111111,7.7930030758206,,-13.467509446262687,-5.702706640972178,,True,True,,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_equal_bao,all_depth,8,POLY_DEG2,224.0001789102494,254.50173038818446,242.84419511575902,18.999467752460056,-30.501551477935067,-18.844016205509632,205.00071115778934,True,True,False,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_equal_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,10.058652513917783,27.261526641914955,17.962799793230882,11.315331046147062,-17.20287412799717,-7.904147279313099,-1.2566785322292784,True,True,True,transform_variant_robustness_no_measurement_validation
weighted_raw_sn__nearest_equal_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,1.7330938351900775,14.74598211793231,7.183233163095338,,-13.012888282742233,-5.45013932790526,,True,True,,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_invvar_bao,all_depth,8,POLY_DEG2,35.5639613803514,50.42806264615044,43.27214115237937,12.72416232056877,-14.864101265799036,-7.708179772027968,22.83979905978263,True,True,False,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_invvar_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,3.356356458106034,12.932971852385663,6.737161766819655,10.534850728003171,-9.576615394279628,-3.3808053087136214,-7.178494269897137,True,True,True,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_invvar_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.8209969614968287,8.290250923333403,3.0714525381469255,,-7.469253961836574,-2.250455576650097,,True,True,,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_equal_bao,all_depth,8,POLY_DEG2,19.066099128222447,31.646274601507756,25.080960295828636,13.821831305109653,-12.580175473285308,-6.014861167606188,5.244267823112795,True,True,False,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_equal_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,3.657868103231526,12.263524257703542,6.476418430609701,10.878918874402446,-8.605656154472015,-2.8185503273781745,-7.22105077117092,True,True,True,transform_variant_robustness_no_measurement_validation
unweighted_centered_sn__nearest_equal_bao,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.6171356980095113,7.631768496325629,2.615023961592687,,-7.014632798316118,-1.9978882635831758,,True,True,,transform_variant_robustness_no_measurement_validation
