Dataset,Mapping,Model,ParameterCount,rho,p,EnvelopeFraction,SignStableViolations,Chi2DiagProxy,AIC,BIC,DeltaAIC_vs_K2,DeltaBIC_vs_K2,MaxAbsDiagResidual,Status,Notes
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,0,4.000000,3,0.8888888889,0,2.91944878955,2.91944878955,2.91944878955,0,0,0.778959877048,NON_VIOLATING_DIAGNOSTIC,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_GRID_WITHIN_3_4,1,3.000000,3,1.0000000000,0,2.12985273282,4.12985273282,4.32707731016,1.21040394327,1.40762852061,0.65409350749,NON_VIOLATING_DIAGNOSTIC,best_bounded_grid_point_no_rho_gt_4
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,0,,,1.0000000000,0,1.39772148807,1.39772148807,1.39772148807,-1.52172730148,-1.52172730148,0.524487801033,NON_VIOLATING_DIAGNOSTIC,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,3,,,1.0000000000,0,0.459839658206,6.45983965821,7.05151339021,3.54039086865,4.13206460066,0.494934608708,NON_VIOLATING_DIAGNOSTIC,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,4,,,1.0000000000,0,0.45204467756,8.45204467756,9.2409429869,5.53259588801,6.32149419735,0.484642733018,NON_VIOLATING_DIAGNOSTIC,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,0,,,0.6666666667,2,5.7672386442,5.7672386442,5.7672386442,2.84778985465,2.84778985465,1.36903102369,STRICT_GATE_WARNING,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,1,4.000000,,1.0000000000,0,2.36412980032,4.36412980032,4.56135437765,1.44468101076,1.6419055881,0.684353087695,NON_VIOLATING_DIAGNOSTIC,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,0,4.000000,3,0.8888888889,0,2.91944563407,2.91944563407,2.91944563407,0,0,0.778958904503,NON_VIOLATING_DIAGNOSTIC,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_GRID_WITHIN_3_4,1,3.000000,3,1.0000000000,0,2.12985084903,4.12985084903,4.32707542637,1.21040521496,1.4076297923,0.654093593154,NON_VIOLATING_DIAGNOSTIC,best_bounded_grid_point_no_rho_gt_4
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,0,,,1.0000000000,0,1.39772148807,1.39772148807,1.39772148807,-1.521724146,-1.521724146,0.524487801033,NON_VIOLATING_DIAGNOSTIC,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,3,,,1.0000000000,0,0.459835941141,6.45983594114,7.05150967315,3.54039030707,4.13206403908,0.494932677972,NON_VIOLATING_DIAGNOSTIC,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,4,,,1.0000000000,0,0.452042069563,8.45204206956,9.24094037891,5.5325964355,6.32149474484,0.484642242696,NON_VIOLATING_DIAGNOSTIC,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,0,,,0.6666666667,2,5.7672386442,5.7672386442,5.7672386442,2.84779301013,2.84779301013,1.36903102369,STRICT_GATE_WARNING,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,COORDINATE_REMAP_CONTROL,1,4.000000,,1.0000000000,0,2.36412709407,4.36412709407,4.56135167141,1.44468146001,1.64190603734,0.684352139773,NON_VIOLATING_DIAGNOSTIC,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,K2_LOCKED_RHO4,0,4.000000,3,0.6666666667,0,5.5842513967,5.5842513967,5.5842513967,0,0,1.06878144822,ENVELOPE_TENSION,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,K2_LOCKED_GRID_WITHIN_3_4,1,3.000000,3,0.6666666667,0,3.76268830054,5.76268830054,5.95991287788,0.178436903841,0.375661481177,0.870361486872,NON_VIOLATING_DIAGNOSTIC,best_bounded_grid_point_no_rho_gt_4
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,K1_NO_MEMORY,0,,,1.0000000000,0,1.39772148807,1.39772148807,1.39772148807,-4.18652990863,-4.18652990863,0.524487801033,NON_VIOLATING_DIAGNOSTIC,frozen_k1_no_memory_control
