ProtocolID,FreezeID,EmpiricalRowID,EmpiricalIndex,FamilyID,ClockIndex,CoordinateID,RawPBValue,FrozenCoordinateValue,ParentProvenance,UsesTargetResiduals,UsesScoreOutcomes,CoordinateFreezeAuthorized,ObjectConstructionAuthorized,ScoringAuthorized,SurvivalClaimAuthorized,TauCoreValidationClaimAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.38,0,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0,COORD_PB_INTERACTION,0.0478922754115505,0.2924653988381828,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.51,1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,1,COORD_PB_INTERACTION,0.04147592715144357,0.2539501043280825,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.698,2,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,2,COORD_PB_INTERACTION,0.02394613770577524,0.14872436285800986,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.706,3,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,3,COORD_PB_INTERACTION,2.93255608933194e-18,0.00498332687783709,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.93,4,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,COORD_PB_INTERACTION,-0.020354217049908942,-0.11719655370530972,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_0.934,5,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,5,COORD_PB_INTERACTION,-0.03525453807872702,-0.20663843395487147,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.317,6,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,COORD_PB_INTERACTION,-0.04070843409981792,-0.2393764342884567,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.321,7,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,COORD_PB_INTERACTION,-0.035254538078727034,-0.20663843395487155,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.48,8,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,COORD_PB_INTERACTION,-0.004789227541155049,-0.023764880318197488,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_PB_INTERACTION_COORDINATE_FREEZE_v1,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY::z_1.484,9,REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,COORD_PB_INTERACTION,-1.7595336535991642e-18,0.004983326877837062,P*B interaction from frozen parent embedding columns TEMPLATE_P_MORPH_PROJECTION and TEMPLATE_B_BRANCH_RESPONSE,False,False,True,False,False,False,False,pb_interaction_coordinate_frozen_no_object_no_scoring
