PathID,Subset,Rows,ParameterCount,Scale,CoherentOffset,TargetRMS,PredictionRMS,PredictionToTargetRMSRatio,ResidualRMS,CosineTargetVsPrediction,Chi2DiagProxy,AIC,BIC,ClaimBoundary,LockedK2AIC,LockedK2BIC,LockedK2ResidualRMS,DeltaAICVsLockedK2,DeltaBICVsLockedK2,ViabilityLabel
LOCKED_K2_RHO4,all_points,8,0,1.0,,2.692695434937359,0.6229598962602754,0.23135178534395498,2.3218232216545744,0.6700159066262061,9.660891730676413,9.660891730676413,9.660891730676413,three_path_viability_preflight_no_measurement_validation,9.660891730676413,9.660891730676413,2.3218232216545744,0.0,0.0,directional_backbone_not_full_amplitude
NORMALIZATION_SCALE_ONLY,all_points,8,1,2.8960913598746645,,2.692695434937359,1.804148773107801,0.6700159066262061,1.9989136824350644,0.670015906626206,6.178614851806397,8.178614851806397,8.258056393486232,three_path_viability_preflight_no_measurement_validation,9.660891730676413,9.660891730676413,2.3218232216545744,-1.4822768788700156,-1.4028353371901812,weak_or_unstable_normalization
SOURCE_COHERENT_SCALE_PLUS_OFFSET,all_points,8,2,0.4163687772351593,-1.992062415915817,2.692695434937359,2.1993085610929572,0.8167684070605336,1.553592790417013,0.8167684070605334,549.9599733855248,553.9599733855248,554.1188564688845,three_path_viability_preflight_no_measurement_validation,9.660891730676413,9.660891730676413,2.3218232216545744,544.2990816548484,544.457964738208,not_preferred_over_locked_k2
AFTER_ALPHA_NORMALIZATION_SCALE_ONLY,all_points,8,1,2.978628012287323,,2.6666230527535326,1.8555657975324613,0.6958485548290823,1.9151381350973855,0.6958485548290821,6.646351763476762,8.646351763476762,8.725793305156598,three_path_viability_preflight_no_measurement_validation,9.660891730676413,9.660891730676413,2.3218232216545744,-1.0145399671996511,-0.9350984255198149,diagnostic_control
AFTER_ALPHA_SOURCE_COHERENT_SCALE_PLUS_OFFSET,all_points,8,2,0.6234042611102617,-1.8920474204005595,2.6666230527535326,2.2068672028728265,0.8275887364710336,1.496868616265582,0.8275887364710334,513.5243591769884,517.5243591769884,517.683242260348,three_path_viability_preflight_no_measurement_validation,9.660891730676413,9.660891730676413,2.3218232216545744,507.8634674463119,508.0223505296716,diagnostic_control
LOCKED_K2_RHO4,sign_stable_only,5,0,1.0,,3.105464439437452,0.3956707267506637,0.12741112785768643,2.84429674965174,0.6960133141121828,6.727021394959264,6.727021394959264,6.727021394959264,three_path_viability_preflight_no_measurement_validation,6.727021394959264,6.727021394959264,2.84429674965174,0.0,0.0,directional_backbone_not_full_amplitude
NORMALIZATION_SCALE_ONLY,sign_stable_only,5,1,5.462735679489503,,3.105464439437452,2.161444596350393,0.6960133141121828,2.229813140493672,0.6960133141121829,6.382389181775682,8.382389181775682,7.991827094209783,three_path_viability_preflight_no_measurement_validation,6.727021394959264,6.727021394959264,2.84429674965174,1.6553677868164183,1.2648056992505188,weak_or_unstable_normalization
SOURCE_COHERENT_SCALE_PLUS_OFFSET,sign_stable_only,5,2,-2.7475777297363444,-3.627173599273254,3.105464439437452,2.697212388792401,0.868537521969176,1.53914090139771,0.8685375219691762,10.150017721130776,14.150017721130776,13.368893545998978,three_path_viability_preflight_no_measurement_validation,6.727021394959264,6.727021394959264,2.84429674965174,7.422996326171512,6.641872151039713,not_preferred_over_locked_k2
AFTER_ALPHA_NORMALIZATION_SCALE_ONLY,sign_stable_only,5,1,5.415405394411718,,3.0251697610670507,2.1427173880563495,0.7082965774788655,2.1355126499731747,0.7082965774788657,5.745919846001203,7.745919846001203,7.355357758435304,three_path_viability_preflight_no_measurement_validation,6.727021394959264,6.727021394959264,2.84429674965174,1.018898451041939,0.6283363634760395,diagnostic_control
AFTER_ALPHA_SOURCE_COHERENT_SCALE_PLUS_OFFSET,sign_stable_only,5,2,-2.364393796073761,-3.436979908667959,3.0251697610670507,2.6322071707694623,0.870102301247722,1.491018944689941,0.8701023012477219,9.510423495312429,13.510423495312429,12.72929932018063,three_path_viability_preflight_no_measurement_validation,6.727021394959264,6.727021394959264,2.84429674965174,6.783402100353165,6.002277925221366,diagnostic_control
