VariantID,VariantClass,ModelID,ModelClass,Rows,ParameterCount,Chi2,AIC,BIC,MeanAbsResidual,CounterfactualOnly,MeasurementValidationAllowed,ClaimBoundary
RAW_PROJECTED_SN_MINUS_BAO_CURRENT,current_candidate,K1_NO_MEMORY,fair_null,8,0,12.465444556461478,12.465444556461478,12.465444556461478,1.3360532993308118,False,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_MINUS_BAO_CURRENT,current_candidate,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,15.045105114827487,15.045105114827487,15.045105114827487,1.8394269606710045,False,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_MINUS_BAO_CURRENT,current_candidate,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,12.520939182206154,12.520939182206154,12.520939182206154,1.3693904735491924,False,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_MINUS_BAO_CURRENT,current_candidate,POLY_DEG2,overfit_risk_control,8,3,7.233439568182604,13.233439568182604,13.47176419322211,1.3674344460643708,False,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_MINUS_BAO_CURRENT,current_candidate,POLY_DEG3,overfit_risk_control,8,4,3.839241347623367,11.839241347623368,12.157007514342709,0.8207972928856901,False,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_PLUS_BAO_SIGN_FLIP_CHECK,sign_convention_counterfactual,K1_NO_MEMORY,fair_null,8,0,17.67110719763879,17.67110719763879,17.67110719763879,1.5510744345368388,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_PLUS_BAO_SIGN_FLIP_CHECK,sign_convention_counterfactual,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,17.51760202464758,17.51760202464758,17.51760202464758,2.044798281192699,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_PLUS_BAO_SIGN_FLIP_CHECK,sign_convention_counterfactual,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,19.26023247773833,19.26023247773833,19.26023247773833,1.5970466763192799,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_PLUS_BAO_SIGN_FLIP_CHECK,sign_convention_counterfactual,POLY_DEG2,overfit_risk_control,8,3,9.320729046178428,15.320729046178428,15.559053671217935,1.1248966170210535,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SN_PLUS_BAO_SIGN_FLIP_CHECK,sign_convention_counterfactual,POLY_DEG3,overfit_risk_control,8,4,7.324117391367691,15.324117391367691,15.641883558087034,1.1607107492254913,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_MINUS_BAO_COORDINATE_TARGET,standardized_counterfactual,K1_NO_MEMORY,fair_null,8,0,15.418161337537061,15.418161337537061,15.418161337537061,2.053025679822352,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_MINUS_BAO_COORDINATE_TARGET,standardized_counterfactual,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,11.16592954350888,11.16592954350888,11.16592954350888,1.3044402703116402,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
