AuditID,RouteID,ComponentIndex,GridIndex,z_grid,x_coordinate,ModelID,ParameterCount,WhitenedTarget,Prediction,WhitenedResidual,Chi2Component,K2AbsResidual,Poly2AbsResidual,Poly3AbsResidual,K2LosesToPoly2Here,K2LosesToPoly3Here,ClaimBoundary
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,3,3,1.1925,0.6664206564248482,POLY_DEG2,3,0.173576508880147,-0.6061845841718326,0.7797610930519796,0.608027362237618,0.13099727277262901,0.7797610930519796,0.789648617672757,False,False,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,3,3,1.1925,0.6664206564248482,POLY_DEG3,4,0.173576508880147,-0.61607210879261,0.789648617672757,0.6235449393924959,0.13099727277262901,0.7797610930519796,0.789648617672757,False,False,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,4,1.42,0.7492942398266921,K1_NO_MEMORY,0,-0.6451889001717087,-0.06475070330670107,-0.5804381968650076,0.3369085003799014,0.569252535952393,0.4862159362361592,0.43424965850955133,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,4,1.42,0.7492942398266921,K2_LOCKED_RHO4,0,-0.6451889001717087,-0.07593636421931571,-0.569252535952393,0.3240484496882305,0.569252535952393,0.4862159362361592,0.43424965850955133,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,4,1.42,0.7492942398266921,POLY_DEG2,3,-0.6451889001717087,-0.1589729639355495,-0.4862159362361592,0.23640593665000484,0.569252535952393,0.4862159362361592,0.43424965850955133,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,4,1.42,0.7492942398266921,POLY_DEG3,4,-0.6451889001717087,-0.21093924166215738,-0.43424965850955133,0.18857276591566194,0.569252535952393,0.4862159362361592,0.43424965850955133,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,5,1.6475,0.8227137721205666,K1_NO_MEMORY,0,-0.3814165650725978,-0.04526479581133408,-0.3361517692612637,0.11299801197747789,0.2530354687061953,0.02944501010125078,0.0994017798806332,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,5,1.6475,0.8227137721205666,K2_LOCKED_RHO4,0,-0.3814165650725978,-0.1283810963664025,-0.2530354687061953,0.06402694842336394,0.2530354687061953,0.02944501010125078,0.0994017798806332,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,5,1.6475,0.8227137721205666,POLY_DEG2,3,-0.3814165650725978,-0.351971554971347,-0.02944501010125078,0.0008670086198627605,0.2530354687061953,0.02944501010125078,0.0994017798806332,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,5,1.6475,0.8227137721205666,POLY_DEG3,4,-0.3814165650725978,-0.480818344953231,0.0994017798806332,0.009880713843437855,0.2530354687061953,0.02944501010125078,0.0994017798806332,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,6,1.875,0.8881852892662213,K1_NO_MEMORY,0,-1.3898183781540705,-0.2174649739432024,-1.172353404210868,1.374412504364811,0.5002265612060176,0.706498894081685,0.5999216600531165,False,False,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,6,1.875,0.8881852892662213,K2_LOCKED_RHO4,0,-1.3898183781540705,-0.8895918169480529,-0.5002265612060176,0.2502266125359977,0.5002265612060176,0.706498894081685,0.5999216600531165,False,False,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,6,1.875,0.8881852892662213,POLY_DEG2,3,-1.3898183781540705,-0.6833194840723855,-0.706498894081685,0.4991406873386439,0.5002265612060176,0.706498894081685,0.5999216600531165,False,False,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,6,1.875,0.8881852892662213,POLY_DEG3,4,-1.3898183781540705,-0.789896718100954,-0.5999216600531165,0.35990599820088714,0.5002265612060176,0.706498894081685,0.5999216600531165,False,False,weighted_polynomial_row_audit_no_measurement_validation
