TransformVariantID,SNMode,BAOMode,SubsetID,Rows,ModelID,ModelClass,ParameterCount,Chi2UnitProxy,AIC,MeanAbsResidual,TargetRMS,PredictionRMS,SignMatchFraction,ClaimBoundary
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,all_depth,8,K1_NO_MEMORY,fair_null,0,50.42806264615044,50.42806264615044,2.1181486067251085,2.673704953851143,0.19570029632754368,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,all_depth,8,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,43.27214115237937,43.27214115237937,1.805452005877942,2.673704953851143,0.6229598962602754,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,all_depth,8,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,35.5639613803514,35.5639613803514,1.48400491262086,2.673704953851143,1.2459197925205507,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,all_depth,8,ZERO_RESPONSE_CONTROL,diagnostic_control,0,57.18958544198513,57.18958544198513,2.2886168108640543,2.673704953851143,0.0,0.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,all_depth,8,POLY_DEG2,overfit_risk_control,3,6.724162320568769,12.72416232056877,0.7405726662522318,2.673704953851143,2.511608625995917,0.875,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,mid_high_memory_active,6,K1_NO_MEMORY,fair_null,0,12.932971852385663,12.932971852385663,1.4021538158777265,1.6342110247561246,0.19017586893538005,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,mid_high_memory_active,6,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,6.737161766819655,6.737161766819655,1.0057985538326666,1.6342110247561246,0.7015403864041793,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,3.356356458106034,3.356356458106034,0.6681948686258093,1.6342110247561246,1.4030807728083585,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,mid_high_memory_active,6,ZERO_RESPONSE_CONTROL,diagnostic_control,0,16.023874040606778,16.023874040606778,1.5590258546782316,1.6342110247561246,0.0,0.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,mid_high_memory_active,6,POLY_DEG2,overfit_risk_control,3,4.534850728003171,10.534850728003171,0.6973674715339776,1.6342110247561246,1.3837764338097633,0.8333333333333334,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,high_depth,3,K1_NO_MEMORY,fair_null,0,8.290250923333403,8.290250923333403,1.575261671462459,1.8815775190661148,0.24006671768037857,1.0,transform_variant_robustness_no_measurement_validation
weighted_centered_sn__nearest_invvar_bao,weighted_centered_sn,nearest_invvar_bao,high_depth,3,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,3.0714525381469255,3.0714525381469255,0.9121799652392194,1.8815775190661148,0.9397777898673676,1.0,transform_variant_robustness_no_measurement_validation
