TransformID,ProductID,RowID,Quantity,z,ObservedValue,AuditPrediction,LogResidual,SigmaDiag,CovarianceIndex,x_z_normalized,x_chi_normalized,x_likelihood_native_index,BaselineID,TransformStatus,ClaimBoundary
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,2,DH_over_rs,0.51,20.98334647,22.461186425231617,-0.06805967396017422,0.02910458924179443,2,0.21888412017167383,0.34169290109980066,0.18181818181818182,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,3,DM_over_rs,0.706,16.84645313,17.41927391989587,-0.03343715181815461,0.01895570307602088,3,0.30300429184549355,0.4487307804855057,0.2727272727272727,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,4,DH_over_rs,0.706,20.07872919,19.982004960936788,0.00482888888912339,0.029651096007282444,4,0.30300429184549355,0.4487307804855057,0.36363636363636365,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,5,DM_over_rs,0.93,21.70841761,21.609487903265244,0.0045676205975953,0.012993906964480627,5,0.39914163090128757,0.5566731776566944,0.4545454545454546,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,6,DH_over_rs,0.93,17.87612922,17.49379302986129,0.021620125725293007,0.01937317140730318,6,0.39914163090128757,0.5566731776566944,0.5454545454545454,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,7,DM_over_rs,1.317,27.78720817,27.679717770022513,0.003875842503157296,0.024843819785782668,7,0.5652360515021458,0.7130459256524646,0.6363636363636364,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,8,DH_over_rs,1.317,13.82372285,14.045445727616286,-0.015912032337686406,0.030543212993613667,8,0.5652360515021458,0.7130459256524646,0.7272727272727273,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,9,DV_over_rs,1.491,26.07217182,25.807851572316935,0.010189761586596876,0.02564732759659058,9,0.6399141630901288,0.773145933832244,0.8181818181818182,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,10,DM_over_rs,2.33,39.70838281,38.818973882378664,0.02265317462140589,0.02375486205851393,10,1.0,1.0,0.9090909090909092,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
T1_BAO_DISTANCE_RATIO_RESIDUAL,DESI_DR1_BAO_ALL_GAUSSIAN,11,DH_over_rs,2.33,8.52256583,8.615595663546337,-0.01085656093574521,0.0200455167875583,11,1.0,1.0,1.0,AUDIT_RD_OFFSET_ABSORBED_V0,RD_OFFSET_SENSITIVITY_NOT_MEASUREMENT_GATE,same_data_scale_absorption_sensitivity_only
