Rho,P,WithinPassiveBound,Chi2DiagProxy,AIC,BIC,SignStableViolations,MeanAbsResidual,ClaimBoundary
0.0,3,True,139789.55908762495,139789.55908762495,139789.55908762495,0,2.053025679822352,bounded_rho_scan_only_no_posthoc_rescue
0.05,3,True,139747.02538907688,139747.02538907688,139747.02538907688,0,2.049116972311762,bounded_rho_scan_only_no_posthoc_rescue
0.1,3,True,139704.52139958896,139704.52139958896,139704.52139958896,0,2.0452082648011727,bounded_rho_scan_only_no_posthoc_rescue
0.15000000000000002,3,True,139662.04711916126,139662.04711916126,139662.04711916126,0,2.041299557290583,bounded_rho_scan_only_no_posthoc_rescue
0.2,3,True,139619.60254779377,139619.60254779377,139619.60254779377,0,2.0373908497799933,bounded_rho_scan_only_no_posthoc_rescue
0.25,3,True,139577.18768548642,139577.18768548642,139577.18768548642,0,2.0334821422694036,bounded_rho_scan_only_no_posthoc_rescue
0.30000000000000004,3,True,139534.80253223924,139534.80253223924,139534.80253223924,0,2.029573434758814,bounded_rho_scan_only_no_posthoc_rescue
0.35000000000000003,3,True,139492.44708805223,139492.44708805223,139492.44708805223,0,2.0256647272482247,bounded_rho_scan_only_no_posthoc_rescue
0.4,3,True,139450.12135292546,139450.12135292546,139450.12135292546,0,2.0217560197376354,bounded_rho_scan_only_no_posthoc_rescue
0.45,3,True,139407.82532685885,139407.82532685885,139407.82532685885,0,2.0178473122270457,bounded_rho_scan_only_no_posthoc_rescue
0.5,3,True,139365.5590098524,139365.5590098524,139365.5590098524,0,2.013938604716456,bounded_rho_scan_only_no_posthoc_rescue
0.55,3,True,139323.3224019061,139323.3224019061,139323.3224019061,0,2.0100298972058663,bounded_rho_scan_only_no_posthoc_rescue
0.6000000000000001,3,True,139281.11550302,139281.11550302,139281.11550302,0,2.0061211896952766,bounded_rho_scan_only_no_posthoc_rescue
0.65,3,True,139238.9383131941,139238.9383131941,139238.9383131941,0,2.002212482184687,bounded_rho_scan_only_no_posthoc_rescue
0.7000000000000001,3,True,139196.79083242838,139196.79083242838,139196.79083242838,0,1.9983037746740977,bounded_rho_scan_only_no_posthoc_rescue
0.75,3,True,139154.67306072282,139154.67306072282,139154.67306072282,0,1.994395067163508,bounded_rho_scan_only_no_posthoc_rescue
0.8,3,True,139112.58499807742,139112.58499807742,139112.58499807742,0,1.9904863596529185,bounded_rho_scan_only_no_posthoc_rescue
0.8500000000000001,3,True,139070.52664449226,139070.52664449226,139070.52664449226,0,1.9865776521423286,bounded_rho_scan_only_no_posthoc_rescue
0.9,3,True,139028.49799996725,139028.49799996725,139028.49799996725,0,1.9826689446317394,bounded_rho_scan_only_no_posthoc_rescue
0.9500000000000001,3,True,138986.4990645024,138986.4990645024,138986.4990645024,0,1.9787602371211497,bounded_rho_scan_only_no_posthoc_rescue
1.0,3,True,138944.52983809775,138944.52983809775,138944.52983809775,0,1.9748515296105602,bounded_rho_scan_only_no_posthoc_rescue
1.05,3,True,138902.59032075328,138902.59032075328,138902.59032075328,0,1.9709428220999705,bounded_rho_scan_only_no_posthoc_rescue
1.1,3,True,138860.68051246897,138860.68051246897,138860.68051246897,0,1.9670341145893808,bounded_rho_scan_only_no_posthoc_rescue
1.1500000000000001,3,True,138818.80041324487,138818.80041324487,138818.80041324487,0,1.9631254070787916,bounded_rho_scan_only_no_posthoc_rescue
1.2000000000000002,3,True,138776.95002308092,138776.95002308092,138776.95002308092,0,1.9592166995682019,bounded_rho_scan_only_no_posthoc_rescue
1.25,3,True,138735.12934197718,138735.12934197718,138735.12934197718,0,1.9553079920576124,bounded_rho_scan_only_no_posthoc_rescue
1.3,3,True,138693.33836993357,138693.33836993357,138693.33836993357,0,1.9513992845470227,bounded_rho_scan_only_no_posthoc_rescue
1.35,3,True,138651.5771069502,138651.5771069502,138651.5771069502,0,1.947490577036433,bounded_rho_scan_only_no_posthoc_rescue
1.4000000000000001,3,True,138609.84555302697,138609.84555302697,138609.84555302697,0,1.9435818695258433,bounded_rho_scan_only_no_posthoc_rescue
1.4500000000000002,3,True,138568.14370816396,138568.14370816396,138568.14370816396,0,1.9396731620152539,bounded_rho_scan_only_no_posthoc_rescue
1.5,3,True,138526.4715723611,138526.4715723611,138526.4715723611,0,1.9357644545046642,bounded_rho_scan_only_no_posthoc_rescue
1.55,3,True,138484.8291456184,138484.8291456184,138484.8291456184,0,1.9318557469940747,bounded_rho_scan_only_no_posthoc_rescue
1.6,3,True,138443.2164279359,138443.2164279359,138443.2164279359,0,1.9279470394834852,bounded_rho_scan_only_no_posthoc_rescue
1.6500000000000001,3,True,138401.63341931358,138401.63341931358,138401.63341931358,0,1.9240383319728955,bounded_rho_scan_only_no_posthoc_rescue
1.7000000000000002,3,True,138360.08011975145,138360.08011975145,138360.08011975145,0,1.9201296244623056,bounded_rho_scan_only_no_posthoc_rescue
1.75,3,True,138318.55652924947,138318.55652924947,138318.55652924947,0,1.9162209169517164,bounded_rho_scan_only_no_posthoc_rescue
1.8,3,True,138277.0626478077,138277.0626478077,138277.0626478077,0,1.9123122094411267,bounded_rho_scan_only_no_posthoc_rescue
1.85,3,True,138235.5984754261,138235.5984754261,138235.5984754261,0,1.9084035019305372,bounded_rho_scan_only_no_posthoc_rescue
1.9000000000000001,3,True,138194.16401210468,138194.16401210468,138194.16401210468,0,1.9044947944199475,bounded_rho_scan_only_no_posthoc_rescue
1.9500000000000002,3,True,138152.75925784343,138152.75925784343,138152.75925784343,0,1.9005860869093578,bounded_rho_scan_only_no_posthoc_rescue
2.0,3,True,138111.38421264238,138111.38421264238,138111.38421264238,0,1.8966773793987686,bounded_rho_scan_only_no_posthoc_rescue
2.0500000000000003,3,True,138070.0388765015,138070.0388765015,138070.0388765015,0,1.8927686718881787,bounded_rho_scan_only_no_posthoc_rescue
2.1,3,True,138028.72324942084,138028.72324942084,138028.72324942084,0,1.8888599643775894,bounded_rho_scan_only_no_posthoc_rescue
2.15,3,True,137987.43733140032,137987.43733140032,137987.43733140032,0,1.8849512568669997,bounded_rho_scan_only_no_posthoc_rescue
2.2,3,True,137946.18112243997,137946.18112243997,137946.18112243997,0,1.88104254935641,bounded_rho_scan_only_no_posthoc_rescue
