AuditID,RouteID,FamilyID,SampleID,GridIndex,z_grid,SurrogateBackreactionInterpolated,SurrogateBackreactionWhitened,WhitenedTarget,K2LockedWhitened,ResidualToTarget,ResidualToK2,SignStable,SignMatchesTarget,SignMatchesK2,MeasurementValidationAllowed,ClaimBoundary
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_2,0,6,1.875,-0.3792675910033473,-0.26803903129559836,-1.3898183781540705,-0.8895918169480529,-1.1217793468584722,-0.6215527856524545,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_2,0,8,2.33,-1.14406688072966,-0.8023114347680216,-1.2298343207445623,-0.5156214844006239,-0.42752288597654076,0.28668995036739764,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,0,0.51,-0.11397113819258833,0.27138892204152665,-2.745431288481891,-0.0796921414161646,-3.016820210523418,-0.35108106345769124,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,1,0.7375,0.06699805413522472,-0.10848938079199791,-2.3025428535703973,-0.2055224348022593,-2.1940534727783993,-0.09703305401026138,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,2,0.965,0.28164217698944716,0.18495747278013844,-0.8014829515625784,-0.0625291792376435,-0.9864404243427168,-0.24748665201778194,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,3,1.1925,0.3868216085399167,0.4130101626658558,0.173576508880147,0.042579236107518,-0.23943365378570877,-0.37043092655833776,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,4,1.42,0.16219080341489797,0.9031575758762744,-0.6451889001717087,-0.0759363642193157,-1.5483464760479833,-0.9790939400955901,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,5,1.6475,-0.6873190537281086,-0.02999158768086968,-0.3814165650725978,-0.1283810963664025,-0.3514249773917281,-0.09838950868553281,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,6,1.875,-2.5795532886293047,-1.881279940144238,-1.3898183781540705,-0.8895918169480529,0.49146156199016744,0.991688123196185,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_CRITERIA_3,0,8,2.33,-10.219269699299012,-7.222315003588651,-1.2298343207445623,-0.5156214844006239,5.992480682844089,6.706693519188027,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
