Dataset,Mapping,Subset,N,Model,ParameterCount,Chi2DiagProxy,AIC,BIC,MaxAbsDiagResidual,EnvelopeFraction,SignStableViolations,Status
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,low_depth,2,COORDINATE_REMAP_CONTROL,1,0.538564292416,2.53856429242,1.23171147298,0.538938236059,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,K2_LOCKED_RHO4,0,1.17205387954,1.17205387954,1.17205387954,0.703309194392,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,K1_NO_MEMORY,0,0.530298357023,0.530298357023,0.530298357023,0.522877594341,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,POLY_DEG2,3,0.190093929755,6.19009392975,3.48593079576,0.426315935295,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,POLY_DEG3,4,0.191832928851,8.19183292885,4.58628208352,0.426315945221,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,SIGN_RANDOMIZED_CONTROL,0,1.87424594382,1.87424594382,1.87424594382,1.36903102369,1.0000000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,mid_depth,3,COORDINATE_REMAP_CONTROL,1,0.885056857772,2.88505685777,1.98366914644,0.635240181703,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,K2_LOCKED_RHO4,0,1.13095141563,1.13095141563,1.13095141563,0.778959877048,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,K1_NO_MEMORY,0,0.393378831538,0.393378831538,0.393378831538,0.370095835962,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,POLY_DEG2,3,0.257640182255,6.25764018225,4.41652326561,0.494934608708,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,POLY_DEG3,4,0.248992452524,8.24899245252,5.794169897,0.484642733018,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,SIGN_RANDOMIZED_CONTROL,0,3.89299270038,3.89299270038,3.89299270038,1.27658342682,0.2500000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,high_depth,4,COORDINATE_REMAP_CONTROL,1,0.940508650127,2.94050865013,2.32680301125,0.684353087695,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,K2_LOCKED_RHO4,0,2.91944563407,2.91944563407,2.91944563407,0.778958904503,0.8888888889,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,POLY_DEG2,3,0.459835941141,6.45983594114,7.05150967315,0.494932677972,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,POLY_DEG3,4,0.452042069563,8.45204206956,9.24094037891,0.484642242696,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,1.36903102369,0.6666666667,2,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,all_points,9,COORDINATE_REMAP_CONTROL,1,2.36412709407,4.36412709407,4.56135167141,0.684352139773,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,K2_LOCKED_RHO4,0,1.90063046194,1.90063046194,1.90063046194,0.778958904503,0.8000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,K1_NO_MEMORY,0,0.832389351916,0.832389351916,0.832389351916,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,POLY_DEG2,3,0.438818559896,6.4388185599,5.2671322972,0.494932677972,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,POLY_DEG3,4,0.427977709024,8.42797770902,6.86572935876,0.484642242696,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,SIGN_RANDOMIZED_CONTROL,0,1.90063104763,1.90063104763,1.90063104763,1.36903102369,1.0000000000,2,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_stable_only,5,COORDINATE_REMAP_CONTROL,1,1.48842889607,3.48842889607,3.0978668085,0.684352139773,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,K2_LOCKED_RHO4,0,1.01881517212,1.01881517212,1.01881517212,0.703308682131,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,K1_NO_MEMORY,0,0.565332136152,0.565332136152,0.565332136152,0.497628572821,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,POLY_DEG2,3,0.0210173812449,6.02101738124,4.1799004646,0.106729782674,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,POLY_DEG3,4,0.0240643605383,8.02406436054,5.56924180502,0.112459842599,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,SIGN_RANDOMIZED_CONTROL,0,3.86660759657,3.86660759657,3.86660759657,1.27658342682,0.2500000000,0,ENVELOPE_TENSION
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,sign_unstable_only,4,COORDINATE_REMAP_CONTROL,1,0.87569819801,2.87569819801,2.26199255913,0.635239770427,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,K2_LOCKED_RHO4,0,0.616443133504,0.616443133504,0.616443133504,0.560442298823,0.5000000000,0,NON_VIOLATING_DIAGNOSTIC
