SigmaRoute,ValidationMode,ModelID,Folds,TotalTestN,TotalTestChi2,MeanFoldChi2,MeanTestMeanChi2,MeanAbsResidual,ClaimBoundary,K1TotalTestChi2,BestPolyModel,BestPolyTotalTestChi2,DeltaChi2_K2_minus_K1,DeltaChi2_K2_minus_BestPoly,K2ImprovesOverK1,K2BeatsBestPoly
public_proxy_diag,leave_one_out,K1_NO_MEMORY,8,8,19.654148367089924,2.4567685458862405,2.4567685458862405,2.053025679822352,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,leave_one_out,K2_LOCKED_RHO4,8,8,16.075099151265547,2.0093873939081934,2.0093873939081934,1.740329078975185,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,leave_one_out,POLY_DEG2,8,8,7.205322875603564,0.9006653594504455,0.9006653594504455,1.210720703111362,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,leave_one_out,POLY_DEG3,8,8,36.77704006002544,4.59713000750318,4.59713000750318,2.37733398396219,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,blocked_split,K1_NO_MEMORY,2,6,18.04376338897636,9.02188169448818,3.007293898162726,2.289726549665678,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,blocked_split,K2_LOCKED_RHO4,2,6,15.215935585305626,7.607967792652813,2.535989264217604,1.995282133665515,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,blocked_split,POLY_DEG2,2,6,112.17117893429459,56.085589467147294,18.6951964890491,5.018838422638284,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,blocked_split,POLY_DEG3,2,6,230.4140386054258,115.2070193027129,38.402339767570965,7.163104158977472,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,leave_one_out,K1_NO_MEMORY,8,8,13.633485250891928,1.704185656361491,1.704185656361491,2.053025679822352,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,leave_one_out,K2_LOCKED_RHO4,8,8,9.864176617315042,1.2330220771643803,1.2330220771643803,1.740329078975185,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,leave_one_out,POLY_DEG2,8,8,243.48546266573564,30.435682833216955,30.435682833216955,1.7140227406884492,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,leave_one_out,POLY_DEG3,8,8,223.0786289793829,27.884828622422862,27.884828622422862,3.281638894832588,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,blocked_split,K1_NO_MEMORY,2,6,10.558225777945925,5.279112888972962,1.7597042963243208,2.289726549665678,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,blocked_split,K2_LOCKED_RHO4,2,6,8.252571160453572,4.126285580226786,1.375428526742262,1.995282133665515,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,blocked_split,POLY_DEG2,2,6,175.26226763040248,87.63113381520124,29.210377938400413,5.112957040843763,polynomial_cv_no_measurement_validation,,,,,,,
branch_scatter_diag,blocked_split,POLY_DEG3,2,6,393.6850389448194,196.8425194724097,65.61417315746989,9.867472422518489,polynomial_cv_no_measurement_validation,,,,,,,
