AuditID,RouteID,SampleID,SubsetID,Rows,ProjectedScale,PilotLikeEnergyFractionOfK2,ResidualEnergyFractionOfK2,ScaleFitAllowed,LockedK2Changed,MeasurementValidationAllowed,ClaimBoundary
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,mid_depth,3,-0.034030248836252025,0.3493432071342559,0.6506567928657441,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,4,low_depth,2,-0.1095912658577792,0.1158697137592903,0.8841302862407096,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,all_depth,8,-0.03565620595399893,0.41089284975494156,0.5891071502450582,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,mid_high_depth,6,-0.03578877558789379,0.43207160612762296,0.5679283938723771,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,high_depth,3,-0.03749043061651565,0.4643253497190144,0.5356746502809856,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,mid_depth,3,0.017296324680544522,0.2960662247490933,0.7039337752509068,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,5,low_depth,2,0.10166613284472967,0.07517642466238307,0.9248235753376168,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,all_depth,8,0.042364923857205666,0.4717574224101526,0.528242577589847,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,mid_high_depth,6,0.04277848542178851,0.5011384065117238,0.49886159348827636,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,high_depth,3,0.04396233245288024,0.5265814549756574,0.4734185450243431,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,mid_depth,3,-0.031960538267879944,0.4119848423605094,0.5880151576394909,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
DERIVATIVE_PILOT_COMPONENT_UNCERTAINTY_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,6,low_depth,2,-0.10443252848034203,0.18791621806964193,0.812083781930358,False,False,False,derivative_pilot_component_uncertainty_no_measurement_validation
