ProtocolID,FreezeID,RowCoordinate,ColumnCoordinate,DeltaCTauP4Candidate,AbsDeltaCTauP4Candidate,UsesTargetResiduals,UsesScoreOutcome,ScoringAuthorized,ClaimBoundary
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_ORIGIN_CENTER,TEMPLATE_P_MORPH_PROJECTION,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_B_BRANCH_RESPONSE,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_COORD_ORIGIN_CENTER,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_COORD_SCALE_UNIT,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_EXT_OBSERVING_CONTEXT,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_EXT_SOURCE_FAMILY,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_M_PARENT_MORPHOLOGY,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_PHI_PARENT_SOURCE,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_COORD_SCALE_UNIT,TEMPLATE_P_MORPH_PROJECTION,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
P_TAUCOV_BRANCH_LOCALIZED_COVARIANCE_RESPONSE_v1,P_TAUCOV_P4_TAU_SPECIFIC_CANDIDATE_PREFLIGHT_v1,TEMPLATE_EXT_OBSERVING_CONTEXT,TEMPLATE_B_BRANCH_RESPONSE,0.0,0.0,False,False,False,target_blind_p4_tau_specific_preflight_no_scoring
