GridIndex,z_grid,x_coordinate,SourceSplitCandidate,K1Response,A2ScalarV1Prediction,A2ProjectionGatedPrediction,ProjectionState,ProjectionMultiplier,SigmaDiag,K1Residual,V1Residual,V2Residual,AbsK1Residual,AbsV1Residual,AbsV2Residual,K1Chi2DiagContribution,V1Chi2DiagContribution,V2Chi2DiagContribution,V2ImprovesOverV1Row,V2ImprovesOverK1Row,TensionType,RuleReason,MeasurementValidationAllowed,ClaimBoundary,ContributionRankV2
0,0.51,0.3449908242954462,-1.0426005053343437,-0.2032287991395038,-0.4732147611025956,-0.2032287991395038,LOW_DEPTH_BASELINE,1.0,1.7016988923013416,-0.8393717061948398,-0.569385744231748,-0.8393717061948398,0.8393717061948398,0.569385744231748,0.8393717061948398,0.24330062202601022,0.11195609619827201,0.24330062202601022,False,False,V2_ROW_NON_DOMINANT_TENSION,projection memory remains weak at low depth,False,a2_projection_gated_row_tension_no_measurement_validation,7
1,0.7375,0.4682655446968191,0.7278835673535662,-0.2192846011690317,-0.618694508528425,-0.2192846011690317,LOW_DEPTH_BASELINE,1.0,1.614715283246429,0.9471681685225979,1.3465780758819912,0.9471681685225979,0.9471681685225979,1.3465780758819912,0.9471681685225979,0.3440822558232004,0.6954584156079348,0.3440822558232004,True,False,V2_SIGN_MISMATCH,projection memory remains weak at low depth,False,a2_projection_gated_row_tension_no_measurement_validation,4
2,0.965,0.5755375138345268,4.11117844541876,-0.0650843299689463,-0.2294316457386025,-0.0650843299689463,SOURCE_COHERENT_COMMON_MODE,1.0,1.5144842338066176,4.176262775387706,4.340610091157362,4.176262775387706,4.176262775387706,4.340610091157362,4.176262775387706,7.604070263737847,8.214327961963173,7.604070263737847,True,False,V2_SIGN_MISMATCH,same-direction SN/BAO response is common-mode,False,a2_projection_gated_row_tension_no_measurement_validation,1
3,1.1925,0.6692388167013362,3.2433799477411087,0.0001516812476995,0.0006670808748154,0.0001516812476995,K1_NULL_SUPPRESSED,1.0,1.4755343006775197,3.2432282664934093,3.2427128668662935,3.2432282664934093,3.2432282664934093,3.2427128668662935,3.2432282664934093,4.831215540480161,4.829680151273473,4.831215540480161,False,False,SUPPRESSION_LEAVES_LARGE_RESIDUAL,near-null K1 does not get sign-inventing amplification,False,a2_projection_gated_row_tension_no_measurement_validation,2
4,1.42,0.7515739767083173,-0.2981167213819073,-0.1996724490854003,-1.0774911011919568,-1.0774911011919568,SOURCE_ANTI_COHERENT_MEMORY_ACTIVE,5.396293310005486,1.5266241667747458,-0.09844427229650701,0.7793743798100494,0.7793743798100494,0.09844427229650701,0.7793743798100494,0.7793743798100494,0.004158307866922291,0.26063214862484074,0.26063214862484074,False,False,V2_WORSE_THAN_K1,opposed SN/BAO response is the source-split memory-active channel,False,a2_projection_gated_row_tension_no_measurement_validation,6
5,1.6475,0.8244143775463955,-0.070529173861261,-0.1766101114929631,-1.1448866415174794,-1.1448866415174794,SOURCE_ANTI_COHERENT_MEMORY_ACTIVE,6.482565646096071,1.4706055889770122,0.10608093763170211,1.0743574676562184,1.0743574676562184,0.10608093763170211,1.0743574676562184,1.0743574676562184,0.0052033408432295885,0.5337098147816132,0.5337098147816132,False,False,V2_WORSE_THAN_K1,opposed SN/BAO response is the source-split memory-active channel,False,a2_projection_gated_row_tension_no_measurement_validation,3
6,1.875,0.8893016935201591,-1.1426447541810745,-0.3416394100954415,-2.605508631698117,-0.3416394100954415,SIGN_UNSTABLE_SUPPRESSED,1.0,1.448087348593898,-0.801005344085633,1.4628638775170424,-0.801005344085633,0.801005344085633,1.4628638775170424,0.801005344085633,0.3059717346090614,1.0205124643085872,0.3059717346090614,True,False,V2_ROW_NON_DOMINANT_TENSION,unstable reconstruction sign is not forced by A2,False,a2_projection_gated_row_tension_no_measurement_validation,5
8,2.33,1.0,0.3187906731215182,-0.1580742509125811,-1.580742509125811,-0.1580742509125811,SIGN_UNSTABLE_SUPPRESSED,1.0,1.4164867477336565,0.4768649240340993,1.8995331822473291,0.4768649240340993,0.4768649240340993,1.8995331822473291,0.4768649240340993,0.11333543774775832,1.7983273010382137,0.11333543774775832,True,False,V2_SIGN_MISMATCH,unstable reconstruction sign is not forced by A2,False,a2_projection_gated_row_tension_no_measurement_validation,8
