RhoCross,BestModel,K1AIC,K2AIC,BestPolyAIC,DeltaAIC_K2_minus_K1,DeltaAIC_K2_minus_BestPoly,K2ImprovesOverK1,K2BeatsBestPoly,Interpretation,ClaimBoundary
-0.9,POLY_DEG2,8.993373136559704,7.629301967545316,7.125691177202926,-1.3640711690143883,0.5036107903423899,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.85,POLY_DEG2,9.20292022518997,7.810848758781682,7.155794436645495,-1.3920714664082885,0.6550543221361869,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.8,POLY_DEG2,9.422714106463307,8.001370497772513,7.187597113794004,-1.421343608690794,0.8137733839785088,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.75,POLY_DEG2,9.653544640795381,8.201558894050581,7.2212520183260125,-1.4519857467447999,0.980306875724569,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.7,POLY_DEG2,9.89628735423064,8.412179660513996,7.256931578610959,-1.4841076937166449,1.1552480819030366,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.65,POLY_DEG2,10.15191578788695,8.634082849296078,7.294831247287155,-1.517832938590871,1.3392516020089236,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.6,POLY_DEG2,10.421516146236929,8.868215006026395,7.335173681905665,-1.5533011402105341,1.5330413241207292,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.55,POLY_DEG2,10.706304790111126,9.115633537349847,7.378213927241922,-1.590671252761279,1.7374196101079251,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.5,POLY_DEG2,11.007649285222673,9.377523791477245,7.424245909553261,-1.6301254937454281,1.9532778819239835,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.45,POLY_DEG2,11.327093945273017,9.655219490582887,7.473610675127962,-1.6718744546901299,2.1816088154549247,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
