FoldID,ValidationMode,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,MeasurementValidationAllowed,ClaimBoundary
loo_0,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,0,0.24330062202601022,0.24330062202601022,0.8393717061948398,False,a2_v3_polynomial_cv_no_measurement_validation
loo_0,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,0,0.11195609619827201,0.11195609619827201,0.569385744231748,False,a2_v3_polynomial_cv_no_measurement_validation
loo_0,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,0,0.24330062202601022,0.24330062202601022,0.8393717061948398,False,a2_v3_polynomial_cv_no_measurement_validation
loo_0,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,0,0.24330062202601022,0.24330062202601022,0.8393717061948398,False,a2_v3_polynomial_cv_no_measurement_validation
loo_0,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,0,5.092556192353336,5.092556192353336,3.8401715963674175,False,a2_v3_polynomial_cv_no_measurement_validation
loo_0,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,0,31.323309267101237,31.323309267101237,9.523937470754495,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,1,0.3440822558232004,0.3440822558232004,0.9471681685225979,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,1,0.6954584156079348,0.6954584156079348,1.3465780758819912,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,1,0.3440822558232004,0.3440822558232004,0.9471681685225979,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,1,0.3440822558232004,0.3440822558232004,0.9471681685225979,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,1,0.14746570399943507,0.14746570399943507,0.6200710710301829,False,a2_v3_polynomial_cv_no_measurement_validation
loo_1,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,1,4.100663625273763,4.100663625273763,3.269813848246364,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,2,7.604070263737847,7.604070263737847,4.176262775387706,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,2,8.214327961963173,8.214327961963173,4.340610091157362,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,2,7.604070263737847,7.604070263737847,4.176262775387706,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,2,7.604070263737847,7.604070263737847,4.176262775387706,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,2,4.421904996601136,4.421904996601136,3.1847068381123957,False,a2_v3_polynomial_cv_no_measurement_validation
loo_2,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,2,1.3290772374800117,1.3290772374800117,1.7459824202532932,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,3,4.831215540480161,4.831215540480161,3.2432282664934093,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,3,4.829680151273473,4.829680151273473,3.2427128668662935,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,3,4.831215540480161,4.831215540480161,3.2432282664934093,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,3,4.831215540480161,4.831215540480161,3.2432282664934093,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,3,1.8751049115038507,1.8751049115038507,2.020515076502269,False,a2_v3_polynomial_cv_no_measurement_validation
loo_3,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,3,1.1685088745716747,1.1685088745716747,1.5950170037709954,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,4,0.004158307866922291,0.004158307866922291,0.09844427229650701,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,4,0.26063214862484074,0.26063214862484074,0.7793743798100494,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,4,0.26063214862484074,0.26063214862484074,0.7793743798100494,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,4,0.26063214862484074,0.26063214862484074,0.7793743798100494,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,4,2.34844539560731,2.34844539560731,2.3394963202505146,False,a2_v3_polynomial_cv_no_measurement_validation
loo_4,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,4,0.9777380540712011,0.9777380540712011,1.5095357136088037,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,5,0.0052033408432295885,0.0052033408432295885,0.10608093763170211,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,5,0.5337098147816132,0.5337098147816132,1.0743574676562184,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,5,0.5337098147816132,0.5337098147816132,1.0743574676562184,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,5,0.5337098147816132,0.5337098147816132,1.0743574676562184,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,5,0.8449076791824821,0.8449076791824821,1.3517638899341398,False,a2_v3_polynomial_cv_no_measurement_validation
loo_5,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,5,0.03252369230228511,0.03252369230228511,0.26521380965733865,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,6,0.3059717346090614,0.3059717346090614,0.801005344085633,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,6,1.0205124643085872,1.0205124643085872,1.4628638775170424,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,6,0.3059717346090614,0.3059717346090614,0.801005344085633,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,6,0.012224891647543399,0.012224891647543399,0.16010956166798396,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,6,1.8389880189931287,1.8389880189931287,1.9637410070131869,False,a2_v3_polynomial_cv_no_measurement_validation
loo_6,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,6,0.18319579275539674,0.18319579275539674,0.6198013345732647,False,a2_v3_polynomial_cv_no_measurement_validation
loo_7,leave_one_out,K1_NO_MEMORY,fair_null,0,7,1,8,0.11333543774775832,0.11333543774775832,0.4768649240340993,False,a2_v3_polynomial_cv_no_measurement_validation
