Dataset,MappingID,ModelID,z,x,target_median,target_p16,target_p84,sigma_diag,prediction,residual,residual_over_sigma,chi2_contribution,inside_envelope,sign_stable,sign_violation,ContributionRank,Notes
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,2.08288606075,-1.30707415937,-0.560442239603,0.314095503932,True,True,False,5,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,1.32508894295,-0.790040353797,-0.549861792141,0.302347990456,False,True,False,6,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.771694547239,-0.681119767599,-0.697832145206,0.486969702883,True,True,False,3,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,0.393841307399,-0.470089285719,-0.703309194392,0.494643822916,True,False,False,2,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.255396209951,-0.0994312967609,-0.4363947224,0.190440353738,True,True,False,7,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.471741987645,-0.427200374258,-0.778959877048,0.606778490051,True,True,False,1,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,1.17686011162,-0.268807176207,-0.18895087102,0.0357024316593,True,False,False,9,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,2.50132757248,-1.03514436898,-0.388932032518,0.151268125919,True,False,False,8,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K2_LOCKED_RHO4,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,4.5595239185,-2.4370654346,-0.58069128459,0.337202367998,True,False,False,4,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,1.9990324283,-1.22322052692,-0.524487801033,0.275087453432,True,True,False,1,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,1.1759263118,-0.64087772265,-0.446045789213,0.198956846075,True,True,False,4,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.6009299818,-0.51035520216,-0.522877594341,0.273400978664,True,True,False,2,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,0.2563651344,-0.33261311272,-0.497628572821,0.247634196488,True,False,False,3,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.1340356667,0.02192924649,0.0962454251949,0.00926318187095,True,True,False,9,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.195413964,-0.150872350613,-0.27510160282,0.0756808918739,True,True,False,8,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.3815434991,0.52650943631,0.370095835962,0.136970927797,True,False,False,5,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,0.6350144062,0.8311687973,0.312292835075,0.0975268148392,True,False,False,6,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,K1_NO_MEMORY,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,0.9119047837,1.2105537002,0.288444443573,0.0832001970281,True,False,False,7,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.861226169389,-0.0854142680088,-0.0366236018926,0.00134128821559,True,True,False,6,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.38597943731,0.14906915184,0.103750942075,0.0107642579814,True,True,False,4,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.0938337914342,-0.00325901179417,-0.00333897693147,1.11487669489e-05,True,True,False,9,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.0152167524398,-0.0610312258802,-0.0913099353899,0.0083375043009,True,False,False,5,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.0588300394152,0.0971348737748,0.426315935295,0.181745276687,True,True,False,2,fixed_degree_polynomial_null
