Subset,GainID,GainValue,Rows,PredictionToTargetRMSRatio,CosineTargetVsPrediction,ResidualRMS,Chi2DiagProxy,AICFixedGain,ClaimBoundary,UnitGainChi2,UnitGainResidualRMS,DeltaChi2VsUnitGain,DeltaResidualRMSVsUnitGain,Interpretation
all_points,A_TAU_UNIT_GAIN_1,1.0,8,0.23135178534395498,0.6700159066262061,2.3218232216545744,9.660891730676413,9.660891730676413,projection_gain_prior_preflight_no_measurement_validation,9.660891730676413,2.3218232216545744,0.0,0.0,diagnostic_gain_contrast
all_points,A_TAU_SYMMETRIC_PRIOR_2,2.0,8,0.46270357068790996,0.6700159066262061,2.0753976738431574,6.494430116353681,6.494430116353681,projection_gain_prior_preflight_no_measurement_validation,9.660891730676413,2.3218232216545744,-3.166461614322732,-0.246425547811417,diagnostic_gain_contrast
all_points,A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,8,0.48144638507114756,0.670015906626206,2.0623957965881434,6.367876976373945,6.367876976373945,projection_gain_prior_preflight_no_measurement_validation,9.660891730676413,2.3218232216545744,-3.293014754302468,-0.259427425066431,diagnostic_gain_contrast
low_depth,A_TAU_UNIT_GAIN_1,1.0,2,0.05983343937906036,0.9694754325730789,4.336144602028613,3.524412067330192,3.524412067330192,projection_gain_prior_preflight_no_measurement_validation,3.524412067330192,4.336144602028613,0.0,0.0,diagnostic_gain_contrast
low_depth,A_TAU_SYMMETRIC_PRIOR_2,2.0,2,0.11966687875812072,0.9694754325730789,4.070876027254757,3.0808496573873185,3.0808496573873185,projection_gain_prior_preflight_no_measurement_validation,3.524412067330192,4.336144602028613,-0.44356240994287344,-0.2652685747738559,diagnostic_gain_contrast
low_depth,A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,2,0.12451424592464228,0.9694754325730788,4.049444638061547,3.0463170977050416,3.0463170977050416,projection_gain_prior_preflight_no_measurement_validation,3.524412067330192,4.336144602028613,-0.4780949696251504,-0.28669996396706576,diagnostic_gain_contrast
mid_depth,A_TAU_UNIT_GAIN_1,1.0,3,0.2782021761181556,0.9351910548515222,0.8531772385962928,4.292926310039731,4.292926310039731,projection_gain_prior_preflight_no_measurement_validation,4.292926310039731,0.8531772385962928,0.0,0.0,diagnostic_gain_contrast
mid_depth,A_TAU_SYMMETRIC_PRIOR_2,2.0,3,0.5564043522363112,0.9351910548515222,0.5927675022456113,3.254773201249377,3.254773201249377,projection_gain_prior_preflight_no_measurement_validation,4.292926310039731,0.8531772385962928,-1.0381531087903544,-0.26040973635068154,diagnostic_gain_contrast
mid_depth,A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,3,0.5789427205494979,0.9351910548515221,0.5742173266269738,3.191008336999156,3.191008336999156,projection_gain_prior_preflight_no_measurement_validation,4.292926310039731,0.8531772385962928,-1.101917973040575,-0.278959911969319,diagnostic_gain_contrast
high_depth,A_TAU_UNIT_GAIN_1,1.0,3,0.4755334188580095,0.9895918682855094,1.0549676709320337,1.843553353306489,1.843553353306489,projection_gain_prior_preflight_no_measurement_validation,1.843553353306489,1.0549676709320337,0.0,0.0,diagnostic_gain_contrast
high_depth,A_TAU_SYMMETRIC_PRIOR_2,2.0,3,0.951066837716019,0.9895918682855094,0.29440382868789833,0.15880725771698584,0.15880725771698584,projection_gain_prior_preflight_no_measurement_validation,1.843553353306489,1.0549676709320337,-1.684746095589503,-0.7605638422441354,symmetric_gain_prior_recovers_memory_active_amplitude
high_depth,A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,3,0.9895918682855094,0.9895918682855094,0.28438882199600385,0.13055154166974778,0.13055154166974778,projection_gain_prior_preflight_no_measurement_validation,1.843553353306489,1.0549676709320337,-1.7130018116367411,-0.7705788489360299,diagnostic_gain_contrast
mid_high_depth,A_TAU_UNIT_GAIN_1,1.0,6,0.4345621806759767,0.9615059883222337,0.9593925648999359,6.13647966334622,6.13647966334622,projection_gain_prior_preflight_no_measurement_validation,6.13647966334622,0.9593925648999359,0.0,0.0,diagnostic_gain_contrast
mid_high_depth,A_TAU_SYMMETRIC_PRIOR_2,2.0,6,0.8691243613519534,0.9615059883222337,0.4679994263162051,3.4135804589663628,3.4135804589663628,projection_gain_prior_preflight_no_measurement_validation,6.13647966334622,0.9593925648999359,-2.7228992043798574,-0.49139313858373074,symmetric_gain_prior_recovers_memory_active_amplitude
mid_high_depth,A_TAU_HIGH_DEPTH_DIAGNOSTIC,2.0810143494478432,6,0.9043301337140537,0.9615059883222336,0.4531018319731798,3.3215598786689036,3.3215598786689036,projection_gain_prior_preflight_no_measurement_validation,6.13647966334622,0.9593925648999359,-2.8149197846773166,-0.5062907329267561,diagnostic_gain_contrast
