CovarianceCase,ModelID,ParameterCount,Chi2,AIC,BIC,SignStableViolations,MeanAbsResidual,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
diag_native_sigma,K1_NO_MEMORY,0,139789.55908762495,139789.55908762495,139789.55908762495,0,2.053025679822352,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_native_sigma,K2_LOCKED_RHO4,0,136480.7438339473,136480.7438339473,136480.7438339473,0,1.740329078975185,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_native_sigma,ZERO_RESPONSE_CONTROL,0,152850.0710833969,152850.0710833969,152850.0710833969,5,2.2234938839612974,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_native_sigma,POLY_DEG2,3,2661.832384218718,2667.832384218718,2668.0707088437575,0,0.7046767618192085,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_native_sigma,POLY_DEG3,4,4854.435479796139,4862.435479796139,4862.753245962858,0,0.6206755083396288,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p10,K1_NO_MEMORY,0,4529.624886361091,4529.624886361091,4529.624886361091,0,2.053025679822352,0.1,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p10,K2_LOCKED_RHO4,0,4109.772788248421,4109.772788248421,4109.772788248421,0,1.740329078975185,0.1,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p10,ZERO_RESPONSE_CONTROL,0,5088.793072987268,5088.793072987268,5088.793072987268,5,2.2234938839612974,0.1,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p10,POLY_DEG2,3,407.8933354955729,413.8933354955729,414.1316601206124,0,0.7046767618192085,0.1,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p10,POLY_DEG3,4,405.1606790007904,413.1606790007904,413.4784451675098,0,0.6206755083396288,0.1,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p25,K1_NO_MEMORY,0,814.2417408154564,814.2417408154564,814.2417408154564,0,2.053025679822352,0.25,0.25,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p25,K2_LOCKED_RHO4,0,690.0304732946468,690.0304732946468,690.0304732946468,0,1.740329078975185,0.25,0.25,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p25,ZERO_RESPONSE_CONTROL,0,928.0779142825589,928.0779142825589,928.0779142825589,5,2.2234938839612974,0.25,0.25,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p25,POLY_DEG2,3,78.97224962701046,84.97224962701046,85.21057425204997,0,0.7046767618192085,0.25,0.25,scale_covariance_sensitivity_only_no_measurement_validation
diag_sigma_floor_0p25,POLY_DEG3,4,70.89756349731744,78.89756349731744,79.21532966403677,0,0.6206755083396288,0.25,0.25,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_10pct,K1_NO_MEMORY,0,572.9054673359008,572.9054673359008,572.9054673359008,0,2.053025679822352,0.0904224520916678,0.5101385205889282,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_10pct,K2_LOCKED_RHO4,0,390.9278937588457,390.9278937588457,390.9278937588457,0,1.740329078975185,0.0904224520916678,0.5101385205889282,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_10pct,ZERO_RESPONSE_CONTROL,0,689.0314584247003,689.0314584247003,689.0314584247003,5,2.2234938839612974,0.0904224520916678,0.5101385205889282,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_10pct,POLY_DEG2,3,297.20900973937785,303.20900973937785,303.4473343644174,0,0.7046767618192085,0.0904224520916678,0.5101385205889282,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_10pct,POLY_DEG3,4,234.23179390303753,242.23179390303753,242.54956006975686,0,0.6206755083396288,0.0904224520916678,0.5101385205889282,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_25pct,K1_NO_MEMORY,0,94.89901457600001,94.89901457600001,94.89901457600001,0,2.053025679822352,0.0904224520916678,1.2753463014723203,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_25pct,K2_LOCKED_RHO4,0,64.78709926555169,64.78709926555169,64.78709926555169,0,1.740329078975185,0.0904224520916678,1.2753463014723203,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_25pct,ZERO_RESPONSE_CONTROL,0,113.79559128573122,113.79559128573122,113.79559128573122,5,2.2234938839612974,0.0904224520916678,1.2753463014723203,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_25pct,POLY_DEG2,3,217.23767114729856,223.23767114729856,223.47599577233805,0,0.7046767618192085,0.0904224520916678,1.2753463014723203,scale_covariance_sensitivity_only_no_measurement_validation
diag_target_fraction_floor_25pct,POLY_DEG3,4,193.7993339354342,201.7993339354342,202.11710010215353,0,0.6206755083396288,0.0904224520916678,1.2753463014723203,scale_covariance_sensitivity_only_no_measurement_validation
nearest_neighbor_corr_0p25,K1_NO_MEMORY,0,117618.72567002085,117618.72567002085,117618.72567002085,0,2.053025679822352,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
nearest_neighbor_corr_0p25,K2_LOCKED_RHO4,0,115146.81352015046,115146.81352015046,115146.81352015046,0,1.740329078975185,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
nearest_neighbor_corr_0p25,ZERO_RESPONSE_CONTROL,0,128330.3584283584,128330.3584283584,128330.3584283584,5,2.2234938839612974,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
nearest_neighbor_corr_0p25,POLY_DEG2,3,3464.887156490092,3470.887156490092,3471.1254811151316,0,0.7046767618192085,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
nearest_neighbor_corr_0p25,POLY_DEG3,4,6630.17001742834,6638.17001742834,6638.487783595059,0,0.6206755083396288,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
constant_offdiag_corr_0p25,K1_NO_MEMORY,0,147340.2689554582,147340.2689554582,147340.2689554582,0,2.053025679822352,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
constant_offdiag_corr_0p25,K2_LOCKED_RHO4,0,146089.75449761344,146089.75449761344,146089.75449761344,0,1.740329078975185,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
constant_offdiag_corr_0p25,ZERO_RESPONSE_CONTROL,0,160305.75192293862,160305.75192293862,160305.75192293862,5,2.2234938839612974,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
constant_offdiag_corr_0p25,POLY_DEG2,3,3477.8700566203997,3483.8700566203997,3484.1083812454394,0,0.7046767618192085,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
constant_offdiag_corr_0p25,POLY_DEG3,4,6424.684379176135,6432.684379176135,6433.002145342854,0,0.6206755083396288,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_z,K1_NO_MEMORY,0,134347.47699562408,134347.47699562408,134347.47699562408,0,2.053025679822352,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_z,K2_LOCKED_RHO4,0,132145.5909591024,132145.5909591024,132145.5909591024,0,1.740329078975185,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_z,ZERO_RESPONSE_CONTROL,0,146092.28273665108,146092.28273665108,146092.28273665108,5,2.2234938839612974,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_z,POLY_DEG2,3,9627.652862748151,9633.652862748151,9633.89118737319,0,0.7046767618192085,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_z,POLY_DEG3,4,18398.69531330368,18406.69531330368,18407.0130794704,0,0.6206755083396288,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_x,K1_NO_MEMORY,0,122469.37811348184,122469.37811348184,122469.37811348184,0,2.053025679822352,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_x,K2_LOCKED_RHO4,0,120208.14123186303,120208.14123186303,120208.14123186303,0,1.740329078975185,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_x,ZERO_RESPONSE_CONTROL,0,133399.45194340078,133399.45194340078,133399.45194340078,5,2.2234938839612974,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_x,POLY_DEG2,3,7298.1607436212125,7304.1607436212125,7304.399068246252,0,0.7046767618192085,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
exp_corr_x,POLY_DEG3,4,13487.528345130388,13495.528345130388,13495.846111297107,0,0.6206755083396288,0.0149935194363005,0.2122945218250446,scale_covariance_sensitivity_only_no_measurement_validation
