DepthBin,Rows,MeanX,A2PredictionToTargetRMSRatio,A2ResidualRMS,A2Chi2DiagProxy,A2DeltaAICVsUnit,A2DeltaAICVsK1,A2SignMatchFraction,ClaimBoundary,A2AmplitudeMonotoneRank
low_depth,2,0.40662818449613264,0.11966687875812072,4.070876027254757,3.0808496573873185,-0.44356240994287344,-0.5518907001036109,1.0,a2_stress_preflight_no_measurement_validation,1.0
mid_depth,3,0.6654501024147268,0.5564043522363112,0.5927675022456113,3.254773201249377,-1.0381531087903544,-1.848139849211473,1.0,a2_stress_preflight_no_measurement_validation,2.0
high_depth,3,0.9045720236888516,0.951066837716019,0.29440382868789833,0.15880725771698584,-1.684746095589503,-4.5351273282163485,1.0,a2_stress_preflight_no_measurement_validation,3.0
