SummaryID,ExtractionID,Rows,SignMatches,SignMatchFraction,SignStableRows,SignStableMatches,SignStableMatchFraction,TargetRMS,PreviewRMS,PreviewToTargetRMSRatio,CosineSimilarity,ForbiddenBestLinearScaleDiagnosticOnly,ScaleInterpretation,TauCoreSignConvention,ScoringAllowed,Interpretation,ClaimBoundary
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_SUMMARY,PX_ZKDR_1303_TABLE1_JOINT_ALPHA_PRIOR,8,3,0.375,5,3,0.6,2.692695434937359,0.11136931803688117,0.041359790116579594,0.25365391325889086,6.132862680006938,alpha_preview_is_much_smaller_than_current_source_split_target,AS_DECLARED,False,"as-declared optical alpha preview is a weak partial sign/control explanation, not a measurement comparator",alpha_as_declared_preflight_no_measurement_validation
ALPHA_AS_DECLARED_TAU_CORE_PREFLIGHT_SUMMARY,PX_ZKDR_1303_TABLE7_JOINT_ALPHA_WITH_HUBBLE,8,3,0.375,5,3,0.6,2.692695434937359,0.06328605691619599,0.023502864859897617,0.2536539132588907,10.792467844704937,alpha_preview_is_much_smaller_than_current_source_split_target,AS_DECLARED,False,"as-declared optical alpha preview is a weak partial sign/control explanation, not a measurement comparator",alpha_as_declared_preflight_no_measurement_validation
