AuditID,ProtocolID,GateID,GateName,Passed,DiagnosticValue,ClaimBoundary
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G1,PRIMARY_OOS_GAIN,True,118.9586781544966,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G2,LEAVE_ONE_FAMILY_OUT_POSITIVE,True,107.95775434864701,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G3,CLOCK_BLOCK_HOLDOUT_POSITIVE,True,11.000923805849594,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G4,BIC_AIC_PROXY_NOT_ERASED,True,118.9586781544966,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G5,BEATS_WRONG_CLOCK,True,110.93544805135495,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G6,BEATS_PHASE_SHIFTED,True,83.84414294878897,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G7,BEATS_FAMILY_PERMUTED,False,-8.524421906339512,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G8,BEATS_RANDOM_SMOOTH_PSD,True,73.66791508689468,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G9,ALPHA_POSITIVE_STABLE,True,0.24789102180955197,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
P5C_KERNEL_COVARIANCE_SURVIVAL_GATES_V3,P5C_BSTAR_COVARIANCE_OPERATOR_KERNEL_PROTOCOL_v1,G10,NO_SINGLE_FAMILY_DOMINANCE,False,0.9725229318494162,p5c_kernel_covariance_scorecard_v3_no_measurement_validation
