AuditID,RouteID,FamilyID,SampleID,GridIndex,z_grid,FamilyBackreactionInterpolated,FamilyBackreactionWhitened,WhitenedTarget,K1Whitened,K2LockedWhitened,ResidualToTarget,ResidualToK2,SignStable,SignMatchesTarget,SignMatchesK2,MeasurementValidationAllowed,ClaimBoundary
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_SMOOTH_D_Q20,0,5,1.6475,1.551953824163259,0.6558926508090268,-0.3814165650725978,-0.0452647958113341,-0.1283810963664025,-1.0373092158816246,-0.7842737471754293,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_SMOOTH_D_Q20,0,6,1.875,1.5002194293292204,0.6516754975277593,-1.3898183781540705,-0.2174649739432023,-0.8895918169480529,-2.0414938756818297,-1.5412673144758122,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_SMOOTH_D_Q20,0,8,2.33,1.396750639661143,0.8537411428082385,-1.2298343207445623,-0.0967721463013744,-0.5156214844006239,-2.0835754635528008,-1.3693626272088624,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,0,0.51,1.6008042220190912,0.8668210478309553,-2.745431288481891,-0.0998241209545273,-0.0796921414161646,-3.6122523363128467,-0.9465131892471199,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,1,0.7375,1.4665688004053699,0.8822136842401194,-2.3025428535703973,-0.1327596978207249,-0.2055224348022593,-3.1847565378105167,-1.0877361190423787,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,2,0.965,1.375794272957472,0.8561781748718171,-0.8014829515625784,-0.0419669552380939,-0.0625291792376435,-1.6576611264343954,-0.9187073541094606,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,3,1.1925,1.3170544951957963,0.7865724308943576,0.173576508880147,0.0124813409147406,0.042579236107518,-0.6129959220142106,-0.7439931947868396,False,True,True,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,4,1.42,1.2666851030435418,0.4758283634378607,-0.6451889001717087,-0.0647507033067011,-0.0759363642193157,-1.1210172636095694,-0.5517647276571764,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,5,1.6475,1.238952424265308,0.5241953620335988,-0.3814165650725978,-0.0452647958113341,-0.1283810963664025,-0.9056119271061966,-0.6525764584000013,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,6,1.875,1.215957408001631,0.5399842112678966,-1.3898183781540705,-0.2174649739432023,-0.8895918169480529,-1.9298025894219673,-1.4295760282159495,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
