RowID,Quantity,z,ObservedValue,CMBOnlyPrediction,LogResidual,SigmaDiag,CovarianceIndex,BaselineID,ResidualPolicyID,rd_mpc,AllowedForRerunCandidate,MeasurementValidationAllowed
0,DV_over_rs,0.295,7.94167639,8.075715485474507,-0.016737084980268067,0.009581347753941438,0,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
1,DM_over_rs,0.51,13.58758434,13.529758701207351,0.004264851932859253,0.012391222789573143,1,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
2,DH_over_rs,0.51,21.86294686,22.769957839947512,-0.04064874881125865,0.01961621768221515,2,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
3,DM_over_rs,0.706,17.35069094,17.73454258086989,-0.021881966774117544,0.010370262565945615,3,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
4,DH_over_rs,0.706,19.45534918,20.186528270331028,-0.03689341024776115,0.017160834714924602,4,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
5,DM_over_rs,0.934,21.57563956,22.031406972720077,-0.020904144890981264,0.007498344864675307,5,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
6,DH_over_rs,0.934,17.64149464,17.576826006079866,0.003672446920534856,0.011396043968131467,6,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
7,DM_over_rs,1.321,27.60085612,28.119646619300703,-0.01862170889969214,0.011758906085866645,7,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
8,DH_over_rs,1.321,14.17602155,14.064860471988903,0.007872392372203059,0.015840223586568034,8,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
9,DM_over_rs,1.484,30.51190063,30.31345295040364,0.00652518635867592,0.02502491254489203,9,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
10,DH_over_rs,1.484,12.81699964,12.878437542906415,-0.004782017877153885,0.04041599311235677,10,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
11,DH_over_rs,2.33,8.631545674846294,8.612270271364132,0.002235631784817622,0.011708500050339923,11,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
12,DM_over_rs,2.33,38.988973961958784,39.21772098530416,-0.005849823364042637,0.013636727876309297,12,SOURCE_SPLIT_LIKELIHOOD_NATIVE_CMB_ONLY_BASELINE_V1,BAO_LOG_CMB_ONLY_RD_FIXED_V1,147.30766,True,False
