GridIndex,BAO_0,BAO_1,BAO_2,BAO_3,BAO_4,BAO_5,BAO_6,BAO_7,BAO_8,BAO_9,BAO_10,BAO_11,BAO_12
0,0.0,88.6607071537082,35.37764970261362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,102.36077172865843,37.3797368489532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,134.99313103697122,58.443236633513784,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.81075657439935,47.83929490496445,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.474241212277626,17.434282874639983,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.474241212277626,17.434282874639983,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.474241212277626,17.434282874639983,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.50632382850269,63.03480464276865
