z,D_median,D_p16,D_p84,D_prime_median,D_double_prime_median,FiniteSamples,BootstrapSamples,Source,SelectionRule,ClaimBoundary
0.38,1496.5099995432683,1403.6254225340426,1589.8493521691473,2349.1069805329653,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
0.51,1809.1140296804692,1782.327106879604,1860.837602097692,2349.1069805318866,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
0.698,2265.6126471563566,2224.705925254822,2354.601475513381,2349.1069805324687,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
0.706,2284.4585810779818,2242.9521182413896,2378.4792595614717,2349.1069805318866,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
0.93,2805.202166649222,2727.0345618120136,2950.241198002115,2335.9088943144206,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
0.934,2814.749446152294,2735.87442638518,2960.0678599260923,2334.8335331404014,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
1.317,3701.5826324101,3531.287193647598,3818.522773750686,2230.208106512448,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
1.321,3710.959583190227,3539.8869427784934,3827.602786516892,2230.2081065130296,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
1.48,4054.1031522493117,3874.8804545879834,4164.98679879213,2230.208106512448,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
1.484,4063.4498914987053,3883.359505320168,4174.711909691646,2230.2081065136117,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
2.33,5881.793652095543,4646.641975427207,6200.954502988939,2230.2081065118664,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
2.334,5890.682558944143,4646.928405113162,6210.659255060093,2230.2081065130296,0.0,200,200,data/physical_nulls/backreaction_reproduction/d_branch_derivative_regularized_bootstrap_200_binned_training.csv,derivative_regularized_normalized_criteria3_200_no_K2_fit,d_branch_derivative_regularized_bootstrap_200_no_measurement_validation
