CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,3.0798259836965687,1.7320699927973109,0.9738121866334071,0.9554232136670644,0.65104021492887,0.6480857605348159,0.5305403397519528,0.5303464876328824,0.5316470392337789,0.5318765220083947,0.7300485600428183,0.731695338057077,regularized_full_pysr_backreaction_200_no_measurement_validation
z_0.51,1.7320699927973109,1.2563912520084564,0.957160743113383,0.9490325500254786,0.8005396376923425,0.7989119047330804,0.731917390482341,0.731887134606506,0.7384146154723231,0.7387589114024526,0.9787188770882345,0.9806912849537405,regularized_full_pysr_backreaction_200_no_measurement_validation
z_0.698,0.9738121866334071,0.957160743113383,0.9332547247731336,0.9319860140344784,0.9005239229744058,0.9001132188324175,0.8977851849109635,0.8981575865544948,0.919389769557205,0.9200833693396665,1.247047861641573,1.2495689086892923,regularized_full_pysr_backreaction_200_no_measurement_validation
z_0.706,0.9554232136670644,0.9490325500254786,0.9319860140344784,0.9309043292480293,0.902946027530589,0.9025769249664197,0.9028549651061781,0.9032467826995569,0.9252061926101859,0.9259173228302554,1.2569781931071313,1.2595236050109506,regularized_full_pysr_backreaction_200_no_measurement_validation
z_0.93,0.65104021492887,0.8005396376923425,0.9005239229744058,0.902946027530589,0.9470127775977659,0.9476011204018293,1.015728751216412,1.0166855377758235,1.0601926259471743,1.061429886374298,1.5140503289257972,1.5173033024008522,regularized_full_pysr_backreaction_200_no_measurement_validation
z_0.934,0.6480857605348159,0.7989119047330804,0.9001132188324175,0.9025769249664197,0.9476011204018293,0.9482037312487682,1.0174567558173901,1.0184237243795333,1.0623247528812305,1.0635717369568098,1.5184489927368805,1.5217150126774481,regularized_full_pysr_backreaction_200_no_measurement_validation
z_1.317,0.5305403397519528,0.731917390482341,0.8977851849109635,0.9028549651061781,1.015728751216412,1.0174567558173901,1.184723111846818,1.1866460857950294,1.2681699928623338,1.2703591786022226,1.951167268671359,1.9557577191807571,regularized_full_pysr_backreaction_200_no_measurement_validation
z_1.321,0.5303464876328824,0.731887134606506,0.8981575865544948,0.9032467826995569,1.0166855377758235,1.0184237243795333,1.1866460857950294,1.1885789115103493,1.2704960204154458,1.272695175493278,1.9559791070481658,1.960584335681217,regularized_full_pysr_backreaction_200_no_measurement_validation
z_1.48,0.5316470392337789,0.7384146154723231,0.919389769557205,0.9252061926101859,1.0601926259471743,1.0623247528812305,1.2681699928623338,1.2704960204154458,1.3681771635512636,1.370777652121755,2.1551544728225203,2.1603680037609387,regularized_full_pysr_backreaction_200_no_measurement_validation
z_1.484,0.5318765220083947,0.7387589114024526,0.9200833693396665,0.9259173228302554,1.061429886374298,1.0635717369568098,1.2703591786022226,1.272695175493278,1.370777652121755,1.373388396920535,2.1603833996049646,2.165612804962942,regularized_full_pysr_backreaction_200_no_measurement_validation
z_2.33,0.7300485600428183,0.9787188770882345,1.247047861641573,1.2569781931071313,1.5140503289257972,1.5184489927368805,1.951167268671359,1.9559791070481658,2.1551544728225203,2.1603833996049646,3.651106223508657,3.6607329168655367,regularized_full_pysr_backreaction_200_no_measurement_validation
z_2.334,0.731695338057077,0.9806912849537405,1.2495689086892923,1.2595236050109506,1.5173033024008522,1.5217150126774481,1.9557577191807571,1.960584335681217,2.1603680037609387,2.165612804962942,3.6607329168655367,3.6703875703166338,regularized_full_pysr_backreaction_200_no_measurement_validation
