FamilyID,BootstrapIndex,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,2,1.484,0.7771391559027144,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,2,2.33,0.8251315625118025,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,2,2.334,0.8253094750057304,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.38,2.1664848904156826,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.51,1.9881537700695227,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.698,1.808866020448534,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.706,1.8026611828005998,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.93,1.6606093563220692,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,0.934,1.6585262256287197,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,1.317,1.5056692273475456,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,1.321,1.5044451644191463,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,1.48,1.4601545260270616,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,1.484,1.459140075129017,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,2.33,1.3130328714242896,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,4,2.334,1.3125622439347715,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.38,3.089127466268547,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.51,2.71692125594616,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.698,2.3611177970629975,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.706,2.349139326505062,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.93,2.081142127787378,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,0.934,2.0773016622572804,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,1.317,1.8026768662934392,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,1.321,1.8005355017600655,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,1.48,1.7236778342157175,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,1.484,1.7219317390318463,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,2.33,1.4772312358006439,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,6,2.334,1.476465069458856,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.38,2.885884348791408,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.51,2.55148587752965,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.698,2.23255646141011,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.706,2.2218226044581955,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.93,1.9815635707518608,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,0.934,1.9781179652190843,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,1.317,1.7313536312525548,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,1.321,1.7294257818302274,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,1.48,1.6601817323577965,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,1.484,1.6586074349429465,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,2.33,1.4373321326895583,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
