CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,108467.89398439758,13299.470474309812,-41844.49940417106,-43026.62821115159,-54962.710764144336,-54898.296061407564,-24548.75658065636,-24053.99060797391,-2508.4641399704797,-1924.4967919484552,147810.64257008952,148597.23923091986,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_0.51,13299.470474309812,3562.0948940772128,-2401.220660874312,-2540.371568555619,-4353.597901135336,-4358.658467279247,-2463.1346248688883,-2425.8382896456274,-758.4116649139171,-712.3357718714161,11613.988370779898,11680.00785506081,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_0.698,-41844.49940417106,-2401.220660874312,20055.812310650614,20523.210908822144,24736.92007084974,24695.789804520096,10618.59786883554,10397.029734431168,802.0449471805038,543.0764212363505,-65224.83450388697,-65568.76153644177,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_0.706,-43026.62821115159,-2540.371568555619,20523.210908822144,21003.690091999953,25352.285831210298,25310.5298451748,10909.057856677284,10682.15919592212,854.748458322047,589.4742137766273,-66798.81191033815,-67151.25990240072,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_0.93,-54962.710764144336,-4353.597901135336,24736.92007084974,25352.285831210298,31267.997707001283,31225.24567790144,14203.54954839723,13930.721370707282,2081.4677230338543,1760.9503427776783,-80049.55070421715,-80478.39859291654,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_0.934,-54898.296061407564,-4358.658467279247,24695.789804520096,25310.5298451748,31225.24567790144,31182.6925755481,14198.924432442162,13926.631192228755,2100.1080708525787,1780.1952749436318,-79881.95934606604,-80310.04444100166,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_1.317,-24548.75658065636,-2463.1346248688883,10618.59786883554,10909.057856677284,14203.54954839723,14198.924432442162,8227.638526739696,8124.626847078328,3600.4333372574515,3477.0285103918286,-28618.869896888624,-28788.59967545218,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_1.321,-24053.99060797391,-2425.8382896456274,10397.029734431168,10682.15919592212,13930.721370707282,13926.631192228755,8124.626847078328,8024.251179361864,3614.010801930658,3493.6774887624806,-27824.554150765925,-27990.223132445455,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_1.48,-2508.4641399704797,-758.4116649139171,802.0449471805038,854.748458322047,2081.4677230338543,2100.1080708525787,3600.4333372574515,3614.010801930658,4131.614411181782,4144.142463035027,6485.288168067966,6495.432380011232,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_1.484,-1924.4967919484552,-712.3357718714161,543.0764212363505,589.4742137766273,1760.9503427776783,1780.1952749436318,3477.0285103918286,3493.6774887624806,4144.142463035027,4160.253363177419,7409.508671699498,7424.397276544163,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_2.33,147810.64257008952,11613.988370779898,-65224.83450388697,-66798.81191033815,-80049.55070421715,-79881.95934606604,-28618.869896888624,-27824.554150765925,6485.288168067966,7409.508671699498,241075.36851560502,242294.6798924921,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
z_2.334,148597.23923091986,11680.00785506081,-65568.76153644177,-67151.25990240072,-80478.39859291654,-80310.04444100166,-28788.59967545218,-27990.223132445455,6495.432380011232,7424.397276544163,242294.6798924921,243520.28851492112,source_native_normalized_criteria3_d_branch_bootstrap_smoke_no_measurement_validation
