z,H_D_proxy_median,H_D_proxy_p16,H_D_proxy_p84,H_D_prime_proxy_median,H_D_double_prime_proxy_median,FiniteSamples,BootstrapSamples,Source,ClaimBoundary
0.38,0.039265407861616745,0.037776032987260975,0.04543155848754599,0.03653308245454505,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
0.51,0.04401282973728567,0.04271849257169356,0.04910816851659071,0.03653308245456431,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
0.698,0.05078345426686152,0.04982112838787539,0.05447766206236145,0.03653308245455543,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
0.706,0.05108301275048174,0.05011681828768527,0.05470675116668632,0.03653308245455543,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
0.93,0.059427516225676685,0.058488071555704166,0.061067120857402304,0.03653308245455543,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
0.934,0.05957777071800721,0.05864186328118442,0.06118017981622638,0.036533082454546555,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
1.317,0.07327310996844986,0.07143953305748817,0.07412675669795826,0.03696220414039107,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
1.321,0.07341178983468649,0.07154740039662912,0.07428076450452767,0.03696220414040882,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
1.48,0.0792388397345138,0.07619961998370425,0.08032330865947024,0.037005958911606365,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
1.484,0.07938641200088925,0.07630826153723252,0.08047883077594702,0.0370059589115886,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
2.33,0.11099435470766977,0.10027442673299226,0.11317530002761068,0.037005958911606365,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
2.334,0.11114132854378386,0.10038690523903192,0.11332930435891944,0.0370059589115886,0.0,200,200,data/physical_nulls/backreaction_reproduction/source_native_training_bao_hd_proxy.csv,h_branch_normalized_criteria3_bootstrap_200_no_measurement_validation
