SampleID,Omega_z0,Omega_z1,Omega_z2,Omega_z3,Omega_z4,Omega_z5
0,3.1490893343006077,2.6783951836377056,1.9738181433260655,0.3878589068492153,-0.45844055128196826,-8.062309202255976
1,0.3943735454233767,0.35178254551194876,0.29857384479549076,0.20648521880816842,0.17292120470056468,0.1621201062301414
2,2.005014802630834,1.6661686622539345,1.2405164910758595,0.3413987304968894,-0.13052356907084628,-4.064478233356034
3,2.9186117199534896,2.385217517903348,1.70782718359537,0.3468525111830039,-0.33823951480468195,-5.952118700932913
4,1.8343499725406194,1.6880980276355082,1.433191692241075,0.718926713656926,0.2910651940846294,-3.6496058500725574
5,1.9141712346591189,1.607916903336096,1.2248263938276351,0.4091026146461986,-0.02145163435206554,-3.59545540372563
6,1.7520746073097722,1.4464426460218167,1.036599719406621,0.10737610390067208,-0.4013291260009067,-4.896930712870297
7,0.4493300163737851,0.4701442282811582,0.4363157958124506,0.23326071750103236,0.09259737564874672,-1.188768137956471
8,1.887096445800601,1.6125064783736944,1.2585799726668054,0.497376955540165,0.09600280137833805,-3.195429943592145
9,-0.40466612469740737,-0.338750773309499,-0.2745905733294804,-0.09179594323226918,0.03839110628081087,1.5402576871463454
10,-0.980655128352987,-0.7034433260440672,-0.46167808006039807,-0.008583980292520282,0.24677470859081008,2.6642471505351852
11,1.8309560428556975,1.5261188135693282,1.1618950030538386,0.4343095817013617,0.0658993296059943,-2.8193932905626347
12,1.581308728691751,1.2895172069537586,0.9259563630956454,0.14348525402254608,-0.2737958191275258,-3.794692534205535
13,1.641224969229596,1.4653175609557367,1.2156957394252927,0.6152411796979682,0.2794135492354162,-2.586964711648956
14,-0.2660198793102289,-0.07211909909852353,0.09743116836386033,0.36550545069964147,0.4961619753017844,1.6190982110971086
15,2.881358300148948,2.3827413396899932,1.7398669718976292,0.42500017183821975,-0.24410658111333786,-5.774819683086351
16,-1.0614801496532835,-0.8334415597163254,-0.6168977162932618,-0.12736980262684058,0.17486132492291803,3.1396480118279415
