SourceID,z_eff,c_over_H_rs,sigma,ReferenceKey,SourceLocation,UseInBackreactionFormulaDirectly,Role,ClaimBoundary
UPSTREAM_2604_05822_TABLE_BAO,0.51,20.98,0.61,DESI70,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,0.706,20.08,0.6,DESI70,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,0.93,17.88,0.35,DESI:2024mwx,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,1.317,13.82,0.42,DESI71,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,2.33,8.52,0.17,DESI:2024mwx,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,0.38,24.981,0.582,BOSS72,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,0.51,22.317,0.482,BOSS72,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,0.698,19.326,0.469,eBOSS73,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,1.48,13.261,0.469,eBOSS74,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
UPSTREAM_2604_05822_TABLE_BAO,2.334,8.99,0.19,eBOSS75,arXiv:2604.05822 main.tex BAO table,False,input_to_reconstruct_H_D_not_derivative_vector,backreaction_reproduction_contract_no_measurement_validation
