FamilyID,BootstrapIndex,z,Omega_R_plus_3Omega_Q,ClaimBoundary
LOCAL_BEST_SCORE_Q20,5,0.38,2.0033337950458074,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,0.51,1.8316120036809214,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,0.698,1.6664317766959025,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,0.706,1.6608422593558434,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,0.93,1.5350948049870017,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,0.934,1.5332816991274338,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,1.317,1.4025743347853548,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,1.321,1.4015458364102134,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,1.48,1.3645192852820793,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,1.484,1.3636755569120664,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,2.33,1.2440875487032599,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,5,2.334,1.2437083918024887,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.38,1.5437356683203376,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.51,1.4661807840187129,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.698,1.3862568683811813,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.706,1.3834548786043193,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.93,1.3186352544513644,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,0.934,1.3176750733761855,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,1.317,1.2464427755541772,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,1.321,1.2458661422601447,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,1.48,1.224935763283119,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,1.484,1.2244548271206195,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,2.33,1.154480435337747,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,8,2.334,1.1542527698049265,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.38,1.9900945653685873,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.51,1.8096770587308177,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.698,1.6401127621255056,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.706,1.634443673498688,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.93,1.5081171062322618,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,0.934,1.506312773014493,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,1.317,1.3775617964650482,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,1.321,1.3765592737511103,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,1.48,1.3405806849045372,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,1.484,1.3397633956396182,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,2.33,1.2251471598849435,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,11,2.334,1.2247878896785294,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.38,1.7271485516665264,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.51,1.6021487767980587,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.698,1.481252828381075,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.706,1.477153966201599,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.93,1.384879661055453,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,0.934,1.3835488756491832,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,1.317,1.2877075254134125,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,1.321,1.2869546260356932,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,1.48,1.2598740942317548,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,1.484,1.2592574468834072,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,2.33,1.1722506321834756,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,13,2.334,1.1719764862235558,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,14,0.38,1.8306487456562353,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,14,0.51,1.6936323181429707,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,14,0.698,1.5596923411593957,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,14,0.706,1.5551234326986327,source_native_reproduction_family_exports_no_measurement_validation
LOCAL_BEST_SCORE_Q20,14,0.93,1.4517133356759064,source_native_reproduction_family_exports_no_measurement_validation
