FamilyID,SampleID,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,2,2.334,0.8253094750057304,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.38,-1.3352173811541908,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.51,-0.9466071410337946,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.698,-0.7115378652931366,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.706,-0.7069845814998293,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.93,-0.7100381340186203,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,0.934,-0.7121213757072313,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,1.317,-1.1817020442931705,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,1.321,-1.1892111483152155,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,1.48,-1.528512797707907,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,1.484,-1.5380684814024062,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,2.33,-4.814699818746138,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,3,2.334,-4.8374913999106885,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.38,2.1664848904156826,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.51,1.9881537700695227,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.698,1.808866020448534,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.706,1.8026611828005998,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.93,1.6606093563220692,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,0.934,1.6585262256287197,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,1.317,1.5056692273475456,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,1.321,1.5044451644191463,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,1.48,1.4601545260270616,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,1.484,1.459140075129017,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,2.33,1.3130328714242896,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,4,2.334,1.3125622439347715,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.38,2.0033337950458074,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.51,1.8316120036809214,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.698,1.6664317766959025,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.706,1.6608422593558434,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.93,1.5350948049870017,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,0.934,1.5332816991274338,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,1.317,1.4025743347853548,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,1.321,1.4015458364102134,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,1.48,1.3645192852820793,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,1.484,1.3636755569120664,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,2.33,1.2440875487032599,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,5,2.334,1.2437083918024887,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.38,3.089127466268547,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.51,2.71692125594616,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.698,2.3611177970629975,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.706,2.349139326505062,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.93,2.081142127787378,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,0.934,2.0773016622572804,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,1.317,1.8026768662934392,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,1.321,1.8005355017600655,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,1.48,1.7236778342157175,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,1.484,1.7219317390318463,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,2.33,1.4772312358006439,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,6,2.334,1.476465069458856,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.38,2.885884348791408,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.51,2.55148587752965,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.698,2.23255646141011,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.706,2.2218226044581955,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.93,1.9815635707518608,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,0.934,1.9781179652190843,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,1.317,1.7313536312525548,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,1.321,1.7294257818302274,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
QR_CRITERIA_3_REPRODUCTION_CANDIDATE,7,1.48,1.6601817323577965,local_criteria3_reproduction_candidate_bootstrap_200,source_native_reproduction_candidate_no_measurement_validation
