CovRow,z_0.38,z_0.51,z_0.698,z_0.706,z_0.93,z_0.934,z_1.317,z_1.321,z_1.48,z_1.484,z_2.33,z_2.334,ClaimBoundary
z_0.38,9947.90961461351,3727.54291555819,-3285.5746038242837,-3532.0088857194655,-8708.864465080995,-8771.065597384524,-9811.68607130043,-9771.221136885479,-7303.309615615163,-7219.602901161168,34330.3518884366,34639.55254787952,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_0.51,3727.54291555819,1596.269491729004,-824.227773615994,-909.8740120220459,-2732.8193027699353,-2755.2784505346963,-3265.3243432765553,-3253.518895621286,-2497.4191731908186,-2471.1818675162554,11036.558207248976,11138.053668238863,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_0.698,-3285.5746038242837,-824.227773615994,1942.453178651758,2039.3907829822394,4064.4877035283266,4088.555969954237,4427.509975985647,4410.521688797985,3391.5477705037683,3357.266929726941,-13429.23157400331,-13553.68830772984,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_0.706,-3532.0088857194655,-909.8740120220459,2039.3907829822394,2142.788087922266,4305.345295495323,4331.106373138988,4708.331036685069,4690.449325381787,3614.31210174261,3578.04854393197,-14228.492877381526,-14360.6126899852,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_0.93,-8708.864465080995,-2732.8193027699353,4064.4877035283266,4305.345295495323,9445.59109818712,9509.236280000616,11029.064571310662,10997.165150151153,8929.347437080629,8857.205715444135,-28592.668926787668,-28874.663135574177,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_0.934,-8771.065597384524,-2755.2784505346963,4088.555969954237,4331.106373138988,9509.236280000616,9573.390989300564,11114.869356903542,11082.912629172317,9008.071941670127,8935.634169401243,-28708.512278231643,-28992.047522016033,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_1.317,-9811.68607130043,-3265.3243432765553,4427.509975985647,4708.331036685069,11029.064571310662,11114.869356903542,14931.917743942373,14925.842428574844,13915.208921594662,13870.434752334262,-16940.058054196536,-17186.636062775673,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_1.321,-9771.221136885479,-3253.518895621286,4410.521688797985,4690.449325381787,10997.165150151153,11082.912629172317,14925.842428574844,14920.365023692633,13938.98336175555,13895.083072955395,-16578.39842653244,-16822.66344742012,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_1.48,-7303.309615615163,-2497.4191731908186,3391.5477705037683,3614.31210174261,8929.347437080629,9008.071941670127,13915.208921594662,13938.98336175555,14424.023553306988,14424.653651085804,1794.8084364028784,1674.7471782015266,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_1.484,-7219.602901161168,-2471.1818675162554,3357.266929726941,3578.04854393197,8857.205715444135,8935.634169401243,13870.434752334262,13895.083072955395,14424.653651085804,14426.650390999543,2357.586889892787,2241.461889921302,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_2.33,34330.3518884366,11036.558207248976,-13429.23157400331,-14228.492877381526,-28592.668926787668,-28708.512278231643,-16940.058054196536,-16578.39842653244,1794.8084364028784,2357.586889892787,232293.62524119054,233905.1828477602,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
z_2.334,34639.55254787952,11138.053668238863,-13553.68830772984,-14360.6126899852,-28874.663135574177,-28992.047522016033,-17186.636062775673,-16822.66344742012,1674.7471782015266,2241.461889921302,233905.1828477602,235529.1416202754,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
